Tester:     weka.experiment.PairedCorrectedTTester -G 4,5,6 -D 1 -R 2 -S 0.05 -V -result-matrix "weka.experiment.ResultMatrixCSV -mean-prec 4 -stddev-prec 4 -col-name-width 0 -row-name-width 25 -mean-width 2 -stddev-width 2 -sig-width 1 -count-width 0 -show-stddev -print-row-names -enum-col-names"
Analysing:  Weighted_avg_F_measure
Datasets:   95
Resultsets: 3
Confidence: 0.05 (two tailed)
Sorted by:  -
Date:       2022-11-30, 3:26 p.m.


Dataset,[3],'',[1],'','',[2],'',''
S04.c4-2-POS-02,0.6332,0.0297,0.6470,0.0300,' ',0.6130,0.0258,' '
S04.c4-2-POS-03,0.6400,0.0406,0.6301,0.0346,' ',0.5927,0.0331,*
S04.c4-2-POS-04,0.5409,0.0263,0.6161,0.0400,v,0.5712,0.0461,' '
S04.c4-2-POS-05,0.5402,0.0354,0.6272,0.0489,v,0.6010,0.0512,v
S04.c4-2-POS-06,0.5496,0.0403,0.6287,0.0560,v,0.6027,0.0610,v
S04.c4-2-POS-07,0.5391,0.0373,0.6516,0.0610,v,0.5997,0.0673,v
S04.c4-2-POS-08,0.5894,0.0661,0.6357,0.0664,' ',0.5896,0.0689,' '
S04.c4-2-POS-09,0.6187,0.0710,0.6215,0.0699,' ',0.5698,0.0809,' '
S04.c4-2-POS-10,0.6452,0.0749,0.6147,0.0792,' ',0.5639,0.0690,*
S04.c4-2-POS-11,0.5988,0.0843,0.6221,0.0798,' ',0.5901,0.0899,' '
S04.c4-2-POS-12,0.5854,0.0886,0.6339,0.0873,' ',0.5568,0.1058,' '
S04.c4-2-POS-13,0.5793,0.0799,0.6443,0.0789,' ',0.6106,0.1032,' '
S04.c4-2-POS-14,0.5883,0.0689,0.6529,0.0986,' ',0.6165,0.1087,' '
S04.c4-2-POS-15,0.5940,0.0910,0.6453,0.0958,' ',0.6151,0.1076,' '
S04.c4-2-POS-16,0.5852,0.0880,0.6690,0.1127,' ',0.6496,0.1044,' '
S04.c4-2-POS-17,0.5690,0.0905,0.6642,0.1180,' ',0.6362,0.1166,' '
S04.c4-2-POS-18,0.5677,0.0950,0.6920,0.1200,v,0.5961,0.1139,' '
S04.c4-2-POS-19,0.5717,0.0910,0.6903,0.1062,v,0.5945,0.1134,' '
S04.c4-2-POS-20,0.5599,0.1133,0.7018,0.1211,v,0.6230,0.1224,' '
S04.c4-3-EMO-02,0.5067,0.0076,0.5486,0.0185,v,0.5613,0.0247,v
S04.c4-3-EMO-03,0.5296,0.0138,0.5555,0.0221,v,0.5827,0.0294,v
S04.c4-3-EMO-04,0.5347,0.0213,0.5562,0.0234,v,0.5766,0.0358,v
S04.c4-3-EMO-05,0.5225,0.0308,0.5393,0.0312,' ',0.5599,0.0464,v
S04.c4-3-EMO-06,0.5278,0.0375,0.5492,0.0392,' ',0.5696,0.0415,v
S04.c4-3-EMO-07,0.5388,0.0398,0.5552,0.0424,' ',0.5835,0.0451,v
S04.c4-3-EMO-08,0.5395,0.0481,0.5583,0.0573,' ',0.5721,0.0529,' '
S04.c4-3-EMO-09,0.5317,0.0565,0.5637,0.0589,' ',0.5783,0.0639,' '
S04.c4-3-EMO-10,0.5355,0.0612,0.5356,0.0625,' ',0.5864,0.0734,' '
S04.c4-3-EMO-11,0.5132,0.0571,0.5402,0.0656,' ',0.5793,0.0875,' '
S04.c4-3-EMO-12,0.5284,0.0743,0.5660,0.0807,' ',0.5660,0.0704,' '
S04.c4-3-EMO-13,0.5467,0.0752,0.5915,0.0824,' ',0.5720,0.0850,' '
S04.c4-3-EMO-14,0.5826,0.0738,0.5873,0.0756,' ',0.5714,0.0993,' '
