say.core=> (time (sila/create-world! :env "/srv/say_sila/weka/tweets/tweets.all.env.2019-Q4-2020-Q1Q2.unkown.U01.arff" "/srv/say_sila/weka/tweets/tweets.all.env.2019-Q4-2020-Q1Q2.unkown.S02.arff"))

2020-12-18 08:21:29.422   INFO: Dataset user:env: /srv/say_sila/weka/tweets/tweets.all.env.2019-Q4-2020-Q1Q2.unkown.U01.arff
2020-12-18 08:21:29.423   INFO: Dataset text:env: /srv/say_sila/weka/tweets/tweets.all.env.2019-Q4-2020-Q1Q2.unkown.S02.arff
2020-12-18 08:21:31.351   INFO: Using lexicon: affective.core.NRCEmotionLexiconEvaluator
2020-12-18 08:21:48.415   INFO: Using lexicon: affective.core.NRCEmotionLexiconEvaluator
2020-12-18 08:21:48.482   INFO: Converting 162274 instances

say.core=> (say.survey/report-survey)
2020-12-18 08:32:22.014   INFO: #environ        : 32577
2020-12-18 08:32:22.015   INFO: climat          : 10672
2020-12-18 08:32:22.016   INFO: chang           : 8336
2020-12-18 08:32:22.016   INFO: save            : 6367
2020-12-18 08:32:22.016   INFO: energi          : 5365
2020-12-18 08:32:22.017   INFO: #climat         : 5146
2020-12-18 08:32:22.017   INFO: environment     : 4157
2020-12-18 08:32:22.018   INFO: environ         : 4152
2020-12-18 08:32:22.018   INFO: #natur          : 3811
2020-12-18 08:32:22.018   INFO: world           : 3648
2020-12-18 08:32:22.018   INFO: #conserv        : 3005
2020-12-18 08:32:22.019   INFO: #pollut         : 2851
2020-12-18 08:32:22.019   INFO: us              : 2562
2020-12-18 08:32:22.019   INFO: new             : 2547
2020-12-18 08:32:22.020   INFO: news            : 2498
2020-12-18 08:32:22.020   INFO: daili           : 2389
2020-12-18 08:32:22.020   INFO: #energi         : 2278
2020-12-18 08:32:22.020   INFO: #compani        : 2271
2020-12-18 08:32:22.021   INFO: global          : 2149
2020-12-18 08:32:22.021   INFO: help            : 2096
2020-12-18 08:32:22.021   INFO: support         : 1941
2020-12-18 08:32:22.022   INFO: #new            : 1848
2020-12-18 08:32:22.022   INFO: #govern         : 1722
2020-12-18 08:32:22.022   INFO: year            : 1686
2020-12-18 08:32:22.022   INFO: time            : 1617
2020-12-18 08:32:22.022   INFO: carbon          : 1497
2020-12-18 08:32:22.023   INFO: #medium         : 1450
2020-12-18 08:32:22.023   INFO: conserv         : 1369
2020-12-18 08:32:22.023   INFO: #polit          : 1367
2020-12-18 08:32:22.024   INFO: share           : 1319
2020-12-18 08:32:22.024   INFO: now             : 1316
2020-12-18 08:32:22.024   INFO: peopl           : 1298
2020-12-18 08:32:22.024   INFO: action          : 1280
2020-12-18 08:32:22.025   INFO: #environment    : 1263
2020-12-18 08:32:22.025   INFO: #recycl         : 1256
2020-12-18 08:32:22.025   INFO: human           : 1226
2020-12-18 08:32:22.025   INFO: plant           : 1226
2020-12-18 08:32:22.026   INFO: take            : 1205
2020-12-18 08:32:22.026   INFO: inform          : 1193
2020-12-18 08:32:22.026   INFO: futur           : 1191
2020-12-18 08:32:22.027   INFO: protect         : 1134
2020-12-18 08:32:22.027   INFO: natur           : 1078
2020-12-18 08:32:22.027   INFO: interest        : 1046
2020-12-18 08:32:22.027   INFO: water           : 1022
2020-12-18 08:32:22.028   INFO: #blog           : 1020
2020-12-18 08:32:22.028   INFO: #renew          : 1008
2020-12-18 08:32:22.028   INFO: warm            : 993 
2020-12-18 08:32:22.029   INFO: work            : 989 
2020-12-18 08:32:22.029   INFO: power           : 933 
2020-12-18 08:32:22.029   INFO: #carbon         : 911 
2020-12-18 08:32:22.029   INFO: pollut          : 877 
2020-12-18 08:32:22.030   INFO: scientist       : 867 
2020-12-18 08:32:22.030   INFO: emiss           : 858 
2020-12-18 08:32:22.030   INFO: issu            : 845 
2020-12-18 08:32:22.030   INFO: report          : 835 
2020-12-18 08:32:22.031   INFO: reduc           : 804 
2020-12-18 08:32:22.031   INFO: #emiss          : 790 
2020-12-18 08:32:22.031   INFO: caus            : 762 
2020-12-18 08:32:22.031   INFO: econom          : 741 
2020-12-18 08:32:22.032   INFO: polici          : 736 
2020-12-18 08:32:22.032   INFO: #world          : 723 
2020-12-18 08:32:22.032   INFO: money           : 705 
2020-12-18 08:32:22.032   INFO: #water          : 698 
2020-12-18 08:32:22.033   INFO: today           : 687 
2020-12-18 08:32:22.033   INFO: effect          : 681 
2020-12-18 08:32:22.033   INFO: home            : 677 
2020-12-18 08:32:22.034   INFO: air             : 664 
2020-12-18 08:32:22.034   INFO: speci           : 659 
2020-12-18 08:32:22.034   INFO: electr          : 658 
2020-12-18 08:32:22.034   INFO: govern          : 652 
2020-12-18 08:32:22.035   INFO: state           : 632 
2020-12-18 08:32:22.035   INFO: #solar          : 618 
2020-12-18 08:32:22.035   INFO: show            : 611 
2020-12-18 08:32:22.035   INFO: solar           : 600 
2020-12-18 08:32:22.036   INFO: #india          : 577 
2020-12-18 08:32:22.036   INFO: #protect        : 575 
2020-12-18 08:32:22.036   INFO: event           : 561 
2020-12-18 08:32:22.037   INFO: increas         : 554 
2020-12-18 08:32:22.037   INFO: democrat        : 553 
2020-12-18 08:32:22.037   INFO: point           : 552 
2020-12-18 08:32:22.037   INFO: compani         : 540 
2020-12-18 08:32:22.038   INFO: nation          : 528 
2020-12-18 08:32:22.038   INFO: record          : 528 
2020-12-18 08:32:22.038   INFO: american        : 523 
2020-12-18 08:32:22.038   INFO: bill            : 522 
2020-12-18 08:32:22.039   INFO: start           : 522 
2020-12-18 08:32:22.039   INFO: #economi        : 519 
2020-12-18 08:32:22.039   INFO: problem         : 518 
2020-12-18 08:32:22.039   INFO: stori           : 518 
2020-12-18 08:32:22.040   INFO: countri         : 515 
2020-12-18 08:32:22.040   INFO: #futur          : 513 
2020-12-18 08:32:22.040   INFO: industri        : 506 
2020-12-18 08:32:22.040   INFO: clean           : 505 
2020-12-18 08:32:22.040   INFO: oil             : 490 
2020-12-18 08:32:22.041   INFO: visit           : 487 
2020-12-18 08:32:22.041   INFO: watch           : 486 
2020-12-18 08:32:22.041   INFO: singl           : 485 
2020-12-18 08:32:22.041   INFO: follow          : 478 
2020-12-18 08:32:22.042   INFO: #chang          : 477 
2020-12-18 08:32:22.042   INFO: #oil            : 476 
2020-12-18 08:32:22.042   INFO: build           : 476 
2020-12-18 08:32:22.042   INFO: respons         : 473 
2020-12-18 08:32:22.043   INFO: #build          : 467 
2020-12-18 08:32:22.043   INFO: leader          : 463 
2020-12-18 08:32:22.043   INFO: research        : 458 
2020-12-18 08:32:22.044   INFO: #plant          : 448 
2020-12-18 08:32:22.044   INFO: intern          : 444 
2020-12-18 08:32:22.044   INFO: polit           : 439 
2020-12-18 08:32:22.044   INFO: expert          : 439 
2020-12-18 08:32:22.045   INFO: #research       : 439 
2020-12-18 08:32:22.045   INFO: economi         : 438 
2020-12-18 08:32:22.045   INFO: communiti       : 434 
2020-12-18 08:32:22.046   INFO: effort          : 432 
2020-12-18 08:32:22.046   INFO: sign            : 422 
2020-12-18 08:32:22.046   INFO: anim            : 419 
2020-12-18 08:32:22.046   INFO: import          : 404 
2020-12-18 08:32:22.047   INFO: develop         : 383 
2020-12-18 08:32:22.047   INFO: small           : 379 
2020-12-18 08:32:22.047   INFO: light           : 369 
2020-12-18 08:32:22.047   INFO: #electr         : 369 
2020-12-18 08:32:22.047   INFO: discuss         : 367 
2020-12-18 08:32:22.048   INFO: onlin           : 367 
2020-12-18 08:32:22.048   INFO: produc          : 367 
2020-12-18 08:32:22.048   INFO: movement        : 355 
2020-12-18 08:32:22.048   INFO: #organ          : 353 
2020-12-18 08:32:22.049   INFO: job             : 350 
2020-12-18 08:32:22.049   INFO: generat         : 348 
2020-12-18 08:32:22.049   INFO: recycl          : 345 
2020-12-18 08:32:22.049   INFO: public          : 343 
2020-12-18 08:32:22.050   INFO: fund            : 338 
2020-12-18 08:32:22.050   INFO: realli          : 318 
2020-12-18 08:32:22.050   INFO: cost            : 317 
2020-12-18 08:32:22.050   INFO: friend          : 316 
2020-12-18 08:32:22.051   INFO: step            : 312 
2020-12-18 08:32:22.051   INFO: #coast          : 299 
2020-12-18 08:32:22.051   INFO: #action         : 299 
2020-12-18 08:32:22.052   INFO: #human          : 299 
2020-12-18 08:32:22.052   INFO: hope            : 297 
2020-12-18 08:32:22.052   INFO: happen          : 296 
2020-12-18 08:32:22.052   INFO: meet            : 293 
2020-12-18 08:32:22.053   INFO: #commun         : 292 
2020-12-18 08:32:22.053   INFO: #anim           : 292 
2020-12-18 08:32:22.053   INFO: contribut       : 290 
2020-12-18 08:32:22.053   INFO: gas             : 289 
2020-12-18 08:32:22.054   INFO: provid          : 289 
2020-12-18 08:32:22.054   INFO: children        : 288 
2020-12-18 08:32:22.054   INFO: renew           : 288 
2020-12-18 08:32:22.054   INFO: wind            : 279 
2020-12-18 08:32:22.054   INFO: product         : 277 
2020-12-18 08:32:22.055   INFO: vote            : 269 
2020-12-18 08:32:22.055   INFO: #wind           : 263 
2020-12-18 08:32:22.055   INFO: bad             : 263 
2020-12-18 08:32:22.056   INFO: buy             : 257 
2020-12-18 08:32:22.056   INFO: weather         : 257 
2020-12-18 08:32:22.057   INFO: #trust          : 254 
2020-12-18 08:32:22.057   INFO: u.s.            : 251 
2020-12-18 08:32:22.057   INFO: tax             : 251 
2020-12-18 08:32:22.057   INFO: #gas            : 246 
2020-12-18 08:32:22.058   INFO: sourc           : 242 
2020-12-18 08:32:22.058   INFO: #china          : 240 
2020-12-18 08:32:22.058   INFO: #weather        : 229 
2020-12-18 08:32:22.058   INFO: panel           : 229 
2020-12-18 08:32:22.059   INFO: #scientist      : 228 
2020-12-18 08:32:22.059   INFO: #activ          : 221 
2020-12-18 08:32:22.059   INFO: drive           : 221 
2020-12-18 08:32:22.059   INFO: #democrat       : 215 
2020-12-18 08:32:22.060   INFO: #respons        : 215 
2020-12-18 08:32:22.060   INFO: activ           : 214 
2020-12-18 08:32:22.060   INFO: local           : 210 
2020-12-18 08:32:22.060   INFO: current         : 207 
2020-12-18 08:32:22.061   INFO: blog            : 206 
2020-12-18 08:32:22.061   INFO: letter          : 200 
2020-12-18 08:32:22.061   INFO: india           : 198 
2020-12-18 08:32:22.061   INFO: #light          : 196 
2020-12-18 08:32:22.062   INFO: #industri       : 196 
2020-12-18 08:32:22.062   INFO: journal         : 196 
2020-12-18 08:32:22.062   INFO: area            : 195 
