N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
5,gw,oter,anger,0.400570,39,,,,,,,,0.156313,,,,,,-0.074008,0.228122,,0.064867
6,gw,oter,anger,0.138055,39,,,,,,,,,,,,,,-0.077679,0.186453,,0.086362
7,gw,oter,anger,0.731856,39,,0.181946,,0.323544,,0.089664,,,,0.087084,,,0.153892,,,0.047282,-0.031790
8,gw,oter,anger,0.666238,39,,0.151801,,0.330771,0.101569,,,,,0.091889,,,,,0.076986,0.058377,-0.017924
9,gw,oter,anger,0.703100,39,0.287991,0.102976,,0.221803,,,,,,0.091863,,,0.091182,,,,-0.001073
10,gw,oter,anger,0.741863,39,0.290242,0.099840,,0.141557,,,,,,0.086881,,,0.095750,,,,0.010843
11,gw,oter,anger,0.772525,39,0.225953,0.151248,,,0.210073,,-0.146680,,,0.087685,,,0.079656,,,,0.017144
12,gw,oter,anger,0.782412,39,0.177086,0.155895,,,0.202219,,-0.157585,,,0.091962,,,0.070127,,,,0.024053
13,gw,oter,anger,0.731389,39,0.225583,0.080879,,,0.168658,,-0.113501,,,0.086033,,,,,0.051494,,0.030384
14,gw,oter,anger,0.731624,39,0.235440,0.073521,,,0.181390,,-0.101246,,,0.085088,,,,,0.056039,,0.027784
15,gw,oter,anger,0.744424,39,0.197987,0.071447,,,0.244664,,-0.184162,,,0.074930,,,,,0.063700,,0.033756
16,gw,oter,anger,0.741724,39,0.172427,0.098553,,,0.238493,,-0.194471,,,0.075493,,,,,0.058344,,0.035309
17,gw,oter,anger,0.711422,39,0.190269,0.093638,,,0.272708,,-0.241627,,,0.060172,,,,,0.053986,,0.038793
18,gw,oter,anger,0.669884,39,0.174531,0.085556,,,0.259694,,-0.233853,,,0.059015,,,,,0.053255,,0.043408
19,gw,oter,anger,0.658610,39,0.307563,,,,0.180852,,-0.166005,,,0.045851,,,,,,,0.057654
20,gw,oter,anger,0.578284,39,0.275447,,,,0.207919,,-0.171177,,-0.049342,0.057412,,,,,0.059713,,0.056269
21,gw,oter,anger,0.555727,39,0.242796,,,,0.207515,,-0.169538,,-0.057930,0.057057,,,,,0.056799,,0.060648
22,gw,oter,anger,0.472516,39,0.187053,0.051932,-0.106298,,0.229560,,-0.170819,,-0.064335,0.054074,,,,,0.065152,0.027549,0.059389
23,gw,oter,anger,0.378023,39,0.299268,,-0.134857,,0.156698,0.075003,-0.192204,0.152184,-0.062904,,,,,,0.095409,,0.052987
24,gw,oter,anger,0.454280,39,0.186339,,,,0.133396,0.109281,-0.223398,0.131502,-0.056085,,,,,,0.110449,,0.053576
25,gw,oter,anger,0.347270,39,0.238911,0.094670,-0.225742,,0.150182,0.114944,-0.250428,0.129936,-0.086859,,0.055374,,,,0.104447,,0.047820
