N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
5,gw,oter,anger,0.292282,39,,,,,,,,,,,,,,,0.121013,,0.082099
6,gw,oter,anger,0.001794,39,,,,,0.092458,,,,,,,,,,0.101333,,0.072636
7,gw,oter,anger,0.561411,39,,0.234431,,,0.132371,,,,,0.078434,,,,,0.076486,,0.008119
8,gw,oter,anger,0.355919,39,0.193044,0.184024,,,0.235721,,-0.137233,,,0.082861,,,,,0.058466,,0.004642
9,gw,oter,anger,0.650651,39,0.249572,0.179287,,,0.225486,,-0.173701,,,0.077541,,,,,0.056213,,0.009678
10,gw,oter,anger,0.747662,39,0.275511,0.150940,,,0.212890,,-0.183979,,,0.071552,,,,,0.059468,,0.018018
11,gw,oter,anger,0.747900,39,0.234108,0.147834,,,0.224955,,-0.182488,,,0.082719,,,,,0.048335,,0.022065
12,gw,oter,anger,0.766723,39,0.183158,0.152376,,,0.210598,,-0.183077,,,0.088115,,,,,0.048615,,0.028020
13,gw,oter,anger,0.731389,39,0.225583,0.080879,,,0.168658,,-0.113501,,,0.086033,,,,,0.051494,,0.030384
14,gw,oter,anger,0.731624,39,0.235440,0.073521,,,0.181390,,-0.101246,,,0.085088,,,,,0.056039,,0.027784
15,gw,oter,anger,0.744424,39,0.197987,0.071447,,,0.244664,,-0.184162,,,0.074930,,,,,0.063700,,0.033756
16,gw,oter,anger,0.741724,39,0.172427,0.098553,,,0.238493,,-0.194471,,,0.075493,,,,,0.058344,,0.035309
17,gw,oter,anger,0.711422,39,0.190269,0.093638,,,0.272708,,-0.241627,,,0.060172,,,,,0.053986,,0.038793
18,gw,oter,anger,0.669884,39,0.174531,0.085556,,,0.259694,,-0.233853,,,0.059015,,,,,0.053255,,0.043408
19,gw,oter,anger,0.617606,39,0.220320,0.052957,,,0.189273,,-0.167914,,,0.054317,,,,,0.050331,,0.049715
20,gw,oter,anger,0.573831,39,0.270256,,,,0.177180,,-0.168146,,,0.042224,,,,,0.061454,,0.057492
21,gw,oter,anger,0.501627,39,0.238126,,,,0.165556,,-0.157687,,,0.041566,,,,,0.060678,,0.061515
22,gw,oter,anger,0.499644,39,0.204194,,,,0.182838,,-0.172557,,,0.040218,,,,,0.063504,,0.064126
23,gw,oter,anger,0.341306,39,0.206864,,,,0.146464,,-0.147694,,,0.028186,,,,,0.062185,,0.068057
24,gw,oter,anger,0.343745,39,0.214098,,,,0.129043,,-0.138528,,,0.029089,,,,,0.070344,,0.069104
25,gw,oter,anger,0.404491,39,0.225758,,,,0.135990,,-0.132257,,,,,,,,0.076141,,0.068546
