N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
5,gw,rter,anger,0.107437,39,0.549035,,-0.589488,,,,0.191480,0.236580,,,,,0.283336,-0.093149,,,0.042694
6,gw,rter,anger,0.132486,39,0.803389,,-0.742406,,0.323827,-0.169952,,0.275362,,,,,,-0.165625,0.315986,,0.042165
7,gw,rter,anger,0.404244,39,0.471024,,,,0.343614,-0.217971,,,0.262899,,,,,,,,0.026628
8,gw,rter,anger,0.434642,39,0.473260,,,,0.414991,-0.267304,,,0.263962,,,,,,,,0.024299
9,gw,rter,anger,0.372640,39,0.679625,,-0.352623,,0.352917,-0.353630,0.207904,,0.193529,0.083287,,,,-0.058684,,0.055401,0.033487
10,gw,rter,anger,0.425666,39,0.519484,,-0.333932,,0.416539,-0.282711,,,0.234447,,,,,,,0.071619,0.050309
11,gw,rter,anger,0.465846,39,,,,,0.429981,-0.213193,,,0.232310,0.082349,,,,,,0.079435,0.046336
12,gw,rter,anger,0.470856,39,,,,,0.380242,-0.206220,,,0.228861,0.086306,,,,,,0.085628,0.050867
13,gw,rter,anger,0.468662,39,,,,,0.350385,-0.204661,,,0.273962,0.085436,,,,,,0.077826,0.045954
14,gw,rter,anger,0.428686,39,,,,,0.455804,-0.235124,,,0.269935,0.092705,,,,,,0.070192,0.038052
15,gw,rter,anger,0.489980,39,,,,,0.509009,-0.243459,,,0.250944,0.092611,,,,,,0.078467,0.034171
16,gw,rter,anger,0.416720,39,,,,,0.288709,-0.194335,,,0.287162,,,,,,,,0.072138
17,gw,rter,anger,0.364366,39,0.601043,,-0.371412,,0.316239,-0.258988,,,0.252402,,,,,,,,0.061944
18,gw,rter,anger,0.438611,39,0.387045,,,-0.163010,0.435721,-0.315359,,,0.300101,,,,,,,,0.059670
19,gw,rter,anger,0.497148,39,0.306231,,,,,,,,0.225680,0.087192,,,,,,,0.046053
20,gw,rter,anger,0.481869,39,0.265962,,,,,,,,0.223242,0.096112,,,,,,,0.049003
21,gw,rter,anger,0.452666,39,0.242517,,,,,,,,0.300577,,,,,,,,0.056796
22,gw,rter,anger,0.426565,39,0.253856,,,,,,,,0.302369,,,,,,,,0.056600
23,gw,rter,anger,0.403553,39,,,,,,,,,0.264419,,,,,,,0.089519,0.068954
24,gw,rter,anger,0.297527,39,0.472180,,-0.303616,,,,,,0.231061,,,,,,,0.076381,0.058339
25,gw,rter,anger,0.391101,39,,,,,,,,,0.271161,,,,,,,0.092007,0.068410
