N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
5,gw,tter,anger,0.317296,39,,0.209556,-0.483013,,,,0.175851,0.244730,,,,,0.286260,-0.068097,,,0.036251
6,gw,tter,anger,0.268343,39,0.283241,,-0.266988,,0.121280,,,0.191272,,,,,,-0.113173,0.261034,,0.049757
7,gw,tter,anger,0.509424,39,0.438274,0.116912,-0.213962,,0.317833,-0.149237,,,0.102857,0.066027,,,,-0.098242,0.183521,0.043610,0.005070
8,gw,tter,anger,0.619609,39,0.517998,,,,0.375354,-0.204323,,,0.124388,0.075228,,,,-0.093704,0.124545,,0.010944
9,gw,tter,anger,0.626493,39,0.490296,,,,0.323862,-0.196574,,,0.110837,0.078775,,,,-0.083619,0.098421,,0.025024
10,gw,tter,anger,0.619783,39,0.358436,,,,0.315551,-0.182367,,,0.104668,0.073402,,,,-0.059088,0.084452,0.043498,0.031878
11,gw,tter,anger,0.600768,39,0.288195,,,,0.312519,-0.149309,,,0.112407,0.081668,,,,-0.051978,0.078372,0.041449,0.033383
12,gw,tter,anger,0.660394,39,,0.127533,,,0.278304,-0.122325,,,0.123873,0.110298,,,,,,0.063503,0.029612
13,gw,tter,anger,0.613129,39,0.222623,,,,0.278220,-0.142515,,,0.148479,0.085104,,,,,,0.042129,0.036100
14,gw,tter,anger,0.612334,39,0.266600,,,,0.327178,-0.149696,,,0.141834,0.093060,,,,,,,0.031651
15,gw,tter,anger,0.617539,39,0.253478,,,,0.345056,-0.156036,,,0.128446,0.092222,,,,,,,0.034162
16,gw,tter,anger,0.393866,39,0.455669,0.131061,-0.453154,,0.356067,-0.177255,,0.241898,,0.095159,,-0.064026,,,,,0.027400
17,gw,tter,anger,0.414522,39,0.471830,,-0.195496,,0.405151,-0.206991,,0.179600,,0.083823,,-0.052998,,,,,0.036136
18,gw,tter,anger,0.504569,39,0.414828,,-0.164481,,0.330208,-0.184660,,,0.092486,0.063412,,,,,,0.038411,0.045499
19,gw,tter,anger,0.559095,39,0.336074,,,,,,,,0.116571,0.072009,,,,,,,0.052191
20,gw,tter,anger,0.558584,39,0.297986,,,,,,,,0.113529,0.076990,,,,,,,0.055628
21,gw,tter,anger,0.424056,39,0.430045,,-0.259867,,,,,,0.147418,,,,,-0.065805,0.117171,0.046740,0.063859
22,gw,tter,anger,0.385692,39,0.188699,,,,0.152674,,,,0.103748,0.065230,,,,,,0.044187,0.043209
23,gw,tter,anger,0.319263,39,0.456223,,-0.226967,,,,,0.186252,0.102641,,,,,,,,0.054492
24,gw,tter,anger,0.288016,39,0.515321,,-0.309260,,,,,0.258120,,,0.086114,-0.050867,,,,,0.057749
25,gw,tter,anger,0.350004,39,0.649547,,-0.404139,,,,,0.215886,,,,,,,,,0.058776
