N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
5,gw,tter,anger,0.123021,39,,,,,0.115549,,,,,,,,,-0.077030,0.208352,0.047664,0.070028
6,gw,tter,anger,0.300158,39,,,,,0.135078,,,,,,,,,-0.087031,0.213575,0.060868,0.066934
7,gw,tter,anger,0.571426,39,0.484059,,,,0.298613,-0.149871,,,0.119249,0.063114,,,,-0.090279,0.164352,,0.012443
8,gw,tter,anger,0.608508,39,0.455626,,,,0.375224,-0.199890,,,0.115387,0.072672,,,,-0.091417,0.131457,0.033457,0.012910
9,gw,tter,anger,0.626493,39,0.490296,,,,0.323862,-0.196574,,,0.110837,0.078775,,,,-0.083619,0.098421,,0.025024
10,gw,tter,anger,0.619783,39,0.358436,,,,0.315551,-0.182367,,,0.104668,0.073402,,,,-0.059088,0.084452,0.043498,0.031878
11,gw,tter,anger,0.600768,39,0.288195,,,,0.312519,-0.149309,,,0.112407,0.081668,,,,-0.051978,0.078372,0.041449,0.033383
12,gw,tter,anger,0.599653,39,0.270076,,,,0.269352,-0.135236,,,0.109421,0.088130,,,,,,0.046485,0.038379
13,gw,tter,anger,0.613129,39,0.222623,,,,0.278220,-0.142515,,,0.148479,0.085104,,,,,,0.042129,0.036100
14,gw,tter,anger,0.619669,39,0.231657,,,,0.336137,-0.153455,,,0.144700,0.090491,,,,,,0.035651,0.030218
15,gw,tter,anger,0.629524,39,0.209224,,,,0.362903,-0.159546,,,0.130376,0.087876,,,,,,0.043092,0.031785
16,gw,tter,anger,0.542380,39,0.286966,,,,0.262771,-0.134963,,,0.105124,0.087002,,,,,,,0.041833
17,gw,tter,anger,0.563674,39,0.334166,,,,0.277938,-0.160843,,,0.101982,0.078207,,,,,,,0.043425
18,gw,tter,anger,0.505759,39,0.272399,,,,0.309729,-0.166149,,,0.099098,0.071330,,,,,,0.036231,0.042912
19,gw,tter,anger,0.473521,39,0.271934,,,,0.130244,,,,0.091027,0.070586,,,,,,0.037727,0.038509
20,gw,tter,anger,0.469460,39,0.227829,,,,0.133068,,,,0.087461,0.075451,,,,,,0.041038,0.041722
21,gw,tter,anger,0.443229,39,0.201624,,,,0.131657,,,,0.103654,0.064659,,,,,,0.043026,0.044229
22,gw,tter,anger,0.385692,39,0.188699,,,,0.152674,,,,0.103748,0.065230,,,,,,0.044187,0.043209
23,gw,tter,anger,0.351883,39,0.224255,,,,,,,,0.136335,,,,,,,0.048135,0.064929
24,gw,tter,anger,0.356225,39,0.239534,,,,,,,,0.136156,,,,,,,0.048522,0.064541
25,gw,tter,anger,0.393846,39,0.244455,,,,,,,,0.137939,,,,,,,0.049140,0.062950
