N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
5,gw,oter,anger,-0.447170,39,,,,,,,,,,,,,,,,,0.156315
6,gw,oter,anger,-0.083268,39,,,,,,,,,,,,,,-0.071578,,,0.171656
7,gw,oter,anger,0.648057,39,,0.209924,,0.224645,0.111431,,,,-0.061194,,0.056622,,,,,,-0.018796
8,gw,oter,anger,0.628304,39,,0.299978,,,0.411926,,-0.423720,,,,,,,,,,0.052429
9,gw,oter,anger,0.730745,39,0.360095,0.134348,,,0.247201,-0.133777,,,,,,,,,,,0.029528
10,gw,oter,anger,0.679780,39,0.299171,0.152814,,,0.275421,,-0.251089,,-0.041364,,,,-0.054471,,0.091841,,0.048723
11,gw,oter,anger,0.652134,39,0.318856,0.081597,,,0.187390,-0.099286,,,,,,,,-0.069282,0.093186,,0.062463
12,gw,oter,anger,0.771232,39,0.258203,0.086005,,,0.223550,-0.100209,,,,,,,,,,,0.066116
13,gw,oter,anger,0.558278,39,0.306632,,,,0.104533,,,,,,,,,-0.052776,0.073406,,0.077235
14,gw,oter,anger,0.551616,39,0.307168,,,,0.105889,,,,,,,,,-0.051982,0.071898,,0.077097
15,gw,oter,anger,0.702535,39,0.261401,,,,0.151150,,,,,,,,,,,,0.076502
16,gw,oter,anger,0.696084,39,0.275239,,,,0.191874,,,-0.089152,,,,,,,,0.031869,0.083715
17,gw,oter,anger,0.680808,39,0.293035,,,,0.167788,,,-0.090280,,,,,,,,0.034149,0.086022
18,gw,oter,anger,0.661193,39,0.266137,,,,0.162873,,,-0.087664,,,,,,,,0.034661,0.092136
19,gw,oter,anger,0.476224,39,0.218323,,,,0.105913,,,-0.082408,,,0.054134,,-0.084279,-0.078884,0.104491,,0.128757
20,gw,oter,anger,0.555010,39,0.328560,-0.071716,,,0.124314,0.104599,,-0.143179,-0.051431,,,,,,,0.051987,0.105234
21,gw,oter,anger,0.426525,39,0.303487,-0.079027,,,0.120133,0.088636,,-0.121092,-0.047407,,,,,,,0.047061,0.111922
22,gw,oter,anger,0.328676,39,0.343124,-0.069306,,-0.053372,0.150272,,,-0.087372,,,,,,,,0.039422,0.121161
23,gw,oter,anger,0.564730,39,0.192583,,,,,,,,-0.062191,,,,,,,0.039399,0.136252
24,gw,oter,anger,0.556399,39,0.199504,,,,,,,,-0.057470,,,,,,,0.037620,0.136269
25,gw,oter,anger,0.567848,39,0.201256,,,,,,,,-0.060612,,,,,,,0.038444,0.135405
