N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
5,gw,oter,anger,-0.133808,39,,,,,0.134277,,,,,,,,,,,,0.127828
6,gw,oter,anger,0.054223,39,,,,,0.165011,,,,,,,,,,,,0.123115
7,gw,oter,anger,0.545015,39,0.568760,,,,0.136105,,,,,,,,,,,,0.010557
8,gw,oter,anger,0.608132,39,0.537946,,,,0.221081,,,,,,,,,,,,-0.001852
9,gw,oter,anger,0.700522,39,0.544113,,,,0.148253,,,,,,,,,,,,0.015949
10,gw,oter,anger,0.752440,39,0.495295,,,,0.140219,,,,,,,,,,,,0.030301
11,gw,oter,anger,0.768546,39,0.444916,,,,0.133406,,,,,,,,,,,,0.043767
12,gw,oter,anger,0.780235,39,0.390701,,,,0.153327,,,,,,,,,,,,0.051781
13,gw,oter,anger,0.721344,39,0.308362,,,,0.127050,,,,,,,,,,,,0.071093
14,gw,oter,anger,0.724179,39,0.309243,,,,0.129231,,,,,,,,,,,,0.070688
15,gw,oter,anger,0.698646,39,0.265737,,,,0.154955,,,,,,,,,,,,0.074969
16,gw,oter,anger,0.706376,39,0.278896,,,,0.156312,,,,,,,,,,,,0.074531
17,gw,oter,anger,0.678422,39,0.293880,,,,0.134448,,,,,,,,,,,,0.077731
18,gw,oter,anger,0.645342,39,0.267452,,,,0.126977,,,,,,,,,,,,0.085147
19,gw,oter,anger,0.610138,39,0.249544,,,,0.101249,,,,,,,,,,,,0.095693
20,gw,oter,anger,0.559258,39,0.219953,,,,0.100585,,,,,,,,,,,,0.102012
21,gw,oter,anger,0.499090,39,0.190948,,,,0.093382,,,,,,,,,,,,0.109842
22,gw,oter,anger,0.482625,39,0.179851,,,,,,,,,,,,,,,,0.133842
23,gw,oter,anger,0.489294,39,0.186082,,,,,,,,,,,,,,,,0.134757
24,gw,oter,anger,0.488345,39,0.193551,,,,,,,,,,,,,,,,0.135089
25,gw,oter,anger,0.490625,39,0.196992,,,,,,,,,,,,,,,,0.133665
