N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
5,gw,oter,anger,-0.4472,39,,,,,,,,,,,,,,,,,0.1563
6,gw,oter,anger,-0.0833,39,,,,,,,,,,,,,,-0.0716,,,0.1717
7,gw,oter,anger,0.6481,39,,0.2099,,0.2246,0.1114,,,,-0.0612,,0.0566,,,,,,-0.0188
8,gw,oter,anger,0.6283,39,,0.3000,,,0.4119,,-0.4237,,,,,,,,,,0.0524
9,gw,oter,anger,0.7307,39,0.3601,0.1343,,,0.2472,-0.1338,,,,,,,,,,,0.0295
10,gw,oter,anger,0.6798,39,0.2992,0.1528,,,0.2754,,-0.2511,,-0.0414,,,,-0.0545,,0.0918,,0.0487
11,gw,oter,anger,0.6521,39,0.3189,0.0816,,,0.1874,-0.0993,,,,,,,,-0.0693,0.0932,,0.0625
12,gw,oter,anger,0.7712,39,0.2582,0.0860,,,0.2236,-0.1002,,,,,,,,,,,0.0661
13,gw,oter,anger,0.5583,39,0.3066,,,,0.1045,,,,,,,,,-0.0528,0.0734,,0.0772
14,gw,oter,anger,0.5516,39,0.3072,,,,0.1059,,,,,,,,,-0.0520,0.0719,,0.0771
15,gw,oter,anger,0.7025,39,0.2614,,,,0.1512,,,,,,,,,,,,0.0765
16,gw,oter,anger,0.6961,39,0.2752,,,,0.1919,,,-0.0892,,,,,,,,0.0319,0.0837
17,gw,oter,anger,0.6808,39,0.2930,,,,0.1678,,,-0.0903,,,,,,,,0.0341,0.0860
18,gw,oter,anger,0.6612,39,0.2661,,,,0.1629,,,-0.0877,,,,,,,,0.0347,0.0921
19,gw,oter,anger,0.4762,39,0.2183,,,,0.1059,,,-0.0824,,,0.0541,,-0.0843,-0.0789,0.1045,,0.1288
20,gw,oter,anger,0.5550,39,0.3286,-0.0717,,,0.1243,0.1046,,-0.1432,-0.0514,,,,,,,0.0520,0.1052
21,gw,oter,anger,0.4265,39,0.3035,-0.0790,,,0.1201,0.0886,,-0.1211,-0.0474,,,,,,,0.0471,0.1119
22,gw,oter,anger,0.3287,39,0.3431,-0.0693,,-0.0534,0.1503,,,-0.0874,,,,,,,,0.0394,0.1212
23,gw,oter,anger,0.5647,39,0.1926,,,,,,,,-0.0622,,,,,,,0.0394,0.1363
24,gw,oter,anger,0.5564,39,0.1995,,,,,,,,-0.0575,,,,,,,0.0376,0.1363
25,gw,oter,anger,0.5678,39,0.2013,,,,,,,,-0.0606,,,,,,,0.0384,0.1354
