N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
5,gw,oter,anger,-0.1400,39,,,,,0.1316,,,,,,,,,,,,0.1281
6,gw,oter,anger,0.0507,39,,,,,0.1613,,,,,,,,,,,,0.1236
7,gw,oter,anger,0.5014,39,0.3439,0.1622,,,0.1282,,,,,,,,,,,,0.0083
8,gw,oter,anger,0.5787,39,0.5288,,,,0.2884,-0.1095,,,,,,,,,,,0.0167
9,gw,oter,anger,0.7307,39,0.3601,0.1343,,,0.2472,-0.1338,,,,,,,,,,,0.0295
10,gw,oter,anger,0.7737,39,0.3257,0.1161,,,0.2298,-0.1180,,,,,,,,,,,0.0440
11,gw,oter,anger,0.7588,39,0.2919,0.1011,,,0.2140,-0.1048,,,,,,,,,,,0.0566
12,gw,oter,anger,0.7712,39,0.2582,0.0860,,,0.2236,-0.1002,,,,,,,,,,,0.0661
13,gw,oter,anger,0.7259,39,0.3036,,,,0.1248,,,,,,,,,,,,0.0724
14,gw,oter,anger,0.7282,39,0.3046,,,,0.1260,,,,,,,,,,,,0.0722
15,gw,oter,anger,0.7025,39,0.2614,,,,0.1512,,,,,,,,,,,,0.0765
16,gw,oter,anger,0.7099,39,0.2743,,,,0.1526,,,,,,,,,,,,0.0761
17,gw,oter,anger,0.6887,39,0.2882,,,,0.1326,,,,,,,,,,,,0.0790
18,gw,oter,anger,0.6670,39,0.2618,,,,0.1266,,,,,,,,,,,,0.0861
19,gw,oter,anger,0.6246,39,0.2443,,,,0.1022,,,,,,,,,,,,0.0962
20,gw,oter,anger,0.5808,39,0.2143,,,,0.1042,,,,,,,,,,,,0.1019
21,gw,oter,anger,0.5080,39,0.1852,,,,0.0984,,,,,,,,,,,,0.1095
22,gw,oter,anger,0.4138,39,0.1563,,,,0.0908,,,,,,,,,,,,0.1171
23,gw,oter,anger,0.4867,39,0.1825,,,,,,,,,,,,,,,,0.1350
24,gw,oter,anger,0.4919,39,0.1904,,,,,,,,,,,,,,,,0.1353
25,gw,oter,anger,0.4945,39,0.1938,,,,,,,,,,,,,,,,0.1339
