N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
5,gw,rter,anger,0.487960,39,,,,0.385453,,,,,,,,,,,,0.124407,-0.012877
6,gw,rter,anger,0.390599,39,,,,0.368267,,,,,,,,,,,,0.130060,0.002558
7,gw,rter,anger,0.445202,39,,,,0.242101,0.185953,,,,,,,,,,0.165953,0.123203,-0.000571
8,gw,rter,anger,0.552974,39,,,,0.332004,,,,,,,,,,,0.161996,0.123870,0.007093
9,gw,rter,anger,0.421838,39,,,,0.168624,0.377079,-0.261572,,,0.156669,,,,,,,,0.078863
10,gw,rter,anger,0.383085,39,,,,,0.541562,-0.272945,,,0.145131,,,,,,,0.088625,0.093670
11,gw,rter,anger,0.376355,39,-0.289216,0.141513,,0.117783,0.446985,-0.241300,,,0.185397,,,,,,,0.084810,0.069086
12,gw,rter,anger,0.370887,39,-0.286661,0.147493,,0.102655,0.493612,-0.280838,,,0.190516,,,,,,,0.088911,0.073661
13,gw,rter,anger,0.469677,39,,,,0.140211,,,,,0.177919,,,,,,,,0.098265
14,gw,rter,anger,0.483498,39,,,,0.139824,,,,,0.181723,,,,,,,,0.097423
15,gw,rter,anger,0.478722,39,,,,0.157186,,,,,0.196855,,,,,,0.122438,,0.073226
16,gw,rter,anger,0.490673,39,,,,0.094788,0.249929,,,,0.195184,,,,,,,,0.054898
17,gw,rter,anger,0.559329,39,,,,0.133131,,,,,0.203136,,,,,,,,0.099794
18,gw,rter,anger,0.550475,39,,,,0.115636,,,,,0.292096,,,,,-0.138539,0.242921,,0.083214
19,gw,rter,anger,0.512290,39,,,,,0.242848,,,,0.301257,,,,,-0.172845,0.234560,,0.075697
20,gw,rter,anger,0.543774,39,,,,,0.240962,,,,0.303145,,,,,-0.154773,0.222028,,0.074138
21,gw,rter,anger,0.410396,39,0.284130,-0.117162,,,0.230813,,,-0.167301,0.347377,,,,,-0.185453,0.241495,,0.099121
22,gw,rter,anger,0.520038,39,0.381839,-0.198072,,,0.352746,,,-0.246749,0.326138,,,,,-0.135112,0.160923,0.071620,0.084229
23,gw,rter,anger,0.637597,39,,,,,0.303952,,,-0.212769,0.303231,,,,,,,0.115623,0.085960
24,gw,rter,anger,0.669422,39,,,,,0.338052,,,-0.222227,0.299684,,,,,,,0.120073,0.081848
25,gw,rter,anger,0.658995,39,,,,,0.339877,,,-0.234877,0.309370,,,,,,,0.123931,0.081264
