N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
5,gw,rter,anger,0.205214,39,,,,,,,,,,,,,,,,0.126720,0.165244
6,gw,rter,anger,0.185528,39,,,,,0.180818,,,,,,,,,,,0.118607,0.128298
7,gw,rter,anger,0.046679,39,,,,,0.338552,,,-0.136151,0.082002,,,,,,,0.098488,0.112979
8,gw,rter,anger,0.026251,39,,,,,0.280675,,,,0.081220,,,,,,,0.087492,0.088002
9,gw,rter,anger,0.186870,39,,,,,0.399366,,,-0.159478,0.102212,,,,,,,0.110907,0.098333
10,gw,rter,anger,0.397852,39,,,,,0.458533,,,-0.178370,0.122516,,,,,,,0.114048,0.085740
11,gw,rter,anger,0.492877,39,,,,,0.468857,,,-0.172061,0.154121,,,,,,,0.117413,0.074944
12,gw,rter,anger,0.445771,39,,,,,0.473377,,,-0.147910,0.158980,,,,,,,0.115174,0.067674
13,gw,rter,anger,0.250621,39,,,,,0.232621,,,,0.172178,,,,,,,0.087460,0.074036
14,gw,rter,anger,0.312249,39,,,,,0.272451,,,,0.176746,,,,,,,0.085208,0.064336
15,gw,rter,anger,0.521847,39,,,,,0.362266,,,,0.188368,,,,,,,0.083217,0.044131
16,gw,rter,anger,0.542527,39,,,,,0.344861,,,,0.200025,,,,,,,,0.065515
17,gw,rter,anger,0.512320,39,,,,,0.335932,,,,0.185626,,,,,,,0.061530,0.057197
18,gw,rter,anger,0.537428,39,,,,,0.368897,,,-0.167519,0.272548,,,,,,,0.076390,0.074401
19,gw,rter,anger,0.552749,39,,,,,0.376607,,,-0.182382,0.271867,,,,,,,0.075627,0.079650
20,gw,rter,anger,0.579668,39,,,,,0.361929,,,-0.177179,0.273020,,,,,,,0.079816,0.080493
21,gw,rter,anger,0.586425,39,,,,,0.328142,,,-0.175089,0.290567,,,,,,,0.075623,0.087146
22,gw,rter,anger,0.631075,39,,,,,0.410091,,,-0.213251,0.300352,,,,,,,0.083726,0.075600
23,gw,rter,anger,0.637597,39,,,,,0.303952,,,-0.212769,0.303231,,,,,,,0.115623,0.085960
24,gw,rter,anger,0.669422,39,,,,,0.338052,,,-0.222227,0.299684,,,,,,,0.120073,0.081848
25,gw,rter,anger,0.658995,39,,,,,0.339877,,,-0.234877,0.309370,,,,,,,0.123931,0.081264
