N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
5,gw,tter,anger,0.319669,39,,,,0.265483,,,,,,,,,,,,0.073202,0.036853
6,gw,tter,anger,0.158940,39,,,,0.205143,0.192189,,,,,,,,,-0.084431,0.146104,,0.043574
7,gw,tter,anger,0.622858,39,0.230890,,,0.233610,0.159230,,,,,,,,,,0.116492,0.058602,-0.032697
8,gw,tter,anger,0.661849,39,,0.161535,,0.199748,0.312818,,-0.287829,,,,,,,,0.087614,0.063321,0.002853
9,gw,tter,anger,0.616094,39,,0.132462,,0.151675,0.328306,-0.190537,,,,0.070289,,,,,,0.058842,0.022052
10,gw,tter,anger,0.607610,39,,0.108684,,0.106808,0.365786,-0.181218,,,,0.071459,,,,,,0.065377,0.036364
11,gw,tter,anger,0.574585,39,,0.099765,,0.080070,0.382042,-0.171324,,,,0.081879,,,,,,0.070556,0.039555
12,gw,tter,anger,0.528794,39,,0.092271,,0.070462,0.381704,-0.177228,,,0.089276,,,,,,,0.054407,0.058081
13,gw,tter,anger,0.585474,39,,,,0.151372,,,,,0.088492,,,,,,,,0.100334
14,gw,tter,anger,0.591054,39,,,,0.126894,0.180038,,,,0.099812,,,,,,,,0.063456
15,gw,tter,anger,0.670320,39,,,,0.108513,0.241409,,,,0.102812,,,,,,,,0.057927
16,gw,tter,anger,0.643469,39,,,,0.109490,0.233811,,,,0.092099,,,,,,,,0.063295
17,gw,tter,anger,0.596952,39,,,,0.114864,0.211171,,,,0.091376,,,,,,,,0.068839
18,gw,tter,anger,0.574043,39,0.212304,,,,0.237658,,,-0.118024,0.155097,,,,,-0.076077,0.116940,0.048486,0.071720
19,gw,tter,anger,0.557715,39,0.203370,,,,0.247817,,,-0.126368,0.158059,,,,,-0.089178,0.131037,0.046241,0.075858
20,gw,tter,anger,0.601963,39,0.190974,,,,0.233722,,,-0.121203,0.150298,,,,,-0.079706,0.139147,0.054113,0.077171
21,gw,tter,anger,0.524776,39,0.297624,-0.089352,,,0.211331,,,-0.135317,0.167683,,,,,-0.101974,0.148326,0.048222,0.093222
22,gw,tter,anger,0.621216,39,0.336441,-0.136816,,,0.266791,,,-0.165564,0.173739,,,,,-0.103711,0.139241,0.054511,0.093663
23,gw,tter,anger,0.617700,39,0.152850,,,,0.191918,,,-0.130623,0.147981,,,,,,,0.084414,0.092429
24,gw,tter,anger,0.634951,39,0.143116,,,,0.278471,0.150065,-0.262528,-0.174855,0.141617,,,,,,,0.086378,0.093390
25,gw,tter,anger,0.646082,39,,,,0.094952,0.179963,,,-0.133696,0.151426,,,,,,,0.079515,0.092320
