N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
5,gw,tter,anger,0.250120,39,,,,0.258908,0.125353,,,,,,,,,,,0.062333,0.015637
6,gw,tter,anger,0.102809,39,,,,0.232324,0.168602,,,,,,,,,,,0.062131,0.025295
7,gw,tter,anger,0.558969,39,,,,0.270624,0.134668,,,,,,,,,,,0.049301,0.023617
8,gw,tter,anger,0.561669,39,0.213308,,,0.200277,0.173218,,,,,,,,,,,0.055255,-0.000128
9,gw,tter,anger,0.583546,39,0.218775,,,0.136634,0.253879,,,-0.103000,,,,,,,,0.073780,0.035059
10,gw,tter,anger,0.575852,39,0.192927,,,0.100021,0.296748,,,-0.106303,,,,,,,,0.077670,0.047360
11,gw,tter,anger,0.605586,39,,,,0.137554,0.284727,,,-0.103591,0.070322,,,,,,,0.065271,0.059826
12,gw,tter,anger,0.566488,39,,,,0.129734,0.231339,,,,0.068358,,,,,,,0.054606,0.048682
13,gw,tter,anger,0.568096,39,,,,0.131043,0.151234,,,,0.098262,,,,,,,,0.069006
14,gw,tter,anger,0.589306,39,,,,0.127573,0.180408,,,,0.101254,,,,,,,,0.062854
15,gw,tter,anger,0.668697,39,,,,0.109228,0.242791,,,,0.104262,,,,,,,,0.057067
16,gw,tter,anger,0.595351,39,,,,0.105530,0.278353,,,-0.102831,0.083755,,,,,,,0.050343,0.072346
17,gw,tter,anger,0.525850,39,0.122408,,,0.066894,0.200673,,,,0.082002,,,,,,,0.045108,0.056304
18,gw,tter,anger,0.657067,39,0.205336,,,,0.270982,,,-0.131333,0.143474,,,,,,,0.059652,0.069212
19,gw,tter,anger,0.647386,39,0.203694,,,,0.269184,,,-0.138485,0.142798,,,,,,,0.060099,0.074081
20,gw,tter,anger,0.656202,39,0.178426,,,,0.258958,,,-0.135065,0.140884,,,,,,,0.064810,0.079751
21,gw,tter,anger,0.649388,39,0.170403,,,,0.229906,,,-0.130348,0.153128,,,,,,,0.061160,0.086499
22,gw,tter,anger,0.671426,39,0.154854,,,,0.272274,,,-0.151502,0.157796,,,,,,,0.065887,0.084060
23,gw,tter,anger,0.631862,39,,,,0.080399,0.163878,,,-0.127117,0.149832,,,,,,,0.074543,0.099593
24,gw,tter,anger,0.645065,39,,,,0.083652,0.174239,,,-0.126538,0.149880,,,,,,,0.075665,0.097512
25,gw,tter,anger,0.655291,39,0.184252,,,,0.204295,,,-0.151024,0.156552,,,,,,,0.088055,0.088517
