N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
5,gw,oter,fear,0.270728,39,-0.556995,0.397298,,,-0.263222,0.216633,0.237259,,,,,,0.316395,-0.090483,,,0.058952
6,gw,oter,fear,0.269497,39,-0.410724,0.391637,,,,0.149395,,,,,,,,-0.133346,0.255964,,0.061762
7,gw,oter,fear,0.597290,39,,0.414871,,0.182642,,0.154796,,,,0.090407,,,0.287511,-0.094764,,,-0.025737
8,gw,oter,fear,0.550628,39,,0.391125,,0.311097,,0.139151,,,,0.108043,,,0.194802,-0.065907,,0.052266,-0.034884
9,gw,oter,fear,0.571066,39,,0.411165,,0.189932,,0.150394,,-0.145194,-0.087293,0.126561,,,0.159076,-0.051930,,0.061302,-0.000676
10,gw,oter,fear,0.768485,39,0.256585,0.342785,,,,0.085075,,,-0.086324,0.109028,,,,,,,0.026500
11,gw,oter,fear,0.828992,39,0.224774,0.327063,,,,0.094197,,,-0.098153,0.114144,,,,,,,0.033878
12,gw,oter,fear,0.820599,39,0.196626,0.306627,,,,0.096463,,,-0.099466,0.113782,,,,,,,0.041262
13,gw,oter,fear,0.748502,39,0.276807,0.294148,-0.197473,,,0.075159,,,-0.093279,0.092765,,,,,,,0.057775
14,gw,oter,fear,0.745612,39,0.355043,0.296723,-0.262752,,,,,,-0.089052,0.079810,,,,,,,0.071831
15,gw,oter,fear,0.727026,39,,0.286715,,,,0.088192,,,-0.084514,0.100501,,,,,,,0.065507
16,gw,oter,fear,0.749527,39,,0.317490,,,,0.085869,,,-0.089818,0.096880,,,,,,,0.064962
17,gw,oter,fear,0.732854,39,,0.316496,,,0.264463,,-0.167620,,-0.105989,0.074702,,,,,,,0.068582
18,gw,oter,fear,0.725593,39,,0.308446,,,,,,,-0.079964,0.069415,,,,,,,0.087151
19,gw,oter,fear,0.698888,39,,0.273717,,,,0.110367,,,-0.105974,0.066928,,,,,,,0.076565
20,gw,oter,fear,0.630667,39,,0.250196,,,,0.168286,-0.119273,,-0.092992,0.047490,,0.035024,,,,,0.080788
21,gw,oter,fear,0.651001,39,,0.219665,,,,0.118581,,,-0.116998,0.048911,,0.036453,,,,,0.085152
22,gw,oter,fear,0.546633,39,,0.196325,,,-0.158131,0.181738,,,-0.075594,,,0.047908,,,,,0.100119
23,gw,oter,fear,0.621040,39,,0.213388,,,,0.180388,-0.144124,,-0.092569,,,0.054451,,,,,0.095289
24,gw,oter,fear,0.613554,39,,0.215430,,,,0.202060,-0.162513,,-0.098326,,,0.051090,,,,,0.094523
25,gw,oter,fear,0.620774,39,,0.221437,,,,0.211584,-0.177878,,-0.096768,,,0.052346,,,,,0.092854
