N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
5,gw,oter,fear,-0.055705,39,,0.202726,,,,0.105460,,,,,,,,,,,0.071030
6,gw,oter,fear,-0.053508,39,,0.197457,,,,0.113005,,,,,,,,,,,0.074709
7,gw,oter,fear,0.650416,39,,0.436095,,,,0.099267,,,,0.083880,,,,,,,0.015899
8,gw,oter,fear,0.612583,39,,0.439666,,,,0.106177,,,,0.094966,,,,,,,0.015187
9,gw,oter,fear,0.733410,39,,0.453081,,,,0.085690,,,,0.093581,,,,,,,0.020445
10,gw,oter,fear,0.753818,39,,0.426856,,,,0.099656,,,-0.078853,0.113633,,,,,,,0.030699
11,gw,oter,fear,0.814264,39,,0.405315,,,,0.109721,,,-0.086314,0.123080,,,,,,,0.035041
12,gw,oter,fear,0.813582,39,,0.378390,,,,0.108835,,,-0.087233,0.124462,,,,,,,0.041171
13,gw,oter,fear,0.763127,39,,0.313480,,,,0.090367,,,-0.074505,0.107014,,,,,,,0.056349
14,gw,oter,fear,0.758365,39,,0.311788,,,,0.091608,,,-0.074107,0.104750,,,,,,,0.056972
15,gw,oter,fear,0.727026,39,,0.286715,,,,0.088192,,,-0.084514,0.100501,,,,,,,0.065507
16,gw,oter,fear,0.749527,39,,0.317490,,,,0.085869,,,-0.089818,0.096880,,,,,,,0.064962
17,gw,oter,fear,0.727057,39,,0.327407,,,,0.093342,,,-0.101841,0.074888,,,,,,,0.067497
18,gw,oter,fear,0.711952,39,,0.303531,,,,0.087214,,,-0.100438,0.074039,,,,,,,0.073435
19,gw,oter,fear,0.698888,39,,0.273717,,,,0.110367,,,-0.105974,0.066928,,,,,,,0.076565
20,gw,oter,fear,0.659438,39,,0.245238,,,,0.113034,,,-0.111478,0.058073,,,,,,,0.083393
21,gw,oter,fear,0.640215,39,,0.220196,,,,0.106479,,,-0.125937,0.053209,,,,,,,0.091275
22,gw,oter,fear,0.586024,39,,0.198046,,,,0.101413,,,-0.128004,0.052263,,,,,,,0.096865
23,gw,oter,fear,0.568256,39,,0.212317,,,,0.090562,,,-0.134325,0.050137,,,,,,,0.099505
24,gw,oter,fear,0.552364,39,,0.215220,,,,0.102144,,,-0.138504,0.051994,,,,,,,0.097593
25,gw,oter,fear,0.545780,39,,0.217200,,,,0.106659,,,-0.137740,0.049707,,,,,,,0.096292
