N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
5,gw,rter,fear,0.624383,39,0.388063,,,0.435973,,,,,,0.241847,,,-0.333702,,0.393424,,-0.000856
6,gw,rter,fear,0.652968,39,,,,,,,,,-0.127056,0.279689,,,-0.358416,,0.393768,,0.108843
7,gw,rter,fear,0.664201,39,0.790894,-0.185845,,,0.217949,-0.262034,,,,0.284973,,0.073881,-0.529546,,0.434478,,0.071152
8,gw,rter,fear,0.738474,39,0.484816,,,,,,,,,0.300660,,,-0.282691,,0.277406,,0.049943
9,gw,rter,fear,0.700718,39,0.492791,,,,,-0.139983,,,,0.324487,,,-0.403133,,0.321000,,0.081610
10,gw,rter,fear,0.674236,39,0.409619,,,,,-0.132271,,,,0.319558,,,-0.349885,,0.295401,,0.088861
11,gw,rter,fear,0.759450,39,0.284169,,,,,,,,,0.381701,,,-0.275627,,0.234884,,0.071473
12,gw,rter,fear,0.737350,39,,,,,,,,,,0.391975,,,-0.258765,,0.233986,,0.095030
13,gw,rter,fear,0.742746,39,,,,,,,,,,0.391414,,,-0.275252,,0.226072,,0.096660
14,gw,rter,fear,0.772365,39,,,,,,,,,,0.412217,,,,,,,0.091292
15,gw,rter,fear,0.781349,39,0.249421,,,,,,,,,0.410452,,,-0.204897,,0.223994,,0.067639
16,gw,rter,fear,0.724404,39,,0.123577,,,,,,,,0.427911,,,-0.158783,,0.195051,,0.064565
17,gw,rter,fear,0.780666,39,,0.163020,,,,,,,,0.433299,,,,,,,0.062981
18,gw,rter,fear,0.782014,39,,0.144749,,,,,,,,0.420261,,,-0.192022,,0.209705,,0.066745
19,gw,rter,fear,0.735874,39,0.249946,,,,,,,,,0.411548,,,-0.239474,,0.233889,,0.073980
20,gw,rter,fear,0.811360,39,,,0.242448,,,,,,,0.508290,-0.153771,,-0.147598,,0.193436,,0.074823
21,gw,rter,fear,0.745595,39,,,,,,,,,,0.466092,-0.149473,,,-0.152704,0.203933,,0.102911
22,gw,rter,fear,0.813270,39,,,0.267236,,,,,,,0.425122,,,,,,,0.074948
23,gw,rter,fear,0.650184,39,,,,,0.276819,-0.350597,,,-0.189034,0.464907,,-0.109728,-0.172133,,,0.086314,0.146260
24,gw,rter,fear,0.623955,39,,,,,0.237383,-0.277692,,,-0.168799,0.458858,,-0.087521,,,,0.073978,0.122204
25,gw,rter,fear,0.690706,39,,,,,,-0.177992,,,,0.399591,,,,,,,0.128017
