N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
5,gw,rter,fear,0.571992,39,,,,,,,,,,0.202741,,,-0.278422,,0.345913,,0.103682
6,gw,rter,fear,0.651653,39,,,,,,,,,,0.246142,,,-0.303939,,0.356505,,0.102098
7,gw,rter,fear,0.705887,39,,,,,,,,,,0.259327,,,-0.276180,,0.289636,,0.098426
8,gw,rter,fear,0.666425,39,,,,,,,,,,0.274583,,,-0.330954,,0.316962,,0.102780
9,gw,rter,fear,0.621831,39,,,,,,,,,,0.295252,,,-0.296703,,0.286569,,0.102898
10,gw,rter,fear,0.646575,39,,,,,,,,,,0.303069,,,-0.246159,,0.252600,,0.101943
11,gw,rter,fear,0.763188,39,,,,,,,,,,0.375211,,,-0.280971,,0.240882,,0.098854
12,gw,rter,fear,0.737350,39,,,,,,,,,,0.391975,,,-0.258765,,0.233986,,0.095030
13,gw,rter,fear,0.742746,39,,,,,,,,,,0.391414,,,-0.275252,,0.226072,,0.096660
14,gw,rter,fear,0.749649,39,,,,,,,,,,0.397560,,,-0.229744,,0.216332,,0.093723
15,gw,rter,fear,0.757925,39,,,,,,,,,,0.400666,,,-0.228699,,0.234101,,0.092752
16,gw,rter,fear,0.734266,39,,,,,,,,,,0.399258,,,-0.205740,,0.216321,,0.092032
17,gw,rter,fear,0.732742,39,,,,,,,,,,0.388254,,,-0.214632,,0.212504,,0.096483
18,gw,rter,fear,0.744494,39,,,,,,,,,,0.388936,,,-0.256928,,0.246147,,0.097834
19,gw,rter,fear,0.755998,39,,,,,,,,,,0.406789,,,-0.264123,,0.252627,,0.096388
20,gw,rter,fear,0.795823,39,,,,,,,,,,0.423030,,,-0.193384,,0.234488,,0.091301
21,gw,rter,fear,0.766426,39,,,,,,,,,,0.393197,,,-0.213308,,0.182108,,0.101252
22,gw,rter,fear,0.819278,39,,,,,,,,,,0.409478,,,,,,,0.097372
23,gw,rter,fear,0.720910,39,,,,,,,,,,0.372553,,,,,,,0.098416
24,gw,rter,fear,0.720172,39,,,,,,,,,,0.372126,,,,,,,0.099132
25,gw,rter,fear,0.718310,39,,,,,,,,,,0.377500,,,,,,,0.098852
