N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
5,gw,tter,fear,0.658815,39,,,0.345244,0.411145,,,,,,0.171847,,,-0.325967,,0.370114,,0.019268
6,gw,tter,fear,0.594140,39,,,,,,,,,,0.122751,,,,-0.107025,0.273451,,0.110861
7,gw,tter,fear,0.696417,39,0.514139,,,0.214088,,,,,,0.191845,,,-0.134043,-0.083576,0.283894,,0.026672
8,gw,tter,fear,0.791138,39,0.586159,,,0.242963,,,,,,0.214118,,,-0.172509,-0.090454,0.291725,,0.019297
9,gw,tter,fear,0.736110,39,0.581935,,,0.155296,,,,,-0.095495,0.243867,,,-0.219198,-0.070495,0.287838,,0.042321
10,gw,tter,fear,0.754399,39,0.595157,,,,,,,,-0.089594,0.231152,,,-0.200088,-0.066964,0.261449,,0.063342
11,gw,tter,fear,0.780852,39,0.348877,0.110229,,,,,,,,0.260772,,,-0.196232,,0.154566,,0.056998
12,gw,tter,fear,0.717256,39,,0.117088,0.310213,,-0.155876,0.140141,,,,0.303355,,,,,,,0.049022
13,gw,tter,fear,0.773718,39,,0.186324,,,,,,,,0.281863,,,-0.171005,,0.140831,,0.072117
14,gw,tter,fear,0.778570,39,0.411108,,,,,,,,,0.251263,,,-0.170293,,0.145842,,0.073383
15,gw,tter,fear,0.798346,39,0.393358,,,,,,,,,0.255823,,,-0.169166,,0.152482,,0.074945
16,gw,tter,fear,0.743100,39,0.253687,0.108751,,,,,,,-0.097550,0.291219,,,-0.152775,,0.136199,,0.074604
17,gw,tter,fear,0.764396,39,,,0.468207,,,,,,-0.098722,0.286489,,,-0.151731,,0.128597,,0.081409
18,gw,tter,fear,0.749856,39,0.274783,0.108521,,,,,,,-0.098429,0.316290,-0.087871,,-0.183687,,0.149039,,0.081207
19,gw,tter,fear,0.808867,39,0.230735,0.111814,,,,,,,-0.092577,0.332706,-0.100721,,-0.179187,,0.142299,,0.084048
20,gw,tter,fear,0.839714,39,,,0.352685,,,,,,-0.084063,0.350435,-0.124908,,-0.126779,,0.120967,,0.093308
21,gw,tter,fear,0.782111,39,,,0.300339,,,,,,-0.085383,0.324921,-0.129263,,-0.109703,-0.062887,0.135761,,0.105736
22,gw,tter,fear,0.824794,39,,,0.348849,,,,,,,0.307891,-0.113938,,,,,,0.090141
23,gw,tter,fear,0.773386,39,,,0.359229,,,,,,-0.146666,0.291009,,,,,,,0.094256
24,gw,tter,fear,0.778695,39,,,0.376411,,,,,,-0.150288,0.295066,,,,,,,0.093796
25,gw,tter,fear,0.777965,39,,,0.382845,,,,,,-0.146097,0.295514,,,,,,,0.092432
