N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
5,gw,oter,fear,-0.259539,39,,,,,,,,,,,,,-0.134058,,,,0.226283
6,gw,oter,fear,0.043087,39,,,,,,,,,,,,,,-0.104840,,,0.225257
7,gw,oter,fear,0.686455,39,,0.397468,,0.237175,,,,,-0.059213,,,,,,,,-0.000395
8,gw,oter,fear,0.435813,39,,0.295571,0.419665,,,,,,,,,,,,,,0.046817
9,gw,oter,fear,0.697824,39,0.420223,0.264702,,,,,,,-0.057653,,,,,,,,0.057896
10,gw,oter,fear,0.777343,39,0.299505,0.291412,,,,,,,,,,,,,,,0.062739
11,gw,oter,fear,0.743269,39,0.142164,0.215561,0.210768,,,,,,,,,,-0.067435,,,,0.097608
12,gw,oter,fear,0.774589,39,,0.224941,0.270273,,,,,,,,,,-0.068061,,,,0.115618
13,gw,oter,fear,0.760622,39,0.276257,,0.421543,-0.068214,,,,,-0.078184,0.089544,-0.123152,,,,,,0.133240
14,gw,oter,fear,0.723846,39,0.286497,,0.301294,-0.072772,,,,,,,,,,-0.071112,,,0.154175
15,gw,oter,fear,0.720949,39,0.265943,,0.279305,-0.084616,,,,,,,,,,-0.082919,,,0.169484
16,gw,oter,fear,0.764938,39,0.330727,,0.244123,-0.093374,,0.179423,,-0.219685,-0.057246,,,,,-0.086528,,0.041341,0.185674
17,gw,oter,fear,0.768072,39,0.295851,,0.287966,-0.077623,,0.217104,,-0.225421,-0.091998,,,,,,-0.104489,0.053819,0.172547
18,gw,oter,fear,0.730196,39,0.315002,,0.264523,-0.092463,,0.218993,,-0.223930,-0.090829,,,,,,-0.101751,0.053744,0.176843
19,gw,oter,fear,0.737019,39,0.267945,,0.282114,-0.113986,,0.113686,,-0.160743,,,,,,-0.109189,,,0.202694
20,gw,oter,fear,0.734899,39,0.264485,,0.273454,-0.078442,,0.220438,,-0.254232,-0.094662,,,0.053628,,,-0.074468,0.049142,0.174274
21,gw,oter,fear,0.729337,39,0.249391,,0.252730,-0.088537,,0.199607,,-0.222552,-0.096583,,,0.053845,,,-0.076214,0.045929,0.182405
22,gw,oter,fear,0.734392,39,0.226134,,0.295832,-0.080237,-0.117077,0.228690,,-0.202528,-0.112969,,,0.063806,,,,0.046082,0.183117
23,gw,oter,fear,0.653363,39,0.168765,0.084360,0.224285,-0.106608,,0.199776,-0.195798,-0.164801,-0.097754,,,0.056430,-0.073712,,,0.038996,0.206717
24,gw,oter,fear,0.539345,39,0.154163,0.089788,0.243689,-0.117614,,0.247782,-0.214109,-0.163893,-0.099144,,,0.052222,,,-0.073604,0.036210,0.200039
25,gw,oter,fear,0.524320,39,0.171423,0.100978,0.190021,-0.117695,,0.227958,-0.233252,-0.168458,-0.100755,,,0.056887,-0.094989,,,0.035813,0.214731
