N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
5,gw,oter,fear,-0.419961,39,,,,,,,,,,,,,,,,,0.203212
6,gw,oter,fear,-0.418174,39,,,,,,,,,,,,,,,,,0.205428
7,gw,oter,fear,0.614271,39,,,0.568828,0.234827,,,,,-0.057415,,,,,,,,0.031252
8,gw,oter,fear,0.528458,39,0.382907,,0.499408,,,,,,,,,,,,,,0.045747
9,gw,oter,fear,0.712032,39,0.476903,,0.359667,,,,,,-0.066476,,,,,,,,0.071270
10,gw,oter,fear,0.741663,39,0.416497,,0.362334,,,,,,-0.050827,,,,,,,,0.082007
11,gw,oter,fear,0.764709,39,0.347591,,0.361690,,,,,,-0.054252,,,,,,,,0.098133
12,gw,oter,fear,0.761850,39,0.282759,,0.360324,,,,,,-0.049411,,,,,,,,0.111728
13,gw,oter,fear,0.738662,39,0.314241,,0.339884,-0.069211,,0.151690,,-0.125838,-0.056089,,,,,,,,0.136343
14,gw,oter,fear,0.729086,39,0.309627,,0.341637,-0.067218,,0.161598,,-0.136122,-0.056409,,,,,,,,0.136621
15,gw,oter,fear,0.703336,39,0.266414,,0.339517,-0.072714,,0.168087,,-0.131637,-0.057074,,,,,,,,0.145687
16,gw,oter,fear,0.675699,39,0.229506,,0.394122,-0.065174,,0.170384,,-0.135649,-0.063457,,,,,,,,0.147184
17,gw,oter,fear,0.728806,39,,,0.534345,,,0.179449,,-0.120556,-0.086987,,,,,,,,0.143948
18,gw,oter,fear,0.663536,39,0.232184,,0.387571,-0.074694,,0.174170,,-0.130906,-0.078048,,,,,,,,0.152490
19,gw,oter,fear,0.637684,39,0.208669,,0.364793,-0.074515,,0.163616,,-0.132706,-0.070265,,,,,,,,0.162185
20,gw,oter,fear,0.661645,39,0.202111,,0.357314,-0.084822,,0.177642,,-0.132090,-0.075014,,,,,,,,0.166222
21,gw,oter,fear,0.646424,39,0.190392,,0.334969,-0.094766,,0.155542,,-0.102240,-0.082845,,,,,,,,0.174913
22,gw,oter,fear,0.635600,39,0.189047,,0.337681,-0.118766,,0.149121,,-0.093208,-0.085030,,,,,,,,0.183440
23,gw,oter,fear,0.666992,39,0.188900,,0.356493,-0.124240,,,,,-0.073301,,,,,,,,0.195680
24,gw,oter,fear,0.654363,39,0.207724,,0.351210,-0.132619,,,,,-0.072495,,,,,,,,0.197126
25,gw,oter,fear,0.628954,39,0.227378,,0.328147,-0.142145,,,,,-0.078601,,,,,,,,0.199152
