N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
5,gw,oter,fear,-0.2595,39,,,,,,,,,,,,,-0.1341,,,,0.2263
6,gw,oter,fear,0.0431,39,,,,,,,,,,,,,,-0.1048,,,0.2253
7,gw,oter,fear,0.6865,39,,0.3975,,0.2372,,,,,-0.0592,,,,,,,,-0.0004
8,gw,oter,fear,0.4358,39,,0.2956,0.4197,,,,,,,,,,,,,,0.0468
9,gw,oter,fear,0.6978,39,0.4202,0.2647,,,,,,,-0.0577,,,,,,,,0.0579
10,gw,oter,fear,0.7773,39,0.2995,0.2914,,,,,,,,,,,,,,,0.0627
11,gw,oter,fear,0.7433,39,0.1422,0.2156,0.2108,,,,,,,,,,-0.0674,,,,0.0976
12,gw,oter,fear,0.7746,39,,0.2249,0.2703,,,,,,,,,,-0.0681,,,,0.1156
13,gw,oter,fear,0.7606,39,0.2763,,0.4215,-0.0682,,,,,-0.0782,0.0895,-0.1232,,,,,,0.1332
14,gw,oter,fear,0.7238,39,0.2865,,0.3013,-0.0728,,,,,,,,,,-0.0711,,,0.1542
15,gw,oter,fear,0.7209,39,0.2659,,0.2793,-0.0846,,,,,,,,,,-0.0829,,,0.1695
16,gw,oter,fear,0.7649,39,0.3307,,0.2441,-0.0934,,0.1794,,-0.2197,-0.0572,,,,,-0.0865,,0.0413,0.1857
17,gw,oter,fear,0.7681,39,0.2959,,0.2880,-0.0776,,0.2171,,-0.2254,-0.0920,,,,,,-0.1045,0.0538,0.1725
18,gw,oter,fear,0.7302,39,0.3150,,0.2645,-0.0925,,0.2190,,-0.2239,-0.0908,,,,,,-0.1018,0.0537,0.1768
19,gw,oter,fear,0.7370,39,0.2679,,0.2821,-0.1140,,0.1137,,-0.1607,,,,,,-0.1092,,,0.2027
20,gw,oter,fear,0.7349,39,0.2645,,0.2735,-0.0784,,0.2204,,-0.2542,-0.0947,,,0.0536,,,-0.0745,0.0491,0.1743
21,gw,oter,fear,0.7293,39,0.2494,,0.2527,-0.0885,,0.1996,,-0.2226,-0.0966,,,0.0538,,,-0.0762,0.0459,0.1824
22,gw,oter,fear,0.7344,39,0.2261,,0.2958,-0.0802,-0.1171,0.2287,,-0.2025,-0.1130,,,0.0638,,,,0.0461,0.1831
23,gw,oter,fear,0.6534,39,0.1688,0.0844,0.2243,-0.1066,,0.1998,-0.1958,-0.1648,-0.0978,,,0.0564,-0.0737,,,0.0390,0.2067
24,gw,oter,fear,0.5393,39,0.1542,0.0898,0.2437,-0.1176,,0.2478,-0.2141,-0.1639,-0.0991,,,0.0522,,,-0.0736,0.0362,0.2000
25,gw,oter,fear,0.5243,39,0.1714,0.1010,0.1900,-0.1177,,0.2280,-0.2333,-0.1685,-0.1008,,,0.0569,-0.0950,,,0.0358,0.2147
