N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
5,gw,oter,fear,-0.4200,39,,,,,,,,,,,,,,,,,0.2032
6,gw,oter,fear,-0.4182,39,,,,,,,,,,,,,,,,,0.2054
7,gw,oter,fear,0.6143,39,,,0.5688,0.2348,,,,,-0.0574,,,,,,,,0.0313
8,gw,oter,fear,0.5285,39,0.3829,,0.4994,,,,,,,,,,,,,,0.0457
9,gw,oter,fear,0.7120,39,0.4769,,0.3597,,,,,,-0.0665,,,,,,,,0.0713
10,gw,oter,fear,0.7417,39,0.4165,,0.3623,,,,,,-0.0508,,,,,,,,0.0820
11,gw,oter,fear,0.7647,39,0.3476,,0.3617,,,,,,-0.0543,,,,,,,,0.0981
12,gw,oter,fear,0.7619,39,0.2828,,0.3603,,,,,,-0.0494,,,,,,,,0.1117
13,gw,oter,fear,0.7387,39,0.3142,,0.3399,-0.0692,,0.1517,,-0.1258,-0.0561,,,,,,,,0.1363
14,gw,oter,fear,0.7291,39,0.3096,,0.3416,-0.0672,,0.1616,,-0.1361,-0.0564,,,,,,,,0.1366
15,gw,oter,fear,0.7033,39,0.2664,,0.3395,-0.0727,,0.1681,,-0.1316,-0.0571,,,,,,,,0.1457
16,gw,oter,fear,0.6757,39,0.2295,,0.3941,-0.0652,,0.1704,,-0.1356,-0.0635,,,,,,,,0.1472
17,gw,oter,fear,0.7288,39,,,0.5343,,,0.1794,,-0.1206,-0.0870,,,,,,,,0.1439
18,gw,oter,fear,0.6635,39,0.2322,,0.3876,-0.0747,,0.1742,,-0.1309,-0.0780,,,,,,,,0.1525
19,gw,oter,fear,0.6377,39,0.2087,,0.3648,-0.0745,,0.1636,,-0.1327,-0.0703,,,,,,,,0.1622
20,gw,oter,fear,0.6616,39,0.2021,,0.3573,-0.0848,,0.1776,,-0.1321,-0.0750,,,,,,,,0.1662
21,gw,oter,fear,0.6464,39,0.1904,,0.3350,-0.0948,,0.1555,,-0.1022,-0.0828,,,,,,,,0.1749
22,gw,oter,fear,0.6356,39,0.1890,,0.3377,-0.1188,,0.1491,,-0.0932,-0.0850,,,,,,,,0.1834
23,gw,oter,fear,0.6670,39,0.1889,,0.3565,-0.1242,,,,,-0.0733,,,,,,,,0.1957
24,gw,oter,fear,0.6544,39,0.2077,,0.3512,-0.1326,,,,,-0.0725,,,,,,,,0.1971
25,gw,oter,fear,0.6290,39,0.2274,,0.3281,-0.1421,,,,,-0.0786,,,,,,,,0.1992
