N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
5,gw,rter,fear,0.475980,39,,0.489690,-0.976823,0.422464,-0.264495,,,0.181526,-0.094490,,0.240659,,-0.335670,0.143389,0.181764,,0.058817
6,gw,rter,fear,0.552356,39,,,-0.512892,,,0.216578,-0.167911,,,,0.338186,,-0.319193,,0.327363,,0.267746
7,gw,rter,fear,0.346258,39,,0.467246,-0.615731,,,0.231703,-0.511715,,,,0.291080,,-0.378284,,0.378561,,0.199879
8,gw,rter,fear,0.599667,39,,,,0.364863,,,,,,0.183329,,,-0.224572,,0.328108,,0.041654
9,gw,rter,fear,0.591409,39,,,,0.424090,-0.530756,,0.621718,,,0.259954,,,,,0.185138,,-0.013703
10,gw,rter,fear,0.531932,39,,,,0.312135,-0.438573,,0.555835,,,0.264940,,,,,0.163424,,0.027058
11,gw,rter,fear,0.558248,39,,,,0.232772,-0.396911,,0.567124,,,0.181654,0.231132,,-0.201238,,0.259606,,0.060738
12,gw,rter,fear,0.514943,39,,,,0.145046,,,,,,0.173139,0.230006,,-0.266392,,0.281412,,0.123187
13,gw,rter,fear,0.558967,39,,,,0.138838,,,,,,0.313790,,,,,,,0.109820
14,gw,rter,fear,0.556225,39,,,,0.139500,,,,,,0.313029,,,,,,,0.110136
15,gw,rter,fear,0.702769,39,,,,0.128085,,,,,,0.361038,,,,,,,0.103686
16,gw,rter,fear,0.688724,39,,,,0.149073,,,,,,0.351332,,,,,,,0.102858
17,gw,rter,fear,0.647849,39,,,,0.175987,,,,,,0.345340,,,-0.186554,,0.215818,,0.102005
18,gw,rter,fear,0.738533,39,,,,0.140865,,,,,,0.389411,,,,,,,0.102534
19,gw,rter,fear,0.747363,39,,,,0.137986,,,,,,0.401854,,,,,,,0.102113
20,gw,rter,fear,0.707529,39,,,,0.110601,,,,,,0.417775,,,-0.180369,-0.135469,0.353782,,0.118359
21,gw,rter,fear,0.719211,39,,,0.284959,,,,,,,0.478344,-0.138776,,,-0.215390,0.311860,,0.115267
22,gw,rter,fear,0.755343,39,,,,,,,,,,0.456868,,-0.106979,,-0.305724,0.304664,,0.181867
23,gw,rter,fear,0.732843,39,,,,,,,,,,0.455582,,-0.117048,,-0.326851,0.368026,,0.178633
24,gw,rter,fear,0.751376,39,,,,0.142153,,,,,,0.383422,,,,,,,0.109910
25,gw,rter,fear,0.751954,39,,,,0.152544,,,,,,0.390478,,,,,,,0.105819
