N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
5,gw,rter,fear,0.271919,39,,,,0.422999,,,,,,0.096416,,,,,,,0.022887
6,gw,rter,fear,0.369401,39,,,,,,,,,,0.181584,,,,,,,0.193299
7,gw,rter,fear,0.508096,39,,,,0.269308,,,,,,0.199259,,,,,,,0.069065
8,gw,rter,fear,0.530107,39,,,,0.350190,,,,,,0.216121,,,,,,,0.040830
9,gw,rter,fear,0.573359,39,,,,0.259216,,,,,,0.271814,,,,,,,0.067996
10,gw,rter,fear,0.577715,39,,,,0.181861,,,,,,0.276413,,,,,,,0.099756
11,gw,rter,fear,0.585711,39,,,,0.157655,,,,,,0.302658,,,,,,,0.102029
12,gw,rter,fear,0.558607,39,,,,0.147238,,,,,,0.306555,,,,,,,0.106240
13,gw,rter,fear,0.558967,39,,,,0.138838,,,,,,0.313790,,,,,,,0.109820
14,gw,rter,fear,0.556225,39,,,,0.139500,,,,,,0.313029,,,,,,,0.110136
15,gw,rter,fear,0.702769,39,,,,0.128085,,,,,,0.361038,,,,,,,0.103686
16,gw,rter,fear,0.688724,39,,,,0.149073,,,,,,0.351332,,,,,,,0.102858
17,gw,rter,fear,0.691635,39,,,,0.151547,,,,,,0.346666,,,,,,,0.107389
18,gw,rter,fear,0.738533,39,,,,0.140865,,,,,,0.389411,,,,,,,0.102534
19,gw,rter,fear,0.747363,39,,,,0.137986,,,,,,0.401854,,,,,,,0.102113
20,gw,rter,fear,0.765783,39,,,,0.108676,,,,,,0.409872,,,,,,,0.111915
21,gw,rter,fear,0.761083,39,,,,0.111719,,,,,,0.396641,,,,,,,0.114312
22,gw,rter,fear,0.779799,39,,,,0.131881,,,,,,0.394248,,,,,,,0.109024
23,gw,rter,fear,0.745460,39,,,,0.128781,,,,,,0.380897,,,,,,,0.112543
24,gw,rter,fear,0.751376,39,,,,0.142153,,,,,,0.383422,,,,,,,0.109910
25,gw,rter,fear,0.751954,39,,,,0.152544,,,,,,0.390478,,,,,,,0.105819
