N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
5,gw,tter,fear,0.063857,39,,,,,,,,,,0.088597,,,,-0.151464,0.216683,,0.194496
6,gw,tter,fear,0.179512,39,,,,,,,,,,0.105834,,,,-0.173447,0.225323,,0.197616
7,gw,tter,fear,0.308100,39,,0.228963,,,,,,,,0.137588,,,,-0.173347,0.238496,,0.108516
8,gw,tter,fear,0.218885,39,,0.258082,,,,,,,,0.142732,,,,-0.152978,0.188837,,0.108017
9,gw,tter,fear,0.459223,39,,0.318827,,,,,,,,0.182903,,,,-0.154321,0.200487,,0.082320
10,gw,tter,fear,0.564566,39,,0.280170,,,,,,,,0.173761,,,,,,,0.097598
11,gw,tter,fear,0.579906,39,,0.258862,,,,,,,,0.189789,,,,,,,0.100720
12,gw,tter,fear,0.560658,39,,0.245542,,,,,,,,0.193310,,,,,,,0.105380
13,gw,tter,fear,0.545419,39,,0.206973,,,,,,,,0.196363,,,,,,,0.119205
14,gw,tter,fear,0.542013,39,,0.207259,,,,,,,,0.195349,,,,,,,0.119629
15,gw,tter,fear,0.629249,39,,0.195386,,,,,,,,0.246709,,,,-0.135530,0.177115,,0.113181
16,gw,tter,fear,0.623674,39,,0.207918,,,,,,,,0.235624,,,,-0.141460,0.178690,,0.117739
17,gw,tter,fear,0.642243,39,,0.246610,,,,,,,,0.200378,,,,,,,0.116629
18,gw,tter,fear,0.698348,39,,0.214954,,,,,,,,0.230447,,,,,,,0.119218
19,gw,tter,fear,0.695841,39,,0.198664,,,,,,,,0.236517,,,,,,,0.123686
20,gw,tter,fear,0.676885,39,,0.144663,,,,,,,,0.253254,,,,-0.147107,0.175260,,0.139805
21,gw,tter,fear,0.673387,39,,0.128177,,,,,,,,0.249188,,,,-0.167645,0.181218,,0.148780
22,gw,tter,fear,0.657148,39,,0.104474,,,,,,,,0.245434,,,,-0.175406,0.179624,,0.158474
23,gw,tter,fear,0.635396,39,,0.114569,,,,,,,,0.238446,,,,-0.184067,0.214252,,0.154323
24,gw,tter,fear,0.670987,39,,0.145182,,,,,,,,0.220726,,,,,,,0.146600
25,gw,tter,fear,0.672766,39,,0.152814,,,,,,,,0.224603,,,,,,,0.143742
