N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
8,gw,oter,fear,0.618220,52,,0.348194,,0.424076,,0.114013,,,,,0.122562,,,,0.098303,,-0.019090
9,gw,oter,fear,0.517747,52,0.224912,0.362433,-0.362499,0.435465,,,,0.257316,,,,-0.061653,,,,,0.006619
10,gw,oter,fear,0.577800,52,,0.309834,,0.327018,-0.148882,0.138244,,0.157530,,,,,,,,,0.021982
11,gw,oter,fear,0.589803,52,,0.308848,,0.248412,-0.169496,0.142387,,0.183140,,,,,,,,,0.032523
12,gw,oter,fear,0.561936,52,,0.379320,-0.229513,0.203939,-0.218528,0.229598,,0.209990,-0.087307,,,,0.118001,,,,0.030849
13,gw,oter,fear,0.600252,52,,0.486231,-0.368816,,,,,0.343935,,,,-0.069213,,,,,0.055290
14,gw,oter,fear,0.612988,52,,0.548201,-0.459877,,,,,0.412193,,,,-0.072594,,,,,0.047459
15,gw,oter,fear,0.576698,52,,0.461860,-0.443073,0.120242,-0.181562,0.130888,,0.362759,-0.096413,,,-0.065622,,,,,0.063842
16,gw,oter,fear,0.564716,52,,0.446191,-0.384621,0.126987,-0.189461,0.115643,,0.335577,,,,-0.052838,,,,,0.057855
17,gw,oter,fear,0.624138,52,,0.513920,-0.512007,,,,,0.451682,-0.102046,,,-0.078328,,,,,0.067748
18,gw,oter,fear,0.593620,52,,0.478628,-0.472604,,,,,0.477902,-0.095251,,,-0.073329,,,,,0.067695
19,gw,oter,fear,0.524389,52,,0.433476,-0.441182,,,,,0.502682,-0.083248,,,-0.073383,-0.129798,0.070358,,,0.074290
20,gw,oter,fear,0.628295,52,,0.452133,-0.446305,,,,,0.417419,-0.079283,,,-0.051824,,,,,0.075874
21,gw,oter,fear,0.652411,52,,0.474206,-0.520520,,,,,0.413729,-0.102972,,,-0.051551,,,,,0.080971
22,gw,oter,fear,0.654826,52,,0.477216,-0.664125,0.122383,,,,0.430151,-0.127543,,,-0.058768,,,,,0.079680
23,gw,oter,fear,0.668362,52,,0.470881,-0.648921,0.132114,,,,0.432726,-0.143967,,,-0.056456,,,,,0.079230
24,gw,oter,fear,0.607926,52,,0.422820,-0.424033,,,,,0.352134,-0.119030,,,,,,,,0.086510
25,gw,oter,fear,0.578920,52,,0.384355,-0.485606,0.153793,-0.186678,0.200191,,0.364565,-0.156656,,,,,,,,0.072384
