N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
8,gw,rter,fear,0.518396,52,0.522019,,,,,,,,,0.230156,,,,,0.137069,,0.046612
9,gw,rter,fear,0.504711,52,,0.253448,,,,,,,0.134691,0.141392,0.292498,,,,0.101524,,0.035155
10,gw,rter,fear,0.356446,52,0.650440,,-0.432985,,,,,,,0.187036,,,,,0.101037,,0.078604
11,gw,rter,fear,0.262046,52,0.626116,,-0.443396,,,,,,,0.197201,,,,,,,0.094841
12,gw,rter,fear,0.259195,52,0.660009,,-0.481525,,,,,,,0.187253,,,,,,,0.097323
13,gw,rter,fear,0.379033,52,0.837608,,-0.704577,,,,,,,0.123141,0.238434,-0.102515,,-0.146744,0.246972,,0.096560
14,gw,rter,fear,0.346935,52,0.870957,,-0.718987,,,,,,,0.130490,0.230941,-0.092719,,-0.153065,0.258801,,0.093348
15,gw,rter,fear,0.339850,52,0.945901,,-0.810337,,,,,,,0.143525,0.201578,-0.092965,,-0.163005,0.284964,,0.092629
16,gw,rter,fear,0.360648,52,0.926155,,-0.820851,,,,,,,0.150006,0.200770,-0.093353,,-0.163651,0.295786,,0.094637
17,gw,rter,fear,0.337284,52,0.633899,,-0.476936,,,,,,,0.225209,,,,,,,0.096859
18,gw,rter,fear,0.626728,52,0.597988,0.194444,-0.850612,,,,,,,0.391996,,-0.077323,,-0.144106,0.252182,,0.076473
19,gw,rter,fear,0.624841,52,0.566100,0.248239,-0.924152,,,,,,,0.396554,,-0.084695,,-0.139808,0.250702,,0.075449
20,gw,rter,fear,0.596460,52,0.516577,0.342412,-0.948682,,-0.270726,,0.349033,-0.405785,,0.427859,,,,-0.149596,0.304926,0.122770,0.080697
21,gw,rter,fear,0.670856,52,0.434602,0.368963,-0.872050,,-0.316918,,0.474402,-0.427311,,0.454010,,,,,0.163116,0.132982,0.064264
22,gw,rter,fear,0.630426,52,0.411579,0.344219,-0.776458,,-0.274885,,0.413952,-0.404779,,0.457837,,,,,0.150217,0.130090,0.063382
23,gw,rter,fear,0.693667,52,0.317754,0.373291,-0.824274,,-0.245147,,0.392886,-0.493420,,0.508511,,,-0.246726,,0.271785,0.142161,0.080349
24,gw,rter,fear,0.700283,52,0.341058,0.402026,-0.844997,,-0.266838,,0.422982,-0.502770,,0.529951,,,-0.258698,,0.291793,0.157183,0.073993
25,gw,rter,fear,0.619647,52,,0.428077,-0.477884,,-0.284898,,0.290005,-0.363827,,0.490792,,,,,0.179406,0.162972,0.058138
