N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
8,gw,tter,fear,0.351455,52,0.326664,0.264913,-0.269758,0.344456,,0.075058,,,,0.160262,0.121829,-0.065283,,,0.130881,,-0.01489
9,gw,tter,fear,0.516788,52,,0.299959,,0.324521,,0.142803,-0.162292,,,0.115076,0.262652,-0.064496,,,0.085553,,-0.001734
10,gw,tter,fear,0.365753,52,0.418584,,,,,,,,,0.07744,0.098649,,,,0.073479,,0.073127
11,gw,tter,fear,0.322359,52,0.404529,,,,,,,,,0.125688,,,,,,,0.086348
12,gw,tter,fear,0.26472,52,0.502003,0.161943,-0.501396,,,,,0.299279,,0.122844,,-0.093869,,,,,0.068347
13,gw,tter,fear,0.463416,52,0.574497,,-0.28662,,,,,,,,0.2436,-0.079268,,,,,0.10465
14,gw,tter,fear,0.384845,52,0.487024,0.233768,-0.59297,,,,,0.301726,,,0.224699,-0.111576,,,,,0.069449
15,gw,tter,fear,0.309527,52,0.532304,0.220716,-0.671181,,,,,0.381649,,0.130945,,-0.112308,,,,,0.065065
16,gw,tter,fear,0.313267,52,0.535258,0.212462,-0.665812,,,,,0.399904,,0.141763,,-0.109908,,,,,0.063251
17,gw,tter,fear,0.304076,52,0.526067,0.212425,-0.676079,,,,,0.401729,,0.140563,,-0.109579,,,,,0.065749
18,gw,tter,fear,0.53847,52,0.361783,0.336215,-0.760375,,,,,,,0.242057,,-0.075053,,-0.083642,0.167505,0.076852,0.074854
19,gw,tter,fear,0.531015,52,0.344129,0.357854,-0.801974,,,,,,,0.245615,,-0.078611,,-0.079432,0.164736,0.074601,0.076282
20,gw,tter,fear,0.642713,52,0.324892,0.304414,-0.715869,,,,,,,0.256805,,-0.067634,,,,,0.094425
21,gw,tter,fear,0.642363,52,0.332569,0.302383,-0.719724,,,,,,,0.254282,,-0.066593,,,,,0.095901
22,gw,tter,fear,0.641006,52,0.31027,0.309624,-0.705772,,,,,,,0.255569,,-0.066105,,,,,0.095556
23,gw,tter,fear,0.633175,52,0.208293,0.393705,-0.777629,,,,,,,0.267972,,-0.074654,,,,0.074213,0.086493
24,gw,tter,fear,0.566367,52,0.258275,0.435456,-0.967298,,,,,,,0.28259,,-0.086447,-0.16646,,0.161582,0.100708,0.089628
25,gw,tter,fear,0.603404,52,0.19656,0.396833,-0.591695,,-0.2019,,0.202773,,,0.263956,,,,,0.118951,0.10947,0.058339
