N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
8,gw,tter,fear,0.243142,52,0.354545,0.266499,-0.293538,,,,,,,0.187710,,-0.063887,,,,,0.058466
9,gw,tter,fear,0.303122,52,0.372725,0.275101,-0.264277,,,,,,,0.192258,,-0.062973,,,,,0.053153
10,gw,tter,fear,0.375126,52,0.419804,,,,,,,,,0.122917,,,,,,,0.082724
11,gw,tter,fear,0.322359,52,0.404529,,,,,,,,,0.125688,,,,,,,0.086348
12,gw,tter,fear,0.317737,52,0.400047,,,,,,,,,0.111250,,,,,,,0.090155
13,gw,tter,fear,0.275368,52,0.524032,0.129751,-0.475489,,,,,,,0.135734,,-0.077405,,,,,0.098687
14,gw,tter,fear,0.265047,52,0.506722,0.145844,-0.465531,,,,,,,0.135335,,-0.066198,,,,,0.096998
15,gw,tter,fear,0.258474,52,0.522230,0.123317,-0.485119,,,,,,,0.132640,,-0.069986,,,,,0.101841
16,gw,tter,fear,0.279939,52,0.520548,0.113096,-0.478588,,,,,,,0.140281,,-0.066567,,,,,0.102357
17,gw,tter,fear,0.274815,52,0.510193,0.111061,-0.485990,,,,,,,0.140721,,-0.067827,,,,,0.104998
18,gw,tter,fear,0.611603,52,0.321072,0.246462,-0.540450,,,,,,,0.254570,,-0.063283,,,,,0.087849
19,gw,tter,fear,0.607281,52,0.303253,0.275585,-0.597092,,,,,,,0.257466,,-0.067266,,,,,0.089191
20,gw,tter,fear,0.642713,52,0.324892,0.304414,-0.715869,,,,,,,0.256805,,-0.067634,,,,,0.094425
21,gw,tter,fear,0.642363,52,0.332569,0.302383,-0.719724,,,,,,,0.254282,,-0.066593,,,,,0.095901
22,gw,tter,fear,0.641006,52,0.310270,0.309624,-0.705772,,,,,,,0.255569,,-0.066105,,,,,0.095556
23,gw,tter,fear,0.662562,52,0.240158,0.327066,-0.681198,,,,,,,0.278027,,-0.070516,,,,,0.093481
24,gw,tter,fear,0.643122,52,0.255074,0.321070,-0.672958,,,,,,,0.284734,,-0.068956,,,,,0.094238
25,gw,tter,fear,0.634565,52,,0.195013,,,,,,,,0.267263,,,,,,,0.078773
