N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
8,gw,oter,fear,0.405355,52,,0.463779,,,,,,,,0.053512,,,,,,,0.049978
9,gw,oter,fear,0.436458,52,,0.469126,,,0.126454,,,,,,,,,,,,0.044113
10,gw,oter,fear,0.556450,52,,0.464016,,,0.116433,,,,,,,,,,,,0.050851
11,gw,oter,fear,0.598392,52,,0.428893,,,0.103540,,,,,,,,,,,,0.066973
12,gw,oter,fear,0.658712,52,,0.376494,,,,,,,,-0.072662,0.078615,,,,,,0.114434
13,gw,oter,fear,0.633972,52,,0.340269,,,,0.199355,-0.290721,,,-0.098579,0.100477,,,,,,0.126469
14,gw,oter,fear,0.661987,52,,0.363267,,,,0.223808,-0.375319,,,-0.109014,0.099271,,,,,,0.135529
15,gw,oter,fear,0.664814,52,,0.297193,,,-0.119552,0.272111,-0.283599,,-0.079939,-0.083053,0.106203,,,,,,0.165086
16,gw,oter,fear,0.638241,52,,0.298438,,,,0.281857,-0.374458,,-0.068914,-0.085514,0.111122,,,,,,0.146937
17,gw,oter,fear,0.628932,52,,0.293698,,,-0.172606,0.154334,,,-0.086160,,,,,,,,0.157926
18,gw,oter,fear,0.611255,52,,0.274709,,,-0.178248,0.166120,,,-0.081296,,,,,,,,0.161119
19,gw,oter,fear,0.554232,52,,0.228294,,,,0.169248,,-0.141749,-0.073978,,,,,,,,0.173012
20,gw,oter,fear,0.496374,52,0.112620,0.169666,,,,0.297949,-0.258033,-0.112849,-0.070339,-0.054943,0.063636,,,,,,0.174531
21,gw,oter,fear,0.512433,52,0.243508,0.138123,,-0.076942,,0.110686,,,-0.078445,,,,,,,,0.155832
22,gw,oter,fear,0.517815,52,0.231170,0.188494,-0.212213,,,,,,-0.082308,,,,,,,,0.179142
23,gw,oter,fear,0.530438,52,0.225124,0.208830,-0.236346,,,,,,-0.088269,,,,,,,,0.179010
24,gw,oter,fear,0.464551,52,0.245916,0.180006,-0.245651,,,,,,-0.113878,,,,,,,,0.193557
25,gw,oter,fear,0.519447,52,0.190823,0.117802,,,-0.175802,0.173219,,,-0.134827,,,,,,,,0.182336
