N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
8,gw,oter,fear,0.405355,52,,0.463779,,,,,,,,0.053512,,,,,,,0.049978
9,gw,oter,fear,0.441683,52,,0.432203,,,,,,,,,,,,,,,0.080504
10,gw,oter,fear,0.576003,52,,0.438220,,,,,,,,,,,,,,,0.081732
11,gw,oter,fear,0.623416,52,,0.411815,,,,,,,,,,,,,,,0.092614
12,gw,oter,fear,0.636607,52,,0.366783,,,,0.166596,-0.225697,,,-0.091459,0.094360,,,,,,0.114364
13,gw,oter,fear,0.633972,52,,0.340269,,,,0.199355,-0.290721,,,-0.098579,0.100477,,,,,,0.126469
14,gw,oter,fear,0.661987,52,,0.363267,,,,0.223808,-0.375319,,,-0.109014,0.099271,,,,,,0.135529
15,gw,oter,fear,0.687073,52,,0.285702,,,,0.287459,-0.403307,,-0.076340,-0.094856,0.110945,,,,,,0.158361
16,gw,oter,fear,0.638241,52,,0.298438,,,,0.281857,-0.374458,,-0.068914,-0.085514,0.111122,,,,,,0.146937
17,gw,oter,fear,0.568404,52,,0.280585,,,,0.099014,,,-0.083383,,,,,,,,0.136302
18,gw,oter,fear,0.516241,52,,0.248078,,,,0.268747,-0.290548,,-0.073900,-0.054245,0.060164,,,,,,0.152469
19,gw,oter,fear,0.491260,52,,0.233321,,,,0.113555,,,-0.077039,,,,,,,,0.146917
20,gw,oter,fear,0.570687,52,,0.252474,,,,,,,-0.058016,,,,,,,,0.168973
21,gw,oter,fear,0.535168,52,,0.227183,,,,,,,-0.065560,,,,,,,,0.176781
22,gw,oter,fear,0.504788,52,,0.229788,,,,,,,-0.066644,,,,,,,,0.175845
23,gw,oter,fear,0.527313,52,,0.234436,,,,,,,-0.073387,,,,,,,,0.175474
24,gw,oter,fear,0.494499,52,,0.214205,,,,,,,-0.099117,,,,,,,,0.190298
25,gw,oter,fear,0.444909,52,,0.218187,,,,0.116081,,,-0.138903,,,,,,,,0.168017
