N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
8,gw,rter,fear,0.509149,52,0.674284,,,,,,,,,0.154525,,,,,,,0.058545
9,gw,rter,fear,0.615594,52,0.744636,,,,,,,,,0.189309,,,,,,,0.034999
10,gw,rter,fear,0.526040,52,0.561045,,,,,,,-0.114650,,0.189537,,,,,,,0.102628
11,gw,rter,fear,0.457464,52,0.490981,,,,,,,-0.119038,,0.188753,,,,,,,0.125626
12,gw,rter,fear,0.411227,52,0.473313,,,,,,,-0.211665,,0.212597,,,,,,,0.149884
13,gw,rter,fear,0.483838,52,0.454803,,,,,,,-0.183226,,0.252913,,,,,,,0.138342
14,gw,rter,fear,0.560291,52,0.549977,,,,,,,,,0.216833,,,,,,,0.082647
15,gw,rter,fear,0.506481,52,0.474592,,,,,,,-0.194593,,0.262754,,,,,,,0.142728
16,gw,rter,fear,0.567474,52,0.458047,,,,,,,,,0.240067,,,,,,,0.098527
17,gw,rter,fear,0.562208,52,0.445575,,,,,,,,,0.240372,,,,,,,0.101874
18,gw,rter,fear,0.709437,52,0.366657,,,,,,,,,0.356882,,,,,,,0.087145
19,gw,rter,fear,0.691182,52,0.370558,,,,,,,,,0.353260,,,,,,,0.089664
20,gw,rter,fear,0.698325,52,0.366291,,,,,,,,,0.349396,,,,,,,0.095018
21,gw,rter,fear,0.695845,52,0.357245,,,,,,,,,0.351286,,,,,,,0.095406
22,gw,rter,fear,0.710095,52,0.306510,,,,,,,-0.180689,,0.419991,,,,,,,0.139029
23,gw,rter,fear,0.731635,52,0.287159,,,,,,,-0.167521,,0.432032,,,,,,,0.135227
24,gw,rter,fear,0.735805,52,0.304400,,,,,,,-0.185953,,0.446313,,,,,,,0.135053
25,gw,rter,fear,0.717065,52,0.306742,,,,,,,-0.224291,,0.441867,,,,,,,0.144257
