N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
8,gw,tter,fear,0.571129,52,,0.528088,-0.340333,0.237429,,0.315833,-0.326386,-0.168397,-0.086535,0.125671,0.097711,,,0.100477,,,-0.004585
9,gw,tter,fear,0.568190,52,0.209689,0.351272,,0.134941,,0.249588,-0.261876,-0.111214,,0.126071,,,,0.079363,,,-0.018579
10,gw,tter,fear,0.584987,52,0.395975,0.288293,-0.434591,0.134667,,0.336434,-0.350242,-0.148562,,0.098337,,,,0.071637,,,0.047620
11,gw,tter,fear,0.556186,52,0.485958,0.247426,-0.553340,0.103100,,0.167816,,-0.146753,,0.121693,,,,,,0.077510,0.051336
12,gw,tter,fear,0.501626,52,0.328225,0.212552,-0.329166,0.098860,,0.324481,-0.279408,-0.206569,,0.116614,,,,,0.093523,,0.091184
13,gw,tter,fear,0.585635,52,0.452410,0.225518,-0.373046,,,0.178481,,-0.183973,,0.135491,,,,,,0.081033,0.082159
14,gw,tter,fear,0.570706,52,0.438045,0.241167,-0.338652,,,0.212702,,-0.184931,,0.129775,,,,,,0.077033,0.073383
15,gw,tter,fear,0.556609,52,0.329376,0.118437,,,-0.155967,0.311313,,-0.214573,,0.150517,,,,-0.077957,0.194376,,0.105416
16,gw,tter,fear,0.545967,52,0.365709,0.201261,-0.247216,,-0.157464,0.304428,,-0.210062,,0.135965,,,,,0.093638,0.087563,0.094328
17,gw,tter,fear,0.523382,52,0.353977,0.175481,-0.214714,,-0.160799,0.327933,,-0.220468,,0.140667,,,,,0.096323,0.080494,0.097634
18,gw,tter,fear,0.656158,52,0.236396,0.206265,-0.157644,,-0.161453,0.198241,,-0.121510,,0.196856,,,,,,,0.127359
19,gw,tter,fear,0.616854,52,0.254129,0.179137,-0.160297,,-0.146842,0.201770,,-0.132215,,0.196647,,,,,,,0.132287
20,gw,tter,fear,0.631347,52,0.337825,0.171675,-0.230879,,-0.171042,0.133612,,,,0.184156,,,,,,,0.121938
21,gw,tter,fear,0.618422,52,0.373719,0.131166,-0.229901,,-0.170554,0.131105,,,,0.185065,,,,,,,0.126092
22,gw,tter,fear,0.637889,52,0.319716,0.154082,-0.241865,,-0.145720,0.163845,,-0.159644,,0.210037,,,,,,0.077763,0.138061
23,gw,tter,fear,0.739727,52,0.286720,,,,,,,-0.114916,,0.256674,,,-0.129593,,0.137502,,0.156907
24,gw,tter,fear,0.755898,52,0.341718,,,,-0.153787,0.174231,,-0.170230,,0.249355,,,,,,,0.152257
25,gw,tter,fear,0.698049,52,0.337948,,,,-0.152596,0.189035,,-0.180404,,0.225224,,,,,0.106484,,0.143136
