N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
8,gw,tter,fear,0.537405,52,0.349241,0.257244,,,,0.144426,,-0.095741,,0.133282,,,,,,,0.026117
9,gw,tter,fear,0.613672,52,0.327740,0.320783,,,,0.128016,,-0.089578,,0.146650,,,,,,,0.011190
10,gw,tter,fear,0.575176,52,0.553550,0.247224,-0.405099,,,0.192649,,-0.128980,,0.121398,,,,,,,0.054408
11,gw,tter,fear,0.566576,52,0.532803,0.205286,-0.389974,,,0.200829,,-0.134111,,0.123034,,,,,,,0.073398
12,gw,tter,fear,0.605505,52,0.515352,,,,,0.208418,,-0.185315,,0.129695,,,,,,,0.088607
13,gw,tter,fear,0.629464,52,0.498147,,,,,0.190598,,-0.172581,,0.143930,,,,,,,0.092446
14,gw,tter,fear,0.601570,52,0.519909,,,,,0.225226,,-0.176936,,0.139383,,,,,,,0.085733
15,gw,tter,fear,0.552880,52,0.333912,0.121484,,,-0.133213,0.271298,,-0.193705,,0.147123,,,,,,,0.114643
16,gw,tter,fear,0.693833,52,0.433756,,,,,0.270018,,-0.239027,,0.158056,,,,,,,0.110287
17,gw,tter,fear,0.690638,52,0.412215,,,,,0.288800,,-0.252608,,0.165464,,,,,,,0.112134
18,gw,tter,fear,0.656158,52,0.236396,0.206265,-0.157644,,-0.161453,0.198241,,-0.121510,,0.196856,,,,,,,0.127359
19,gw,tter,fear,0.616854,52,0.254129,0.179137,-0.160297,,-0.146842,0.201770,,-0.132215,,0.196647,,,,,,,0.132287
20,gw,tter,fear,0.631347,52,0.337825,0.171675,-0.230879,,-0.171042,0.133612,,,,0.184156,,,,,,,0.121938
21,gw,tter,fear,0.618422,52,0.373719,0.131166,-0.229901,,-0.170554,0.131105,,,,0.185065,,,,,,,0.126092
22,gw,tter,fear,0.656226,52,0.299086,0.121324,-0.152494,,-0.139135,0.165385,,-0.155640,,0.229344,,,,,,,0.147934
23,gw,tter,fear,0.691470,52,0.300938,0.115966,-0.194624,,,,,-0.126407,,0.252843,,,,,,,0.151957
24,gw,tter,fear,0.755898,52,0.341718,,,,-0.153787,0.174231,,-0.170230,,0.249355,,,,,,,0.152257
25,gw,tter,fear,0.728291,52,0.311250,,,,,,,-0.174439,,0.265788,,,,,,,0.163916
