run,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
0,cc,tter,anger,0.197519,39,,,0.577205,,0.690517,,,,0.185743,,,,,,,,-0.020496
1,cc,oter,anger,0.590576,39,,,,0.317619,0.457562,,,,,,,,,,,-0.035418,-0.011607
2,cc,rter,anger,0.361921,39,,,0.737009,,0.786242,,,,0.264951,,,,,,,,-0.038132
3,cc,tter,fear,0.545566,39,,,,0.363110,,,,,,0.129950,,,0.085269,,,,0.080826
4,cc,oter,fear,0.628462,39,,,,0.491686,,0.478308,,,,,,,,,,-0.057893,-0.015672
5,cc,rter,fear,0.623945,39,,,,,,,,,,0.220682,,,,0.095210,,,0.132469
6,cc,tter,sadness,0.740931,39,0.395704,,-0.576769,0.229377,0.245651,,0.611722,,,,0.200092,,0.088253,-0.094383,,,-0.051179
7,cc,oter,sadness,0.575084,39,,,,0.290269,,,0.604548,,,0.056039,,,,-0.034413,,,-0.029825
8,cc,rter,sadness,0.703801,39,1.195925,-0.680051,,,,,0.668978,,,,0.241251,,0.099943,-0.078860,,,0.033801
9,cc,tter,joy,0.865123,39,-0.634270,0.348052,,,,,,0.689403,,,,0.224429,,,0.041413,0.090462,-0.023124
10,cc,oter,joy,0.762843,39,-0.564927,0.368697,,,,,,0.738279,,0.067064,0.141300,0.022412,,,,0.051431,-0.042704
11,cc,rter,joy,0.913642,39,,,,,,,,0.589925,,,,0.312986,,,,0.109407,-0.007601
