run,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
0,cc,oter,anger,0.351223,39,0.000000,0.000000,0.000000,,,,,,,,,,,,,,-0.011607
1,cc,oter,anger,0.430640,39,,,,0.317619,0.457562,0.000000,,,,,,,,,,,-0.011607
2,cc,oter,anger,0.432538,39,,,,0.317619,0.457562,,0.000000,,,,,,,,,,-0.011607
3,cc,oter,anger,0.456272,39,,,,0.317619,0.457562,,,0.000000,,,,,,,,,-0.011607
4,cc,oter,anger,0.456272,39,,,,0.317619,0.457562,,,,0.000000,,,,,,,,-0.011607
5,cc,oter,anger,0.456272,39,,,,0.317619,0.457562,,,,,0.000000,,,,,,,-0.011607
6,cc,oter,anger,0.456272,39,,,,0.317619,0.457562,,,,,,0.000000,,,,,,-0.011607
7,cc,oter,anger,0.456272,39,,,,0.317619,0.457562,,,,,,,0.000000,,,,,-0.011607
8,cc,oter,anger,0.456272,39,,,,0.317619,0.457562,,,,,,,,0.000000,,,,-0.011607
9,cc,oter,anger,0.590576,39,,,,0.317619,0.457562,,,,,,,,,0.000000,,,-0.011607
10,cc,oter,anger,0.590576,39,,,,0.317619,0.457562,,,,,,,,,,0.000000,,-0.011607
11,cc,oter,anger,0.590576,39,,,,0.317619,0.457562,,,,,,,,,,,-0.035418,-0.011607
