run,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
0,cc,oter,fear,0.452099,39,0.000000,0.291219,0.000000,,,,,,,,,,,,,,-0.078761
1,cc,oter,fear,0.613422,39,,0.000000,,0.491686,0.000000,,,,,,,,,,,,-0.015672
2,cc,oter,fear,0.628462,39,,,,0.491686,,0.478308,0.000000,,,,,,,,,,-0.015672
3,cc,oter,fear,0.628462,39,,,,0.491686,,0.478308,,0.000000,,,,,,,,,-0.015672
4,cc,oter,fear,0.628462,39,,,,0.491686,,0.478308,,,0.000000,,,,,,,,-0.015672
5,cc,oter,fear,0.628462,39,,,,0.491686,,0.478308,,,,0.000000,,,,,,,-0.015672
6,cc,oter,fear,0.628462,39,,,,0.491686,,0.478308,,,,,0.000000,,,,,,-0.015672
7,cc,oter,fear,0.628462,39,,,,0.491686,,0.478308,,,,,,0.000000,,,,,-0.015672
8,cc,oter,fear,0.628462,39,,,,0.491686,,0.478308,,,,,,,0.000000,,,,-0.015672
9,cc,oter,fear,0.628462,39,,,,0.491686,,0.478308,,,,,,,,0.000000,,,-0.015672
10,cc,oter,fear,0.628462,39,,,,0.491686,,0.478308,,,,,,,,,0.000000,,-0.015672
11,cc,oter,fear,0.628462,39,,,,0.491686,,0.478308,,,,,,,,,,-0.057893,-0.015672
