run,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
0,cc,tter,anger,0.545485,39,,,0.577205,,0.690517,,,,0.185743,,,,,,,,-0.020496
1,cc,oter,anger,0.590576,39,,,,0.317619,0.457562,,,,,,,,,,,-0.035418,-0.011607
2,cc,rter,anger,0.569919,39,,,0.737009,,0.786242,,,,0.264951,,,,,,,,-0.038132
3,cc,tter,fear,0.586102,39,-0.778958,,,,,,,,,0.126753,,,0.083358,,,,0.213649
4,cc,oter,fear,0.604671,39,,0.291219,,0.547736,,0.444198,,,,,,,,,,,-0.078761
5,cc,rter,fear,0.623945,39,,,,,,,,,,0.220682,,,,0.095210,,,0.132469
6,cc,tter,sadness,0.762993,39,0.395704,,-0.576769,0.229377,0.245651,,0.611722,,,,0.200092,,0.088253,-0.094383,,,-0.051179
7,cc,oter,sadness,0.550005,39,,,,0.320257,,,0.574699,,,0.043841,,,,,,,-0.033934
8,cc,rter,sadness,0.710072,39,1.195925,-0.680051,,,,,0.668978,,,,0.241251,,0.099943,-0.078860,,,0.033801
9,cc,tter,joy,0.867615,39,-0.520912,0.312533,,,,,,0.642161,,,,0.223674,,,,0.091912,-0.016211
10,cc,oter,joy,0.762843,39,-0.564927,0.368697,,,,,,0.738279,,0.067064,0.141300,0.022412,,,,0.051431,-0.042704
11,cc,rter,joy,0.913642,39,,,,,,,,0.589925,,,,0.312986,,,,0.109407,-0.007601
