run,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
0,gw,tter,anger,0.513559,39,0.299551,0.174462,-0.300155,,,,0.168995,0.185868,0.100358,0.083666,,-0.072161,0.296134,-0.097734,,,-0.001713
1,gw,oter,anger,0.721868,39,,0.200860,,0.187456,,0.078894,,,,0.106406,,,0.140754,,,,-0.007725
2,gw,rter,anger,0.289548,39,0.733761,,-0.644589,,,-0.183768,0.368250,0.315862,0.186573,,,-0.076785,0.197915,-0.144861,0.112595,,0.030397
3,gw,tter,fear,0.819621,39,0.334335,0.148903,,,,,,,,0.263932,,,,-0.086948,0.182228,,0.039955
4,gw,oter,fear,0.739424,39,,0.448644,,,,0.126477,,,,0.103539,,,0.262538,-0.082045,,,0.001421
5,gw,rter,fear,0.772613,39,,,,,-0.231083,,0.335431,,,0.393818,,,,,0.104262,,0.078229
6,gw,tter,sadness,0.558897,39,,,,,-0.203814,,0.403905,0.196437,,,0.187845,,0.183703,-0.101194,0.133235,,0.028375
7,gw,oter,sadness,0.512342,39,,0.164008,,0.139671,-0.180203,0.090285,0.225057,0.120723,,0.064837,,-0.058332,0.251077,-0.064123,,,-0.004484
8,gw,rter,sadness,0.589119,39,,,,,-0.290483,,0.499574,0.185973,,,0.351285,,0.154108,,,,0.024714
9,gw,tter,joy,0.663906,39,-0.670717,0.272712,,,,0.100807,,0.290289,,,0.149362,0.244772,0.603194,-0.136574,,,0.004863
10,gw,oter,joy,0.427489,39,,0.105784,,0.307598,-0.129337,0.104555,0.135424,,,0.060873,,-0.060574,0.119703,-0.058117,,0.043445,0.022869
11,gw,rter,joy,0.646785,39,-0.615438,,,,,,,0.438565,,,,0.421552,0.837258,-0.169254,,,0.037465
