N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
5,gw,oter,fear,-0.308669,39,-0.557540,,0.395757,,,,,,,,,,-0.217587,-0.125058,0.238350,,0.293835
6,gw,oter,fear,-0.134196,39,-0.497144,,0.428566,,,,,,,,,,,-0.103701,,,0.261784
7,gw,oter,fear,0.686335,39,,0.397969,,0.237638,,,,,-0.062935,,,,,,,,0.000575
8,gw,oter,fear,0.570508,39,,0.488823,,,,,,,,,,,,,,,0.055391
9,gw,oter,fear,0.698019,39,0.352374,0.297677,,,,,,,,,,,,,,,0.042478
10,gw,oter,fear,0.738835,39,0.293145,0.282168,,,,,,,,,,,,,,,0.063451
11,gw,oter,fear,0.744395,39,0.149150,0.214628,0.182623,,,,,,,,,,-0.069611,,,,0.098210
12,gw,oter,fear,0.758872,39,,0.237839,0.230582,,,,,,,,,,-0.070125,,,,0.116507
13,gw,oter,fear,0.708111,39,,,0.551474,,,,,,-0.078933,0.101965,-0.115167,,,,,,0.130484
14,gw,oter,fear,0.712412,39,0.284110,,0.270167,-0.071990,,,,,,,,,,-0.066516,,,0.152460
15,gw,oter,fear,0.706170,39,0.260777,,0.250342,-0.083237,,,,,,,,,,-0.079295,,,0.168393
16,gw,oter,fear,0.738284,39,0.327533,,0.221861,-0.094366,,0.181475,,-0.223952,-0.049648,,,,,-0.084949,,0.042549,0.182907
17,gw,oter,fear,0.762058,39,0.310654,,0.250186,-0.079566,,0.220170,,-0.227222,-0.087984,,,,,,-0.103706,0.059828,0.168830
18,gw,oter,fear,0.717028,39,0.323788,,0.242054,-0.097218,,0.225059,,-0.228812,-0.083931,,,,,,-0.100691,0.059738,0.172456
19,gw,oter,fear,0.720622,39,0.262130,,0.270261,-0.115230,,0.120478,,-0.161168,,,,,,-0.101958,,,0.197940
20,gw,oter,fear,0.728406,39,0.288184,,0.251622,-0.083643,,0.195181,,-0.247636,-0.085431,,,0.052817,-0.067067,,,0.051703,0.174641
21,gw,oter,fear,0.718691,39,0.244690,,0.268398,-0.084704,,0.214468,,-0.223616,-0.096966,,,0.056673,,,,0.046195,0.161621
22,gw,oter,fear,0.666658,39,0.219249,,0.289355,-0.086684,-0.105483,0.227235,,-0.206285,-0.104661,,,0.059620,,,,0.046138,0.182202
23,gw,oter,fear,0.603988,39,0.169819,0.081483,0.212358,-0.107004,,0.184229,-0.156880,-0.163286,-0.094108,,,0.052090,-0.069578,,,0.042810,0.203630
24,gw,oter,fear,0.487708,39,0.174761,0.097434,0.177537,-0.113070,,0.197578,-0.173304,-0.148385,-0.096692,,,0.048150,-0.088359,,,0.039839,0.207899
25,gw,oter,fear,0.491662,39,0.175389,0.098007,0.178766,-0.117704,,0.206539,-0.182344,-0.165748,-0.097467,,,0.053125,-0.090040,,,0.040545,0.210390
