N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
5,gw,rter,fear,0.519184,39,,1.232077,-1.647206,0.440089,0.291325,,-0.154297,0.244860,-0.122406,,0.144156,,,0.268109,,,-0.162182
6,gw,rter,fear,0.170625,39,,0.433328,-0.675706,,,0.142809,-0.196025,,,,,,,,0.407407,,0.081211
7,gw,rter,fear,0.368562,39,,,,,,,,,,0.207185,,,,,0.216040,,0.082396
8,gw,rter,fear,0.172072,39,,0.465957,-0.650668,,0.565960,-0.404631,,,,0.195910,,,-0.305256,,0.344869,,0.073290
9,gw,rter,fear,0.417455,39,,,,,,,,,,0.253195,,,,,0.240161,,0.079923
10,gw,rter,fear,0.414427,39,,,,,,,,,,0.271039,,,,,0.225673,,0.079623
11,gw,rter,fear,0.548202,39,,,,,,,,,,0.299991,,,,,0.255127,,0.074338
12,gw,rter,fear,0.542157,39,,,,,,,,,,0.308660,,,,,0.252666,,0.074025
13,gw,rter,fear,0.537065,39,,,,,,,,,,0.337952,,,,,,,0.090188
14,gw,rter,fear,0.446959,39,,,,,,,,,,0.324242,,,,,0.207836,,0.074396
15,gw,rter,fear,0.561918,39,,,,,,,,,,0.356941,,,,,0.222658,,0.069534
16,gw,rter,fear,0.453954,39,,,,,,,,,,0.341653,,,,,0.226433,,0.071843
17,gw,rter,fear,0.467038,39,,,,,,,,,,0.344740,,,,,0.215269,,0.074382
18,gw,rter,fear,0.618425,39,,,,0.138633,,,,,,0.431718,,,,,0.207037,,0.034594
19,gw,rter,fear,0.603304,39,,,,0.133901,,,,,,0.438731,,,,,0.220924,,0.034311
20,gw,rter,fear,0.676543,39,,,,,,,,,,0.434332,,,,,0.277870,,0.059300
21,gw,rter,fear,0.604106,39,,,,,,,,,,0.398263,,,,,0.265480,,0.063936
22,gw,rter,fear,0.653862,39,,,,,,,,,,0.405242,,,,,0.282105,,0.062288
23,gw,rter,fear,0.436260,39,,,,,0.284976,,-0.333192,,,0.413417,-0.197480,,,-0.310508,0.650149,0.125466,0.060220
24,gw,rter,fear,0.560588,39,,,,,,,,,,0.348113,,,,,0.317453,,0.065791
25,gw,rter,fear,0.478060,39,,,,0.167090,,-0.224917,,,,0.394166,,,,,0.232470,,0.073807
