N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
5,gw,tter,fear,0.439637,39,,0.681755,-0.964035,0.144565,0.236966,,-0.148486,0.163908,-0.082655,0.063444,,,,,0.239032,,-0.026989
6,gw,tter,fear,0.318108,39,,0.299176,-0.493600,,0.323454,,-0.272289,,,,,,,,0.335858,,0.074310
7,gw,tter,fear,0.264456,39,,0.395141,-0.417164,,0.431753,-0.131267,-0.249211,,,0.089824,,,,-0.164546,0.385779,,0.052591
8,gw,tter,fear,0.320047,39,,0.243823,,0.154353,,,,,,0.158420,,,,-0.152035,0.283424,,0.010359
9,gw,tter,fear,0.287710,39,,0.244280,,0.124070,,,,,-0.092505,0.170104,,,,,0.170910,,0.026938
10,gw,tter,fear,0.456492,39,,0.278466,,,,,,,,0.137831,,,,,0.136261,,0.051803
11,gw,tter,fear,0.543648,39,,0.243777,,,,,,,,0.157315,,,,,0.140476,,0.055705
12,gw,tter,fear,0.542514,39,,0.259192,,,,,,,,0.181621,,,,,,,0.062912
13,gw,tter,fear,0.448604,39,,0.187323,,,,,,,,0.224936,,,,-0.129074,0.230709,,0.059926
14,gw,tter,fear,0.496199,39,,0.217341,,,,,,,,0.178919,,,,,,,0.070089
15,gw,tter,fear,0.491783,39,,0.176985,,,,,,,,0.240417,,,,-0.131460,0.261175,,0.058781
16,gw,tter,fear,0.418011,39,,0.211384,,,,,,,-0.107343,0.255503,,,,,0.133329,,0.062669
17,gw,tter,fear,0.542362,39,,0.253570,,,,,,,,0.177882,,,,,,,0.069004
18,gw,tter,fear,0.589339,39,,0.217072,,,,,,,,0.246754,,,,,0.114930,,0.055323
19,gw,tter,fear,0.577928,39,,0.196995,,,,,,,,0.250799,,,,,0.124602,,0.057734
20,gw,tter,fear,0.579670,39,,,,,,,,,,0.294188,,,,-0.148033,0.344248,,0.078397
21,gw,tter,fear,0.560618,39,,,,,,,,,,0.272181,,,,-0.148689,0.337883,,0.081432
22,gw,tter,fear,0.646221,39,,,,,,,,,,0.285729,,,,-0.173571,0.376289,,0.079821
23,gw,tter,fear,0.567733,39,,,,,,,,,,0.287246,-0.165020,,,-0.230383,0.453624,,0.090823
24,gw,tter,fear,0.476953,39,,0.159709,,,,,,,,0.205631,,,,,0.162522,,0.068153
25,gw,tter,fear,0.467040,39,,0.162028,,,,,,,,0.205586,,,,,0.161127,,0.067484
