N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
5,gw,oter,fear,0.188285,39,,,,-0.198160,,,,0.182312,,,0.110765,,,,,,0.122057
6,gw,oter,fear,0.309355,39,,,,-0.209457,,,,,,,,,,,,,0.142071
7,gw,oter,fear,0.570278,39,,0.429617,,,0.298588,-0.154441,,,-0.084023,,0.152196,,,,,,0.012929
8,gw,oter,fear,0.666862,39,,0.407787,,,0.368980,-0.180766,,,-0.088567,,0.199078,,,,,,0.012226
9,gw,oter,fear,0.579591,39,,0.359709,,,0.323998,-0.172050,,,,,0.118777,,,,,,0.020285
10,gw,oter,fear,0.671352,39,,0.367411,,,0.319795,-0.175927,,-0.210137,,,,,,,,,0.041982
11,gw,oter,fear,0.717786,39,,0.340406,,,0.318411,-0.174216,,-0.238638,,,,,,,,,0.048777
12,gw,oter,fear,0.705060,39,,0.323932,,,0.278189,-0.152367,,-0.303637,,,,,,,,,0.058722
13,gw,oter,fear,0.624049,39,,0.254622,,,0.252922,-0.147576,,-0.251270,,,,,,,,,0.063565
14,gw,oter,fear,0.605704,39,,0.256449,,,0.247093,-0.142237,,-0.255610,,,,,,,,,0.064050
15,gw,oter,fear,0.534646,39,,0.312357,,-0.075161,0.247614,-0.129712,,-0.259523,,,,,,,,,0.070595
16,gw,oter,fear,0.571743,39,,0.341654,,-0.084678,0.259600,-0.138358,,-0.268940,,,,,,,,,0.070709
17,gw,oter,fear,0.633914,39,,0.356838,,-0.102635,0.258252,-0.142101,,-0.252049,,,,,,,,,0.072156
18,gw,oter,fear,0.599725,39,,0.345152,,-0.108358,0.245602,-0.135841,,-0.248155,,,,,,,,,0.075544
19,gw,oter,fear,0.673749,39,,0.369322,,-0.115089,,,,-0.283708,,,,,,,-0.104644,,0.090927
20,gw,oter,fear,0.647003,39,,0.361211,,-0.121996,,,,-0.271182,,,,,,,-0.107572,,0.092989
21,gw,oter,fear,0.649771,39,,0.351612,,-0.132664,,,,-0.272260,,,,,,,-0.107896,,0.096824
22,gw,oter,fear,0.611279,39,,0.339894,,-0.142742,,,,-0.266112,,,,,,,-0.103324,,0.099725
23,gw,oter,fear,0.654496,39,,0.372016,,-0.157330,,,,-0.273371,,,,,,,-0.111233,,0.100134
24,gw,oter,fear,0.631468,39,,0.369499,,-0.159567,,,,-0.263982,,,,,,,-0.112112,,0.100878
25,gw,oter,fear,0.663051,39,,0.381098,,-0.158185,,,,-0.295806,,,,,,,-0.124058,,0.102461
