N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
5,gw,oter,fear,0.223074,39,,,,-0.205729,,,,,,,,,0.177420,,,,0.138883
6,gw,oter,fear,0.131057,39,,,,-0.261646,,,,,,,,,0.172770,,,-0.070577,0.156259
7,gw,oter,fear,0.581276,39,,0.456502,,,0.296022,-0.158697,,,-0.079275,,0.151148,,,,,,0.010843
8,gw,oter,fear,0.660647,39,,0.426606,,,0.361410,-0.187069,,,-0.083697,,0.201564,,,,,,0.012179
9,gw,oter,fear,0.607436,39,,0.374158,,,0.315880,-0.174312,,,,,0.123300,,,,,,0.021092
10,gw,oter,fear,0.705446,39,,0.375096,,,0.305898,-0.176099,,-0.209878,,,,,,,,,0.044867
11,gw,oter,fear,0.727000,39,,0.344871,,,0.306117,-0.175644,,-0.232775,,,,,,,,,0.051851
12,gw,oter,fear,0.717723,39,,0.327166,,,0.268495,-0.156789,,-0.297514,,,,,,,,,0.062212
13,gw,oter,fear,0.617017,39,,0.325021,,-0.070573,0.246429,-0.156532,,-0.230385,,,,,,,,,0.071851
14,gw,oter,fear,0.588448,39,,0.326936,,-0.070193,0.239859,-0.151756,,-0.235390,,,,,,,,,0.072468
15,gw,oter,fear,0.539880,39,,0.318941,,-0.080281,0.238307,-0.130871,,-0.259694,,,,,,,,,0.074971
16,gw,oter,fear,0.604291,39,,0.373261,,-0.087251,0.204819,-0.154381,,-0.350886,,,,,-0.066735,,,,0.089258
17,gw,oter,fear,0.608794,39,,0.366347,,-0.107964,0.254143,-0.141267,,-0.247811,,,,,,,,,0.074889
18,gw,oter,fear,0.590343,39,,0.354124,,-0.113855,0.241554,-0.134582,,-0.245035,,,,,,,,,0.078428
19,gw,oter,fear,0.664335,39,,0.367861,,-0.115256,,,,-0.291241,,,,,,,-0.096346,,0.094414
20,gw,oter,fear,0.651409,39,,0.359798,,-0.122898,,,,-0.279128,,,,,,,-0.099814,,0.096663
21,gw,oter,fear,0.642729,39,,0.350089,,-0.133397,,,,-0.283976,,,,,,,-0.100392,,0.100814
22,gw,oter,fear,0.607790,39,,0.337248,,-0.143039,,,,-0.278470,,,,,,,-0.094819,,0.103868
23,gw,oter,fear,0.650963,39,,0.371395,,-0.158425,,,,-0.287255,,,,,,,-0.102623,,0.104238
24,gw,oter,fear,0.613003,39,,0.369312,,-0.161046,,,,-0.277626,,,,,,,-0.101992,,0.104911
25,gw,oter,fear,0.601559,39,,0.358397,,-0.159954,,,,-0.314261,,,,,,,-0.105202,,0.107469
