N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
5,gw,oter,fear,0.270303,39,-0.555689,0.397358,,,-0.262345,0.216444,0.237075,,,,,,0.316969,-0.090791,,,0.058741
6,gw,oter,fear,0.270430,39,-0.409079,0.391086,,,,0.149540,,,,,,,,-0.133911,0.257000,,0.061682
7,gw,oter,fear,0.598126,39,,0.415077,,0.182426,,0.155146,,,,0.090707,,,0.288389,-0.095064,,,-0.025881
8,gw,oter,fear,0.551244,39,,0.391528,,0.310591,,0.139592,,,,0.108395,,,0.195933,-0.066280,,0.052174,-0.035049
9,gw,oter,fear,0.571898,39,,0.411581,,0.189546,,0.150784,,-0.145275,-0.087043,0.126860,,,0.160138,-0.052320,,0.061173,-0.000841
10,gw,oter,fear,0.769223,39,0.257521,0.342714,,,,0.085187,,,-0.086198,0.109349,,,,,,,0.026370
11,gw,oter,fear,0.829924,39,0.225290,0.327157,,,,0.094438,,,-0.097957,0.114583,,,,,,,0.033716
12,gw,oter,fear,0.821629,39,0.196906,0.306838,,,,0.096770,,,-0.099266,0.114306,,,,,,,0.041075
13,gw,oter,fear,0.749902,39,0.276124,0.293960,-0.195797,,,0.075515,,,-0.092933,0.093312,,,,,,,0.057580
14,gw,oter,fear,0.746746,39,0.355024,0.296485,-0.261517,,,,,,-0.088717,0.080265,,,,,,,0.071707
15,gw,oter,fear,0.728261,39,,0.286970,,,,0.088603,,,-0.084311,0.101006,,,,,,,0.065321
16,gw,oter,fear,0.750682,39,,0.317776,,,,0.086228,,,-0.089667,0.097382,,,,,,,0.064787
17,gw,oter,fear,0.733757,39,,0.316784,,,0.263983,,-0.166555,,-0.105824,0.075368,,,,,,,0.068415
18,gw,oter,fear,0.726517,39,,0.308809,,,,,,,-0.079731,0.069945,,,,,,,0.087023
19,gw,oter,fear,0.700202,39,,0.274047,,,,0.110680,,,-0.105825,0.067495,,,,,,,0.076391
20,gw,oter,fear,0.631637,39,,0.250443,,,,0.168328,-0.118740,,-0.092900,0.048069,,0.034990,,,,,0.080630
21,gw,oter,fear,0.652116,39,,0.219901,,,,0.118863,,,-0.116736,0.049372,,0.036468,,,,,0.085002
22,gw,oter,fear,0.547569,39,,0.196412,,,-0.157521,0.181769,,,-0.075134,,,0.047925,,,,,0.099999
23,gw,oter,fear,0.621373,39,,0.213461,,,,0.180418,-0.143751,,-0.092040,,,0.054481,,,,,0.095208
24,gw,oter,fear,0.614014,39,,0.215524,,,,0.202096,-0.162145,,-0.097796,,,0.051117,,,,,0.094439
25,gw,oter,fear,0.621272,39,,0.221550,,,,0.211590,-0.177489,,-0.096226,,,0.052375,,,,,0.092769
