N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
5,gw,rter,fear,0.624352,39,0.387988,,,0.435974,,,,,,0.241839,,,-0.333728,,0.393449,,-0.000849
6,gw,rter,fear,0.652991,39,,,,,,,,,-0.127052,0.279692,,,-0.358462,,0.393801,,0.108841
7,gw,rter,fear,0.664315,39,0.790807,-0.186110,,,0.217331,-0.261670,,,,0.284942,,0.073990,-0.529544,,0.434777,,0.071202
8,gw,rter,fear,0.738473,39,0.484746,,,,,,,,,0.300660,,,-0.282724,,0.277435,,0.049948
9,gw,rter,fear,0.700717,39,0.492724,,,,,-0.139990,,,,0.324487,,,-0.403177,,0.321031,,0.081617
10,gw,rter,fear,0.674240,39,0.409557,,,,,-0.132275,,,,0.319558,,,-0.349910,,0.295423,,0.088865
11,gw,rter,fear,0.759451,39,0.284109,,,,,,,,,0.381702,,,-0.275652,,0.234909,,0.071476
12,gw,rter,fear,0.737348,39,,,,,,,,,,0.391974,,,-0.258790,,0.234014,,0.095028
13,gw,rter,fear,0.742744,39,,,,,,,,,,0.391414,,,-0.275276,,0.226098,,0.096658
14,gw,rter,fear,0.772371,39,,,,,,,,,,0.412223,,,,,,,0.091289
15,gw,rter,fear,0.781349,39,0.249366,,,,,,,,,0.410454,,,-0.204919,,0.224020,,0.067641
16,gw,rter,fear,0.724404,39,,0.123558,,,,,,,,0.427911,,,-0.158805,,0.195077,,0.064565
17,gw,rter,fear,0.780695,39,,0.163008,,,,,,,,0.433316,,,,,,,0.062979
18,gw,rter,fear,0.782044,39,,0.144736,,,,,,,,0.420276,,,-0.192040,,0.209729,,0.066743
19,gw,rter,fear,0.735910,39,0.249890,,,,,,,,,0.411568,,,-0.239471,,0.233892,,0.073980
20,gw,rter,fear,0.811386,39,,,0.242369,,,,,,,0.508297,-0.153752,,-0.147605,,0.193446,,0.074825
21,gw,rter,fear,0.745622,39,,,,,,,,,,0.466104,-0.149458,,,-0.152703,0.203935,,0.102906
22,gw,rter,fear,0.813292,39,,,0.267164,,,,,,,0.425135,,,,,,,0.074949
23,gw,rter,fear,0.650186,39,,,,,0.277406,-0.350872,,,-0.189057,0.465050,,-0.109772,-0.172052,,,0.086554,0.146192
24,gw,rter,fear,0.623965,39,,,,,0.237904,-0.277955,,,-0.168823,0.458977,,-0.087566,,,,0.074229,0.122149
25,gw,rter,fear,0.690749,39,,,,,,-0.178007,,,,0.399612,,,,,,,0.128015
