N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
5,gw,tter,fear,0.658967,39,,,0.345404,0.411131,,,,,,0.171935,,,-0.325976,,0.370249,,0.019235
6,gw,tter,fear,0.594616,39,,,,,,,,,,0.122868,,,,-0.107187,0.273749,,0.110843
7,gw,tter,fear,0.696913,39,0.514510,,,0.213943,,,,,,0.191950,,,-0.134018,-0.083790,0.284246,,0.026634
8,gw,tter,fear,0.791431,39,0.586570,,,0.242785,,,,,,0.214232,,,-0.172412,-0.090696,0.292092,,0.019256
9,gw,tter,fear,0.736460,39,0.582261,,,0.155182,,,,,-0.095415,0.243968,,,-0.219205,-0.070715,0.288197,,0.042283
10,gw,tter,fear,0.754663,39,0.595394,,,,,,,,-0.089535,0.231266,,,-0.200243,-0.067126,0.261813,,0.063305
11,gw,tter,fear,0.781110,39,0.349148,0.110228,,,,,,,,0.260956,,,-0.196405,,0.154713,,0.056958
12,gw,tter,fear,0.717630,39,,0.117344,0.309960,,-0.155912,0.140299,,,,0.303531,,,,,,,0.048951
13,gw,tter,fear,0.773997,39,,0.186419,,,,,,,,0.282070,,,-0.171371,,0.141179,,0.072079
14,gw,tter,fear,0.778852,39,0.411357,,,,,,,,,0.251445,,,-0.170650,,0.146192,,0.073344
15,gw,tter,fear,0.798589,39,0.393630,,,,,,,,,0.256016,,,-0.169328,,0.152723,,0.074896
16,gw,tter,fear,0.743276,39,0.253763,0.108841,,,,,,,-0.097441,0.291402,,,-0.152851,,0.136424,,0.074541
17,gw,tter,fear,0.764691,39,,,0.468542,,,,,,-0.098611,0.286703,,,-0.151785,,0.128790,,0.081339
18,gw,tter,fear,0.743445,39,0.274835,0.108586,,,,,,,-0.098412,0.316338,-0.087432,,-0.183829,,0.149306,,0.081142
19,gw,tter,fear,0.808943,39,0.230783,0.111879,,,,,,,-0.092554,0.332763,-0.100286,,-0.179295,,0.142559,,0.083981
20,gw,tter,fear,0.839821,39,,,0.352829,,,,,,-0.084038,0.350482,-0.124478,,-0.126881,,0.121249,,0.093244
21,gw,tter,fear,0.782209,39,,,0.300397,,,,,,-0.085335,0.324936,-0.128808,,-0.109794,-0.063015,0.136223,,0.105679
22,gw,tter,fear,0.824944,39,,,0.349044,,,,,,,0.307920,-0.113410,,,,,,0.090088
23,gw,tter,fear,0.773647,39,,,0.359500,,,,,,-0.146552,0.291206,,,,,,,0.094207
24,gw,tter,fear,0.778989,39,,,0.376746,,,,,,-0.150178,0.295268,,,,,,,0.093743
25,gw,tter,fear,0.778313,39,,,0.383261,,,,,,-0.145982,0.295721,,,,,,,0.092372
