N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
5,gw,oter,fear,0.444733,39,,,,-0.255529,,,,,,0.069741,,,,-0.145367,0.323106,-0.091170,0.161195
6,gw,oter,fear,0.058649,39,,0.216879,,,-0.123871,0.149182,,0.210965,-0.108861,,,,,,,,0.053328
7,gw,oter,fear,0.502900,39,0.381086,0.312389,,,,,0.052149,,-0.138208,,,,,,,,0.030933
8,gw,oter,fear,0.777855,39,0.577066,0.273047,,,,,0.235739,,-0.117738,,,,,,,-0.066732,0.005746
9,gw,oter,fear,0.809628,39,0.419156,0.280784,,,,,0.167712,,-0.154981,0.054300,,,,,,,0.017737
10,gw,oter,fear,0.805095,39,0.401578,0.257971,,,,,0.167405,-0.113540,-0.140039,0.060614,,,,,,,0.033911
11,gw,oter,fear,0.808264,39,0.430530,0.241889,,-0.071853,,,0.195440,-0.127328,-0.147992,0.091306,,,,,,,0.045654
12,gw,oter,fear,0.760629,39,0.403421,0.228394,,-0.080097,0.175503,-0.092500,0.160023,-0.180993,-0.132678,0.078691,,,,,,,0.058426
13,gw,oter,fear,0.638754,39,0.357514,0.199585,,-0.097799,0.115987,-0.084521,0.193423,-0.168471,-0.118959,0.077971,,,,,,,0.070297
14,gw,oter,fear,0.684652,39,0.372403,0.196283,,-0.104569,,,0.184397,-0.145958,-0.123794,0.077950,,,,,,,0.069870
15,gw,oter,fear,0.695679,39,0.439387,0.156531,,-0.149257,0.152734,-0.092965,0.221080,-0.205620,-0.118832,0.098757,,,,,,-0.063314,0.081637
16,gw,oter,fear,0.632831,39,0.301653,0.235033,,-0.128590,0.213582,-0.131462,0.228902,-0.220990,-0.111981,0.100089,-0.073047,,,-0.052382,,,0.084383
17,gw,oter,fear,0.599555,39,0.360657,0.224706,,-0.148593,0.313033,-0.164199,0.225197,-0.236519,-0.111381,0.066938,-0.073566,,,,-0.091696,,0.087494
18,gw,oter,fear,0.475012,39,0.310044,0.219961,,-0.131468,0.284017,-0.128933,0.136512,-0.252567,-0.154625,0.100428,,0.038040,,,,,0.079468
19,gw,oter,fear,0.578104,39,0.266106,0.154619,0.202323,-0.141162,,,0.173214,-0.259238,-0.136395,0.106054,,0.039872,,,,,0.089263
20,gw,oter,fear,0.597728,39,0.271513,0.135919,0.224948,-0.153467,,,0.189106,-0.266089,-0.136454,0.109994,,0.039472,,,,,0.091771
21,gw,oter,fear,0.593986,39,0.217527,0.132193,0.239710,-0.154444,,,0.151303,-0.223260,-0.128012,0.102128,,0.038663,,,,,0.095682
22,gw,oter,fear,0.532727,39,0.202217,0.128837,0.225788,-0.161932,,,0.145190,-0.209715,-0.128260,0.097972,,0.034969,,,,,0.100744
23,gw,oter,fear,0.466764,39,0.207639,0.226741,,-0.159762,0.156529,,,-0.189897,-0.136001,0.062518,,0.034852,,,,,0.098143
24,gw,oter,fear,0.497405,39,0.233334,0.161377,0.163267,-0.176087,0.153802,,,-0.219226,-0.156435,0.091355,,0.038767,,,,,0.099501
25,gw,oter,fear,0.444946,39,0.313992,0.119275,0.169321,-0.197054,0.172647,,,-0.264162,-0.153311,0.088247,,0.037449,,,,,0.101642
