run,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_oter_neg,big_oter_pos,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rter_neg,big_rter_pos,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_rted_neg,big_rted_pos,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,big_tmed_neg,big_tmed_pos,intercept
1,gw,tter,anger,0.702296,39,0.361418,,-0.506898,,0.133897,,,,,0.182128,,,0.188415,,0.186651,-0.052131,-0.060317,,0.149401,-0.047824,,,,,0.021390
2,gw,oter,anger,0.745412,39,,,,0.125023,0.112128,,,,,0.082247,,0.017225,,0.082727,,,,,0.104876,,,,,,-0.005604
3,gw,rter,anger,0.554049,39,,,,,0.087562,,,,,,,,0.356226,,0.223607,,-0.062877,,,,,,,,0.039710
4,gw,tter,fear,0.819621,39,0.334335,0.148903,,,,,,,,,,,,0.263932,,,,,,-0.086948,0.182228,,,,0.039955
5,gw,oter,fear,0.762209,39,,0.266450,,,0.119834,,,0.064847,,,,,,0.091278,,,,,,,,,,,0.011696
6,gw,rter,fear,0.786240,39,,,,,,0.067489,-0.232576,,0.297445,,,,,0.428636,,,,,,,,,,,0.051504
7,gw,tter,sadness,0.791199,39,0.394460,,,-0.254310,,0.076161,,,0.228165,0.146673,,,0.171481,,0.316178,,-0.059038,,,-0.153926,,-0.069864,0.116918,,-0.024643
8,gw,oter,sadness,0.724667,39,,0.211743,,,,,,,,0.215623,,,,,,,,-0.043666,,-0.089733,0.187681,-0.041847,,,0.040478
9,gw,rter,sadness,0.514542,39,1.073438,,-0.504260,-0.476884,-0.087019,0.135745,,-0.179573,0.544584,0.377732,,,0.206931,,0.446286,-0.081146,-0.080485,,,-0.273999,,-0.132125,0.182842,,-0.035527
10,gw,tter,joy,0.690840,39,-0.403446,,,,,,,,0.229872,0.356531,,0.044665,,,,0.263520,,,0.672115,-0.160883,,,,,0.001541
11,gw,oter,joy,0.568509,39,-0.283962,,,0.287086,0.114271,,-0.146466,0.149957,,,,,,,,,,,0.132854,,,0.051849,-0.031772,,0.038504
12,gw,rter,joy,0.630677,39,-0.686781,,,,,,,,0.432231,0.478332,,0.062372,,0.173791,,0.221381,,0.102380,1.236453,-0.139235,-0.298460,,,,-0.091065
13,gw,tter,neg,0.761555,39,1.255984,,-1.374259,,0.311844,0.169522,-0.388751,,0.373528,0.659846,0.144741,,-0.244471,,0.516835,-0.289535,0.091907,,,-0.344906,0.418855,,0.121134,-0.038929,-0.004441
14,gw,oter,neg,0.808631,39,,,,0.693094,0.375651,,,,,0.450042,,,,,,,,,,,0.402798,,,,0.044011
15,gw,rter,neg,0.609332,39,1.926935,,-2.120292,,0.302774,,-0.902767,,0.710661,0.778672,0.304971,,,,1.150983,-0.667114,,0.173295,,-0.264468,,,0.152268,-0.077033,0.026056
16,gw,tter,pos,0.499652,39,,0.491445,,0.557938,,,,,,,,,,,,,0.228848,0.247914,,,,,,,0.108626
17,gw,oter,pos,0.611341,39,,0.352002,-0.847921,0.430690,0.274269,0.146566,,,,,,,,,,,,,,-0.248157,0.404529,0.174143,,,0.125595
18,gw,rter,pos,0.387767,39,,,,,,,,,,,,0.160354,,,-0.675616,,0.428875,0.357673,,,,,,,0.166875
