N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_oter_neg,big_oter_pos,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rter_neg,big_rter_pos,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_rted_neg,big_rted_pos,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,big_tmed_neg,big_tmed_pos,intercept
5,gw,oter,fear,0.548088,39,-0.870262,,,0.482437,0.264799,,-0.323938,0.279023,0.200329,,,0.033325,-0.189173,,,,0.037153,,,,0.112859,0.094157,,,-0.023771
6,gw,oter,fear,0.443237,39,-0.727688,0.307462,-0.494589,0.368452,0.200683,,-0.323084,0.326911,0.235217,,,0.033397,-0.340129,,,,0.040303,-0.041087,0.233376,,0.173699,0.115554,-0.097624,,0.007804
7,gw,oter,fear,0.655628,39,-0.394483,0.176314,-0.394187,0.220301,0.227537,,-0.366738,0.250251,,,0.050122,0.069374,-0.099920,,,0.126224,,-0.080325,,,0.198033,0.048655,-0.062496,,0.017764
8,gw,oter,fear,0.505084,39,-0.417717,0.301116,-0.381120,0.390867,0.210057,,-0.368347,0.330779,,-0.237915,,0.083145,-0.181966,0.057854,0.078713,0.076477,,-0.060242,0.226509,,0.110599,0.130790,-0.083424,-0.015585,-0.005994
9,gw,oter,fear,0.642735,39,,0.233107,-0.336968,0.256349,0.139970,,-0.190676,0.148161,,-0.246854,,0.078749,-0.143058,0.092184,,0.086678,,-0.047263,,,0.137901,0.079322,-0.043296,,0.019137
10,gw,oter,fear,0.773422,39,,0.228452,-0.262662,,0.170627,,,,,,,0.056247,-0.098067,0.104550,,,,,,,,,,,0.013471
11,gw,oter,fear,0.829407,39,,0.265113,,,0.095449,,,0.160946,-0.155632,,,,-0.110006,0.107032,,,,,,,,,,,0.035274
12,gw,oter,fear,0.822771,39,,0.269017,,,0.073023,,,0.171997,-0.163448,,,,-0.105442,0.107672,,,,,,,,,,,0.043144
13,gw,oter,fear,0.763515,39,,0.271396,,,0.058535,-0.039483,,0.091829,,,,,,0.078121,,,,,,,,,,,0.057112
14,gw,oter,fear,0.761876,39,,0.260565,,,0.066706,-0.041521,,0.096924,,,,,,0.080149,,,,,,,,,,,0.055929
15,gw,oter,fear,0.676064,39,,0.243929,,,0.073692,-0.047771,,0.145601,-0.149527,,,,,0.064798,,,,,,,,,,,0.069775
16,gw,oter,fear,0.717078,39,,0.302653,,,0.062591,-0.051329,,0.142587,-0.159780,,,,,0.061891,,,,,,,,,,,0.070184
17,gw,oter,fear,0.508682,39,,0.405056,,0.132501,,-0.061016,,0.272629,-0.242376,-0.259076,,-0.137750,,0.065422,,0.062922,,0.034609,,0.088571,,0.057871,-0.074112,,0.126670
18,gw,oter,fear,0.631461,39,,0.391617,,0.124898,,-0.067654,,0.251165,-0.225078,-0.281869,,-0.115712,,0.062112,,0.060677,,0.032932,,0.090553,,0.063867,-0.072770,,0.128741
19,gw,oter,fear,0.624764,39,,0.313565,,0.121143,,-0.044742,-0.259781,0.300779,,,,-0.068793,,0.070431,,,,0.057929,0.191095,,,,-0.033280,,0.073301
20,gw,oter,fear,0.717613,39,0.292658,0.218158,,,,-0.038943,-0.182207,0.247168,,,,-0.088265,,,,0.054523,,0.025351,,,,,,,0.103296
21,gw,oter,fear,0.795262,39,,0.162458,,,0.093300,-0.053989,-0.241064,0.270912,,,,-0.072803,,,,0.065079,,0.026975,,,,,,,0.105234
22,gw,oter,fear,0.686759,39,,0.205541,,0.083599,0.058338,-0.067387,-0.293231,0.317518,,,,-0.083415,,,,0.067920,,0.031999,0.096783,,,,-0.022358,,0.109642
23,gw,oter,fear,0.775471,39,,0.178718,,,0.084418,-0.056627,-0.194623,0.229466,,,,-0.077380,,,,0.075824,,0.027154,,,,,,,0.112022
24,gw,oter,fear,0.765270,39,,0.189545,,,0.084642,-0.059903,-0.211324,0.247883,,,,-0.082687,,,,0.073394,,0.028877,,,,,,,0.113017
25,gw,oter,fear,0.767719,39,,0.241496,,,0.063649,-0.078797,,0.255607,-0.222401,,,-0.073826,,,,0.056415,,0.028218,,,,,,,0.111454
