N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_oter_neg,big_oter_pos,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rter_neg,big_rter_pos,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_rted_neg,big_rted_pos,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,big_tmed_neg,big_tmed_pos,intercept
5,gw,oter,sadness,0.543463,39,,,,,,,-0.138382,,0.291972,0.196815,,,,,-0.075307,,,-0.020937,,-0.110984,0.273168,,,,0.058477
6,gw,oter,sadness,0.542463,39,-0.315045,0.236787,,,,,-0.207947,0.097533,0.176290,0.150398,0.049253,,,,,,,-0.043605,,-0.101059,0.210065,,,,0.033801
7,gw,oter,sadness,0.677861,39,,,,,0.117731,,,0.094525,,,,,,,0.056852,,,,,-0.078327,0.161657,,,,0.011284
8,gw,oter,sadness,0.397446,39,-0.339504,0.171680,,0.200858,0.096192,,-0.211693,0.265012,,,,,-0.109570,,0.103216,,,-0.034477,0.178898,,0.100243,0.061287,-0.062888,-0.015459,0.016574
9,gw,oter,sadness,0.677068,39,,,0.245260,,0.064963,,,0.066722,,,,,,,,0.045715,,-0.040054,,-0.082103,0.163252,,,,0.036035
10,gw,oter,sadness,0.636618,39,,,0.414540,,,,,,,,0.036288,,,0.048265,-0.064125,0.079762,,-0.061507,-0.157226,-0.060473,0.227865,,,0.014972,0.045624
11,gw,oter,sadness,0.748294,39,,,0.557069,,,,,0.105555,,,,-0.056621,,0.063625,,,,,,,,,,,0.045911
12,gw,oter,sadness,0.759536,39,,,0.522606,,,,,0.113298,,,,-0.056338,,0.069458,,,,,,,,,,,0.046865
13,gw,oter,sadness,0.693214,39,,,0.379825,,,,,0.070179,,,,,,0.066357,,,,,,-0.048872,0.108606,,,,0.035749
14,gw,oter,sadness,0.674992,39,,,0.379282,,,,0.121969,,,,,,,0.073652,,,,,,,,,,,0.035023
15,gw,oter,sadness,0.643598,39,,,0.324103,,,,0.106185,,,,,,,0.056534,,,,,,-0.054390,0.121269,,,,0.041118
16,gw,oter,sadness,0.645243,39,,,0.386371,,,,,,,,,,,,,,,-0.021643,,,,,,,0.071842
17,gw,oter,sadness,0.628875,39,,,0.441185,,,,,0.106938,,,,-0.053245,,,,,,,,,,,,,0.064706
18,gw,oter,sadness,0.604088,39,,,0.390618,,,,,0.098961,,0.147871,,-0.071151,,,,,,,-0.101378,,0.112198,,,,0.063438
19,gw,oter,sadness,0.578092,39,,,0.339537,,,,,0.066137,,,,,,,,,,,,,,,,,0.057299
20,gw,oter,sadness,0.590981,39,,,0.248267,,,,,0.076474,,0.144608,,,,,,,,,,-0.062821,0.170550,,,,0.042318
21,gw,oter,sadness,0.496276,39,0.162679,,0.329830,,-0.046359,,,0.077911,,,,-0.048546,,,,,,,,,0.097187,,-0.026001,,0.083103
22,gw,oter,sadness,0.443494,39,0.154137,,0.333874,,-0.053274,,,0.078175,,,,-0.050432,,,,,,,,,0.104158,,-0.027244,,0.087191
23,gw,oter,sadness,0.499443,39,,,0.280263,,,,,,,,,,,,,,,,,,,,,,0.076499
24,gw,oter,sadness,0.489630,39,,,0.285051,,,,,,,,,,,,,,,,,,,,,,0.077102
25,gw,oter,sadness,0.468219,39,,,0.275822,,,,,,,,,,,,,,,,,,,,,,0.077022
