N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_oter_neg,big_oter_pos,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rter_neg,big_rter_pos,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_rted_neg,big_rted_pos,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,big_tmed_neg,big_tmed_pos,intercept
5,gw,rter,fear,0.654561,39,0.681684,-0.260802,,0.555283,,,,-0.144925,,,,,,0.261768,,,,0.049441,-0.470897,,0.510729,,,,0.013452
6,gw,rter,fear,0.680623,39,,,,,,,,,,,,,,0.216475,0.232074,,-0.048954,,-0.315845,,0.351106,,,,0.108941
7,gw,rter,fear,0.717886,39,0.846530,,-0.581903,,,,,-0.119461,,0.222350,,,,0.278477,,,-0.043972,,-0.303890,-0.115083,0.472459,,,,0.079823
8,gw,rter,fear,0.733516,39,0.762724,-0.241959,,,,0.115612,,-0.142252,,,,,,0.353527,,,-0.043865,,-0.390344,,0.326426,,,,0.046679
9,gw,rter,fear,0.681366,39,0.393089,,,,,0.073254,,-0.151780,,,,,,0.344793,,,,,-0.390280,,0.317725,,,,0.050065
10,gw,rter,fear,0.669274,39,0.360055,,,,,,,,,,,,,0.315406,,,,,-0.230184,,0.239245,,,,0.065785
11,gw,rter,fear,0.759450,39,0.284169,,,,,,,,,,,,,0.381701,,,,,-0.275627,,0.234884,,,,0.071473
12,gw,rter,fear,0.762430,39,,,,,,,,,,,,,,0.404596,,,,,,,,,,,0.092505
13,gw,rter,fear,0.742746,39,,,,,,,,,,,,,,0.391414,,,,,-0.275252,,0.226072,,,,0.096660
14,gw,rter,fear,0.772365,39,,,,,,,,,,,,,,0.412217,,,,,,,,,,,0.091292
15,gw,rter,fear,0.781349,39,0.249421,,,,,,,,,,,,,0.410452,,,,,-0.204897,,0.223994,,,,0.067639
16,gw,rter,fear,0.779703,39,,,,,,,,,,,,,,0.410934,,,,,,,,,,,0.091989
17,gw,rter,fear,0.778802,39,0.342726,,,,,,,,,,,,,0.466448,,,-0.048420,,,,,,,,0.075232
18,gw,rter,fear,0.772484,39,,,,,,,-0.399423,,,,0.151880,,,0.378659,,,,,-0.387581,,0.307443,,,,0.095155
19,gw,rter,fear,0.735874,39,0.249946,,,,,,,,,,,,,0.411548,,,,,-0.239474,,0.233889,,,,0.073980
20,gw,rter,fear,0.816568,39,,,0.588142,,-0.075948,,,,,,,,,0.523848,-0.142563,,,,,,,,,,0.077764
21,gw,rter,fear,0.816895,39,,,,,,,,,,,,,,0.473887,,,-0.047122,,,,,,,,0.105199
22,gw,rter,fear,0.813270,39,,,0.267236,,,,,,,,,,,0.425122,,,,,,,,,,,0.074948
23,gw,rter,fear,0.672537,39,,,,,,,,-0.165952,,,,,,0.464752,,,-0.047857,,,,,,,,0.133437
24,gw,rter,fear,0.679623,39,,,0.348546,,,,,-0.200574,,,,,,0.416513,,,,,,,,,,,0.104045
25,gw,rter,fear,0.695022,39,,,0.368653,,,,,-0.207911,,,,,,0.423148,,,,,,,,,,,0.102823
