N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_oter_neg,big_oter_pos,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rter_neg,big_rter_pos,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_rted_neg,big_rted_pos,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,big_tmed_neg,big_tmed_pos,intercept
5,gw,tter,fear,0.718260,39,,,,0.304713,0.097864,,-0.250198,,,,0.129411,0.033985,,0.196733,,,,,-0.430929,,0.398266,,,0.019873,-0.029529
6,gw,tter,fear,0.615542,39,,,,,0.106906,,-0.225724,,,,0.123209,0.036678,,0.196469,,,,,-0.365832,,0.319913,,,,0.019040
7,gw,tter,fear,0.806463,39,,,,,0.132528,0.074653,,,,,,,,0.210607,,,,,-0.161014,,0.173043,,,,0.001803
8,gw,tter,fear,0.764957,39,0.372804,,,,0.080399,0.063280,,,,,,,-0.076390,0.244213,,,,,-0.169077,-0.082177,0.288017,,,,0.002766
9,gw,tter,fear,0.821095,39,0.525880,,,,,0.080300,,,,,,,-0.117820,0.261852,,,,,-0.230618,,0.210225,,,,0.022022
10,gw,tter,fear,0.801294,39,0.451565,,,,,0.050028,-0.165797,,,,0.068647,,-0.121433,0.249791,,,,,-0.304288,,0.244018,,,,0.044765
11,gw,tter,fear,0.832946,39,0.542282,,,,,,,,,,,,,0.285964,,,-0.033303,,-0.221658,,0.162012,,,,0.069419
12,gw,tter,fear,0.795951,39,,0.239747,,,,,,,,,,,,0.302592,,,,,,,,,,,0.057296
13,gw,tter,fear,0.795514,39,0.384786,,,,,,,,,,,,,0.285230,,,-0.036072,,-0.228190,,0.158971,,,,0.087538
14,gw,tter,fear,0.811256,39,0.421537,,,,,,,,,,,,,0.291936,,,-0.035877,,-0.186946,,0.149137,,,,0.081347
15,gw,tter,fear,0.827278,39,0.400595,,,,,,,,,,,,,0.294064,,,-0.031673,,-0.173684,,0.145317,,,,0.081741
16,gw,tter,fear,0.743100,39,0.253687,0.108751,,,,,,,,,,,-0.097550,0.291219,,,,,-0.152775,,0.136199,,,,0.074604
17,gw,tter,fear,0.770725,39,0.459812,,,,,,,,,,,,-0.121565,0.264174,,,,,-0.183773,,0.137453,,,,0.085475
18,gw,tter,fear,0.788513,39,0.427747,,,,,,,,,,,,-0.124674,0.267352,,,,,-0.219768,,0.168839,,,,0.089115
19,gw,tter,fear,0.808867,39,0.230735,0.111814,,,,,,,,,,,-0.092577,0.332706,-0.100721,,,,-0.179187,,0.142299,,,,0.084048
20,gw,tter,fear,0.839714,39,,,0.352685,,,,,,,,,,-0.084063,0.350435,-0.124908,,,,-0.126779,,0.120967,,,,0.093308
21,gw,tter,fear,0.816339,39,,,0.372202,,,,,,,,,-0.055325,,0.313299,-0.153394,,,,-0.120991,,,,,,0.126022
22,gw,tter,fear,0.823075,39,,,0.361092,,,,,,,,,-0.055708,,0.309588,-0.134100,,,,-0.110995,,,,,,0.125605
23,gw,tter,fear,0.773386,39,,,0.359229,,,,,,,,,,-0.146666,0.291009,,,,,,,,,,,0.094256
24,gw,tter,fear,0.778695,39,,,0.376411,,,,,,,,,,-0.150288,0.295066,,,,,,,,,,,0.093796
25,gw,tter,fear,0.777965,39,,,0.382845,,,,,,,,,,-0.146097,0.295514,,,,,,,,,,,0.092432
