N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_oter_neg,big_oter_pos,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rter_neg,big_rter_pos,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_rted_neg,big_rted_pos,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,big_tmed_neg,big_tmed_pos,intercept
5,gw,tter,sadness,0.616267,39,,,-0.531548,,0.127519,0.138512,-0.292838,,0.660858,0.205932,,0.040121,,0.062906,,,,,0.302912,-0.163348,,,0.076335,,-0.119208
6,gw,tter,sadness,0.402649,39,,,,,0.077756,0.150352,-0.143947,,0.507549,,,0.027881,,0.139363,,0.075427,,-0.032715,,-0.119878,0.188624,,0.060467,0.019755,-0.131833
7,gw,tter,sadness,0.805032,39,,0.208811,,-0.238351,,0.129414,,,0.348054,,,-0.035456,0.088837,0.092286,0.133617,,,0.031945,0.212213,-0.162007,,,0.081665,,-0.085533
8,gw,tter,sadness,0.618961,39,0.415215,,-0.382665,,0.090326,0.082208,,,0.396553,0.157656,-0.061080,,0.104041,0.087469,0.132418,,-0.044751,,0.302704,-0.145566,,,0.049577,,-0.069192
9,gw,tter,sadness,0.690520,39,0.375270,,,-0.195588,,0.112202,,,0.369415,,,,,0.084285,0.147263,,,,,-0.143809,,,0.102999,,-0.059068
10,gw,tter,sadness,0.523987,39,0.429762,,,-0.192264,,0.049678,0.229630,,0.185934,0.191676,-0.065942,-0.149063,0.184251,,0.161586,0.086459,-0.036595,,,-0.088081,0.156521,,0.046094,0.024700,0.028858
11,gw,tter,sadness,0.601151,39,0.579237,,,-0.331343,,0.063518,0.523469,,,0.389061,-0.111016,-0.142331,0.212025,,0.258645,,-0.073812,,,-0.096097,,-0.090981,0.092512,0.024117,0.028796
12,gw,tter,sadness,0.556362,39,,,0.378580,,,,0.157276,0.193019,,,-0.098341,-0.125583,0.294700,,0.305380,0.105419,-0.083380,,,,,,0.033469,0.022437,0.062366
13,gw,tter,sadness,0.612479,39,0.192978,,,,,,,,0.146832,,,,0.166674,,0.317979,,-0.068825,,,-0.088585,0.130881,,,,0.048370
14,gw,tter,sadness,0.601714,39,0.217957,,,,,,,,0.199268,,,,0.151099,,0.315825,,-0.062027,,,-0.075553,0.132875,,,,0.038713
15,gw,tter,sadness,0.608036,39,0.199889,,,,,,,,0.204434,,,,0.139712,,0.305013,,-0.056094,,,-0.071708,0.133967,,,,0.039623
16,gw,tter,sadness,0.538827,39,,,,-0.109517,,,,,,,0.097883,,0.175392,,0.245087,0.178244,-0.073919,-0.079934,-0.231814,,0.188974,,,0.031218,0.055684
17,gw,tter,sadness,0.707440,39,0.318487,,,,,,,,,,,,0.142063,,0.332775,,-0.068949,,,,,,,,0.056433
18,gw,tter,sadness,0.686232,39,0.395271,,,-0.114229,,,,,,,,,0.185900,,0.361338,,-0.079575,,,,,,,,0.059540
19,gw,tter,sadness,0.672597,39,0.386265,,,-0.121096,,,,,,,,,0.182753,,0.359404,,-0.078980,,,,,,,,0.061811
20,gw,tter,sadness,0.568357,39,0.249116,,,-0.142052,,,,,,0.207924,0.062337,,0.152185,,0.324186,,-0.072194,,,-0.107548,0.194666,,,,0.030422
21,gw,tter,sadness,0.632070,39,0.224696,,,,,,,,0.208591,0.233449,,,,,0.268592,,-0.026885,,,,0.100877,,,,0.017869
22,gw,tter,sadness,0.671321,39,0.407255,,-0.217534,,,,,,0.174314,0.222941,,,0.150910,,0.343218,,-0.078252,,,,0.111760,,,,0.021312
23,gw,tter,sadness,0.630554,39,0.248192,,,,,,,,,0.252661,,,0.125385,,0.372134,,-0.079981,,,,0.125515,,,,0.032422
24,gw,tter,sadness,0.631657,39,0.268162,,,,,,,,,0.223198,,,0.113502,,0.367476,,-0.075551,,,,0.118585,,,,0.035147
25,gw,tter,sadness,0.635378,39,0.320275,,,,,,,,,,,,,,0.377388,,-0.044159,,,,,,,,0.059640
