N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_oter_neg,big_oter_pos,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rter_neg,big_rter_pos,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_rted_neg,big_rted_pos,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,big_tmed_neg,big_tmed_pos,intercept
5,gw,rter,fear,0.736492,38,0.493801,,,0.393715,,,,-0.267124,0.432640,,-0.072679,0.068764,,0.243104,,,,,-0.521567,,0.509792,,,,-0.207413
6,gw,rter,fear,0.612111,38,0.693054,-0.357118,,,-0.193337,,-0.271181,,0.393037,,,0.172798,,0.146132,,,0.042750,,,,0.242169,-0.096998,,,-0.356386
7,gw,rter,fear,0.726074,38,0.856430,-0.325487,,,-0.098784,,,-0.163570,,,,,,0.254867,,,0.045820,,-0.344020,,0.340880,,,,0.042676
8,gw,rter,fear,0.741457,38,0.993556,,-0.439241,,,0.086336,,-0.279859,0.258712,,-0.051219,,,0.297225,,,0.046715,,-0.415564,,0.350959,,,,-0.051863
9,gw,rter,fear,0.687039,38,0.709381,,-0.400044,,,0.138501,,-0.160941,,,,,-0.166625,0.311712,,,,,-0.507205,,0.391492,,,,-0.059750
10,gw,rter,fear,0.630638,38,0.383283,,,,,,,,,,,,,0.313436,,,,,-0.262024,,0.254977,,,,0.065123
11,gw,rter,fear,0.738473,38,0.320361,,,,,,,,,,,,,0.392650,,,,,,,,,,,0.065185
12,gw,rter,fear,0.739370,38,,,,,,,,,,,,,,0.399244,,,,,,,,,,,0.093235
13,gw,rter,fear,0.731529,38,,,,,,,,,,,,,,0.386707,,,,,-0.300264,,0.242640,,,,0.098098
14,gw,rter,fear,0.759334,38,,,,,,0.074593,,,,,,,,0.391437,,,,,,,,,,,-0.002533
15,gw,rter,fear,0.705662,38,0.269237,,,,,,-0.369230,,0.278964,,,,,0.416695,,,,,-0.170017,,0.285760,,0.045302,0.053126,0.065558
16,gw,rter,fear,0.798278,38,,,,,,0.085465,,,,,,,,0.395232,,,,,,,0.207130,,0.053051,,0.033287
17,gw,rter,fear,0.714815,38,0.312415,,,,,,,,,,,,,0.391936,,,,,-0.201068,,0.201991,,,,0.068940
18,gw,rter,fear,0.722218,38,0.275727,,,,,,,,,,,,,0.389153,,,,,-0.214110,,0.311047,,0.040286,,0.118537
19,gw,rter,fear,0.818854,38,,,,,,0.082887,,,,,,,,0.467148,-0.147961,,,,,,0.230344,,0.070561,,0.065040
20,gw,rter,fear,0.859153,38,,,,,,0.061914,,,,,,,,0.493748,-0.172387,,,,,,0.234147,,0.065785,,0.085891
21,gw,rter,fear,0.766040,38,,,,,,,,,,,,,,0.467062,-0.163299,,,,,-0.122286,0.276238,,0.052598,,0.163747
22,gw,rter,fear,0.801086,38,,,0.261940,,,,,,,,,,,0.421170,,,,,,,,,,,0.075842
23,gw,rter,fear,0.669021,38,,,,,,,,-0.175850,,,,,,0.391163,,,,,,,,,,,0.127978
24,gw,rter,fear,0.696402,38,,,,,,,,,,,,,,0.368253,,,,,,,,,,,0.099658
25,gw,rter,fear,0.692714,38,,,0.383817,,,,,-0.204205,,,,,,0.418565,,,,,,,,,,,0.101856
