N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_oter_neg,big_oter_pos,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rter_neg,big_rter_pos,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_rted_neg,big_rted_pos,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,big_tmed_neg,big_tmed_pos,intercept
5,gw,tter,fear,0.676148,38,,,,,-0.142218,,-0.205860,,0.395031,,-0.032332,0.076799,-0.088440,0.101399,,,,,,-0.137288,0.287443,,-0.033518,,-0.305381
6,gw,tter,fear,0.617976,38,,,,,-0.142539,,-0.184304,,0.350444,,-0.031989,0.055199,,0.107216,,,,,,-0.135572,0.349968,,,,-0.236854
7,gw,tter,fear,0.822062,38,0.486669,,,,-0.101658,,,,,,,0.050691,,0.163503,,,0.029163,,,-0.125383,0.238604,,-0.026538,,-0.149409
8,gw,tter,fear,0.780078,38,0.423881,,,,-0.061198,0.107176,,,,,,,-0.124430,0.202675,,,,,-0.169498,-0.076871,0.285692,,,,-0.147725
9,gw,tter,fear,0.814752,38,0.683482,,,,,0.089515,,,,,,,-0.127076,0.285706,,,0.027969,-0.019372,-0.173537,,0.139694,,,0.027002,-0.029890
10,gw,tter,fear,0.834635,38,0.502458,,,,,0.086752,,,,,,,-0.136654,0.226524,,,,,-0.235270,,0.196999,,,,-0.035024
11,gw,tter,fear,0.842506,38,0.654262,,,,,,,,,,,,,0.292832,,,0.051377,,-0.156298,0.083216,,,,0.031235,0.074813
12,gw,tter,fear,0.830854,38,0.561228,,,,,,-0.174632,,,,,,,0.270757,,,0.037809,,-0.250141,,0.175949,,,0.041343,0.078779
13,gw,tter,fear,0.769392,38,0.397916,,,,,,,,,,,,,0.242336,,,,,-0.217045,,0.162208,,,,0.077843
14,gw,tter,fear,0.788706,38,0.470450,,,,,,,,,,,,,0.278278,,,0.028121,,,,,,,,0.101868
15,gw,tter,fear,0.799872,38,0.406867,,,,,,,,,,,,,0.254005,,,,,-0.185703,,0.161705,,,,0.074638
16,gw,tter,fear,0.810667,38,0.297526,,,,,0.057459,,,,,,,-0.135462,0.266605,,,,,-0.200176,,0.157859,,,,0.023036
17,gw,tter,fear,0.773294,38,0.466034,,,,,,,,,,,,-0.123323,0.260962,,,,,-0.191838,,0.141070,,,,0.086039
18,gw,tter,fear,0.779701,38,0.432182,,,,,,,,,,,,-0.128052,0.263737,,,,,-0.223423,,0.169072,,,,0.090097
19,gw,tter,fear,0.776468,38,0.415121,,,,,,,,,,,,-0.102411,0.308920,-0.099667,,,,-0.218105,,0.150534,,,,0.094089
20,gw,tter,fear,0.802664,38,0.331209,,,,,,,,,,,,-0.103793,0.323190,-0.116505,,,,-0.161605,,0.130944,,,,0.099374
21,gw,tter,fear,0.811496,38,,,0.377341,,,,,,,,,,,0.314905,-0.147747,,,,,,,,,,0.089275
22,gw,tter,fear,0.812964,38,,,0.359683,,,,,,,,,,,0.310350,-0.127968,,,,,,,,,,0.090187
23,gw,tter,fear,0.732530,38,,0.168388,,,,,,,,,,,-0.154655,0.287857,,,,,,,,,,,0.095445
24,gw,tter,fear,0.739904,38,,0.173828,,,,,,,,,,,-0.158291,0.290634,,,,,,,,,,,0.094985
25,gw,tter,fear,0.740102,38,,,0.402271,,,,,,,,,,-0.119578,0.282982,,,,,,,,,,,0.090623
