N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_oter_neg,big_oter_pos,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rter_neg,big_rter_pos,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_rted_neg,big_rted_pos,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,big_tmed_neg,big_tmed_pos,intercept
5,gw,oter,fear,0.396485,38,,,,-0.487273,-0.162025,0.249018,,,,,,,0.142406,,,,0.072177,,,-0.367163,0.469797,,-0.050161,0.051599,-0.205598
6,gw,oter,fear,0.403496,38,,,,-0.457706,-0.215657,0.190469,,,,,,,,,,,,,,-0.225658,0.168162,,-0.054597,0.078356,-0.328922
7,gw,oter,fear,0.665085,38,,,0.531946,,-0.171458,,,,,,,,,,,,,0.024285,,-0.233394,0.159822,,-0.077007,,-0.251314
8,gw,oter,fear,0.799710,38,0.397308,,0.268483,,-0.096184,,,,,,,,,-0.089866,,,,0.034974,,,,,-0.038734,,-0.137988
9,gw,oter,fear,0.701258,38,0.295518,,0.293498,,-0.099432,,,,,,,,,-0.097548,,,,0.051022,,-0.125763,0.122747,,-0.058399,-0.039517,-0.116035
10,gw,oter,fear,0.799119,38,0.345642,0.216807,,,,,-0.160548,,,,,-0.068463,,,,,,0.032285,,-0.091767,0.137399,,,,0.152856
11,gw,oter,fear,0.818354,38,0.285937,0.212621,,,,,,,-0.218641,,,-0.083970,,,,,,0.030839,-0.092113,,0.121720,,,,0.201875
12,gw,oter,fear,0.811369,38,0.302335,0.149322,,,,,,,,,,-0.070779,,,,,,0.026208,,,,,,,0.167467
13,gw,oter,fear,0.752787,38,0.226910,0.124539,,,,,,,,,,-0.071132,,,,,,0.023388,,,,,,,0.199166
14,gw,oter,fear,0.754129,38,0.224652,0.125880,,,,,,,,,,-0.071826,,,,,,0.023511,,,,,,,0.199945
15,gw,oter,fear,0.666883,38,,0.328494,,,0.072708,,,,-0.199970,,,-0.069718,,,,,,0.023732,,,,,,,0.319475
16,gw,oter,fear,0.799145,38,,0.219610,0.374750,-0.110439,,,,,,-0.203275,,,,,,0.062685,,,-0.113226,,,,,0.045415,0.139593
17,gw,oter,fear,0.697848,38,0.206903,0.242559,0.212617,-0.132838,,,,,,-0.233251,,,,,,0.045770,,,-0.108489,,,0.057514,,,0.185616
18,gw,oter,fear,0.727415,38,0.184764,0.198800,0.308004,-0.171540,,,,,,-0.244504,,,,,,0.050772,,,-0.131553,,,0.045494,,0.041948,0.152156
19,gw,oter,fear,0.740710,38,0.189614,0.189949,0.301274,-0.191761,,,,,,-0.245764,,,,,,0.057081,,,-0.138239,,,0.041195,,0.044618,0.159815
20,gw,oter,fear,0.729989,38,0.198700,0.224301,0.274760,-0.180678,,-0.054297,,0.103708,,-0.303360,,,,,,0.065753,,,-0.129975,,,0.050885,,0.039117,0.212335
21,gw,oter,fear,0.670146,38,0.230590,0.212142,0.305213,-0.231817,0.048434,,,0.111855,,-0.306409,,,,,,0.064995,,,-0.128200,,,0.047280,,0.043515,0.211622
22,gw,oter,fear,0.485682,38,0.288775,,0.162870,-0.098165,,,,0.217102,-0.313826,-0.126216,,-0.054325,-0.079464,,,,,0.014975,,,,0.048805,,,0.269871
23,gw,oter,fear,0.538008,38,0.140797,0.327613,0.168528,-0.140121,0.072615,-0.068120,0.108559,0.140007,-0.329118,-0.192899,,,-0.054877,,0.043482,0.056401,,,-0.142212,,,0.054332,,,0.368941
24,gw,oter,fear,0.555737,38,0.226125,0.248211,0.120748,-0.121873,0.072204,-0.041074,,0.197816,-0.282431,-0.200319,,-0.033776,-0.057824,,0.049347,0.060941,,,-0.107547,,,0.055324,,,0.385689
25,gw,oter,fear,0.677769,38,0.272474,0.202115,0.125194,-0.143482,0.080526,,,0.232064,-0.313300,-0.214552,,-0.043917,-0.061262,,0.047905,0.056462,,,-0.091593,,,0.059966,,,0.365217
