N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_oter_neg,big_oter_pos,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rter_neg,big_rter_pos,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_rted_neg,big_rted_pos,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,big_tmed_neg,big_tmed_pos,intercept
5,gw,rter,fear,0.627720,38,,,,,-0.359620,,,,,,,0.178339,,,0.147663,,,,-0.393534,,0.470055,,,,-0.548902
6,gw,rter,fear,0.726425,38,,-0.545313,,,-0.500940,,,,,,,0.172091,,,0.208717,,,,-0.510644,-0.202178,0.766955,,,-0.081345,-0.428275
7,gw,rter,fear,0.682780,38,0.796474,-0.657748,,,-0.409393,,,,,,,0.260048,,,,,,,-0.435698,,0.554816,,,-0.077132,-0.549810
8,gw,rter,fear,0.562129,38,0.730374,-0.835608,,-0.349964,-0.556403,0.215001,,0.612791,,-0.566584,,0.244668,,,0.233947,,,-0.048119,-0.244087,-0.246382,0.666652,0.145163,,,-0.910624
9,gw,rter,fear,0.497511,38,1.116720,-1.062464,,-0.242564,-0.457296,0.519424,-0.503115,0.871481,0.549331,-0.920391,,,-0.395359,0.305904,0.250021,0.139121,-0.120963,-0.133274,,,0.281230,0.297668,0.109513,0.100546,-0.951449
10,gw,rter,fear,0.643782,38,0.810536,-0.875517,,-0.431623,-0.426398,0.431020,,0.876990,,-0.879540,,0.117396,-0.242180,0.210513,0.340900,,,-0.121169,,,,0.363328,,0.135028,-0.914415
11,gw,rter,fear,0.658705,38,0.655915,-0.510193,,,-0.383594,,-0.485084,0.753356,0.608121,-0.776393,,0.240025,,,0.368090,,,-0.071706,,,0.218723,0.260677,,,-0.622646
12,gw,rter,fear,0.555933,38,,-0.699316,1.095668,,-0.425130,,-0.550489,0.842548,0.747117,-0.983742,,0.330124,-0.304449,0.112292,0.359150,0.239667,-0.184902,-0.131121,-0.230854,,0.303124,0.233433,,0.082322,-1.030654
13,gw,rter,fear,0.310759,38,,-0.538081,0.741066,,-0.296457,0.175569,-0.793478,0.402730,1.011652,-0.512636,,0.231822,-0.245407,0.137695,0.211041,0.201215,-0.191131,-0.089242,-0.205148,,0.413189,0.132114,0.097903,,-0.733167
14,gw,rter,fear,0.409541,38,,-0.368648,0.891966,,-0.280175,,-0.870992,,1.498066,-0.375918,,0.314509,,,0.213676,0.226550,-0.175205,-0.075149,-0.417134,,0.628767,,0.124329,,-0.619877
15,gw,rter,fear,0.745869,38,,-0.635626,1.039737,,-0.381905,,-0.845539,,1.773380,-0.532368,,0.316977,,0.263188,,0.164693,-0.101077,-0.057237,,-0.346979,0.548044,,,,-0.834546
16,gw,rter,fear,0.719701,38,0.446658,-0.284726,,,,0.284843,-0.785054,,0.702889,,,,,0.320058,,,,,,,0.436368,,0.129972,,-0.034650
17,gw,rter,fear,0.703880,38,,,,,,0.253959,-0.389608,,,,,,,0.316964,,,,,,,0.355721,,0.104814,,0.019590
18,gw,rter,fear,0.775152,38,,,,,,0.193755,-0.337921,,,,,,,0.341604,,,,,-0.237124,,0.540600,,0.119709,,0.117157
19,gw,rter,fear,0.741317,38,,,,,,0.186919,-0.333332,,,,,,,0.334897,,,,,-0.244248,,0.540792,,0.121124,,0.131770
20,gw,rter,fear,0.763788,38,,,,,,0.155892,-0.325352,,,,,,,0.332714,,,,,-0.252378,,0.541308,,0.108932,,0.157919
21,gw,rter,fear,0.653001,38,,,,,,0.155315,-0.291512,,,,,,,0.326449,,,,,,,0.314118,,0.107858,,0.137476
22,gw,rter,fear,0.662284,38,,,,,,0.154072,-0.260279,,,,,,,0.327471,,,,,,,0.370052,,0.126720,,0.149270
23,gw,rter,fear,0.646252,38,,,,,,0.140728,-0.267402,,,,,,,0.327775,,,,,,,0.388966,,0.118466,,0.153404
24,gw,rter,fear,0.633125,38,,,,,,0.143856,-0.263571,,,,,,,0.330135,,,,,,,0.396530,,0.119892,,0.149656
25,gw,rter,fear,0.657609,38,,,,,,0.149256,-0.293545,,,,,,,0.329690,,,,,,,0.442034,,0.128802,,0.156381
