N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_oter_neg,big_oter_pos,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rter_neg,big_rter_pos,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_rted_neg,big_rted_pos,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,big_tmed_neg,big_tmed_pos,intercept
5,gw,tter,fear,0.624538,38,,,,,-0.286264,,,,,,,0.115432,,,0.127744,,0.032773,,-0.390628,,0.397393,,,,-0.313200
6,gw,tter,fear,0.616488,38,,-0.371302,,-0.332480,-0.369139,0.184460,,,,,,,,,0.162332,,,,-0.347903,-0.174185,0.533069,,,,-0.285115
7,gw,tter,fear,0.534863,38,0.496575,-0.643466,0.428212,,-0.418886,0.144823,-0.317213,0.183319,0.560816,-0.215386,,0.162713,-0.114450,,0.096692,,-0.052325,,-0.178162,-0.110222,0.372045,,,,-0.835298
8,gw,tter,fear,0.700085,38,0.577248,-0.421526,,-0.169865,-0.369203,0.167375,-0.176525,0.357445,0.343545,-0.397378,,0.175626,,,0.145504,,,-0.024072,-0.150872,-0.171497,0.410143,0.079272,,,-0.685386
9,gw,tter,fear,0.743469,38,0.723904,-0.495419,,,-0.321231,0.127800,-0.311687,0.363237,0.438920,-0.425575,,0.079693,,,0.190668,,,-0.026644,,-0.172293,0.321463,0.088597,,,-0.502803
10,gw,tter,fear,0.700823,38,0.760754,-0.598382,,-0.341899,-0.281135,0.377072,,0.490016,,-0.511220,,,-0.160261,0.128672,0.205708,,,-0.061040,,,,0.210053,,0.102963,-0.595382
11,gw,tter,fear,0.795515,38,0.329567,,,,-0.150881,,-0.191800,0.423017,,-0.353314,,0.102792,,,0.231077,,,-0.028514,-0.157387,,0.250083,0.113335,,,-0.182808
12,gw,tter,fear,0.649963,38,0.626893,-0.430837,,,-0.213092,0.134367,-0.468944,0.576350,0.280355,-0.430804,,0.071553,-0.105343,,0.209241,,-0.056040,-0.030930,,,0.213918,0.150228,0.050158,,-0.352603
13,gw,tter,fear,0.189736,38,0.381181,-0.249988,0.311973,,-0.178133,,-0.509346,0.340798,0.525963,-0.354662,,0.158607,-0.106534,,0.180784,0.097552,-0.108349,-0.044061,-0.201086,,0.344158,0.084492,0.067372,,-0.299300
14,gw,tter,fear,0.283900,38,0.383849,-0.250291,0.326333,,-0.176033,,-0.534363,0.315618,0.614311,-0.362949,,0.164013,-0.100490,,0.181511,0.102321,-0.110757,-0.045017,-0.212320,,0.353263,0.081330,0.069061,,-0.307913
15,gw,tter,fear,0.650617,38,,,0.306971,,-0.117053,,-0.381408,,0.381735,,,0.068648,,0.188926,,,,,-0.148385,,0.318994,,0.061856,,-0.035111
16,gw,tter,fear,0.741434,38,0.291415,,,,,0.132970,-0.473780,,0.348570,,,,,0.198172,,,,,,,0.243200,,0.083188,,0.083698
17,gw,tter,fear,0.678353,38,0.526969,,,,,,-0.422231,0.213196,,,,,,0.155798,,,,,,,0.266553,,0.079951,,0.212857
18,gw,tter,fear,0.804041,38,,0.270622,,,,,-0.229368,,,,,,,0.221213,,,,,-0.217112,,0.350560,,0.082931,,0.261688
19,gw,tter,fear,0.773868,38,,0.255083,,,,,-0.233969,,,,,,,0.217333,,,,,-0.226871,,0.363659,,0.086261,,0.274036
20,gw,tter,fear,0.757711,38,0.298201,,,,,,-0.232028,,,,,,,0.187519,,,,,-0.206642,,0.351051,,0.069266,,0.272310
21,gw,tter,fear,0.717355,38,0.262976,,,,,,-0.197856,,,,,,,0.184385,,,,,-0.182800,,0.287733,,0.066820,,0.271245
22,gw,tter,fear,0.675126,38,0.288142,,,,,,-0.226277,,,,,,,0.185735,,,,,,,0.232543,,0.084816,,0.276149
23,gw,tter,fear,0.667224,38,0.302499,,,,,,-0.207957,,,,,,,0.179841,,,,,,,0.224417,,0.082862,,0.271599
24,gw,tter,fear,0.675050,38,0.325051,,,,,,-0.221980,,,,,,,0.181593,,,,,,,0.227836,,0.082740,,0.271286
25,gw,tter,fear,0.680706,38,0.317557,,,,,,-0.228992,,,,,,,0.180740,,,,,,,0.251549,,0.086683,,0.277338
