N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
5,gw,oter,joy,0.531431,39,-0.727884,,0.374945,0.399934,-0.184111,0.137803,0.215396,,,,,-0.050377,,,,0.077126,0.071129
6,gw,oter,joy,0.396957,39,-0.712627,,0.408256,0.357983,-0.151014,0.125082,0.213282,,,,,-0.051601,,,,0.079153,0.068857
7,gw,oter,joy,0.592826,39,-0.306194,,0.517096,0.388134,,0.076345,,,0.094827,0.047867,,,,,,0.044084,0.007502
8,gw,oter,joy,0.530411,39,-0.247547,,0.422076,0.431587,,0.089871,,,0.076394,0.054219,,,,,,0.042379,0.003620
9,gw,oter,joy,0.516531,39,,0.110607,,0.355178,-0.178625,0.144168,0.143552,,,0.059704,,-0.037680,0.132764,-0.061046,,0.040609,0.011075
10,gw,oter,joy,0.641443,39,,,0.318002,0.238407,-0.114682,0.118391,,,0.061137,0.046559,,,,,,,0.032597
11,gw,oter,joy,0.615541,39,,0.164822,,0.174525,-0.136277,0.185364,,,,0.062276,,-0.039176,0.120272,-0.051299,,,0.032809
12,gw,oter,joy,0.596318,39,,0.180351,,0.138935,-0.127051,0.189156,,,,0.074583,,-0.041660,0.172912,,-0.114218,,0.030552
13,gw,oter,joy,0.662009,39,,0.152987,,0.142066,-0.227020,0.212059,,,,0.071831,,-0.051358,0.174919,,-0.135594,,0.048829
14,gw,oter,joy,0.652193,39,,0.151506,,0.136427,-0.208814,0.202870,,,,0.068897,,-0.050667,0.179122,,-0.138803,,0.049359
15,gw,oter,joy,0.614668,39,,0.131482,,0.122523,-0.176236,0.186291,,,,0.058169,,-0.050528,0.164930,,-0.126416,,0.056010
16,gw,oter,joy,0.603731,39,,0.155587,,0.122898,-0.183856,0.177428,,,,0.053677,,-0.048222,0.156973,,-0.137812,,0.058792
17,gw,oter,joy,0.566010,39,,0.162390,,0.121283,-0.157951,0.176858,,,,0.048080,,-0.050594,0.144592,,-0.134304,,0.056796
18,gw,oter,joy,0.550020,39,,0.147709,,0.118254,-0.153042,0.162613,,,,0.047696,,-0.048780,0.155724,,-0.148487,,0.062432
19,gw,oter,joy,0.469508,39,,0.128628,,0.080760,,0.056861,,,,0.042914,,-0.048271,0.133292,,-0.139915,,0.070839
20,gw,oter,joy,0.442433,39,,0.081231,,0.127863,-0.151584,0.140955,,,,,,,0.114916,,-0.092706,,0.077107
21,gw,oter,joy,0.461555,39,,,0.173989,0.097276,-0.178943,0.139697,,,0.052359,,,,0.132755,,-0.105242,,0.079600
22,gw,oter,joy,0.235186,39,,0.046984,,0.113460,-0.177422,0.148308,,0.098390,,,,,0.128402,-0.046597,,,0.074733
23,gw,oter,joy,0.501733,39,-0.199203,,0.340881,0.123231,-0.189861,0.111835,,,0.061283,,,,0.116300,,-0.086546,,0.089318
24,gw,oter,joy,0.506170,39,-0.206819,,0.373941,0.137317,-0.222382,0.133593,,,0.059094,,,,0.130147,,-0.078809,,0.085470
25,gw,oter,joy,0.395434,39,,0.061134,,0.129292,-0.188598,0.133971,,0.106173,,,,,0.151559,-0.054259,,,0.077912
