N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
5,gw,oter,joy,-0.046048,39,,,,,0.126589,,,,,,,,-0.146319,,0.143574,,0.088172
6,gw,oter,joy,0.030080,39,,,,,0.141290,,,,,,,,,,,,0.088540
7,gw,oter,joy,0.467048,39,,0.099325,,0.382609,,0.098427,,,,0.054719,,,,,,,0.013364
8,gw,oter,joy,0.470147,39,,0.094808,,0.416034,,0.105898,,,,0.053799,,-0.039050,,,,,0.014485
9,gw,oter,joy,0.616655,39,,0.143156,,0.309795,,0.085954,,,,0.065766,,-0.033615,,,,,0.020865
10,gw,oter,joy,0.638774,39,,0.169194,,0.247760,-0.119379,0.164121,,,,0.067260,,-0.040027,0.111390,,-0.081178,,0.024163
11,gw,oter,joy,0.595621,39,,0.166917,,0.187017,-0.111132,0.146331,,,,0.066188,,-0.034282,,,,,0.037240
12,gw,oter,joy,0.596318,39,,0.180351,,0.138935,-0.127051,0.189156,,,,0.074583,,-0.041660,0.172912,,-0.114218,,0.030552
13,gw,oter,joy,0.662009,39,,0.152987,,0.142066,-0.227020,0.212059,,,,0.071831,,-0.051358,0.174919,,-0.135594,,0.048829
14,gw,oter,joy,0.652193,39,,0.151506,,0.136427,-0.208814,0.202870,,,,0.068897,,-0.050667,0.179122,,-0.138803,,0.049359
15,gw,oter,joy,0.614668,39,,0.131482,,0.122523,-0.176236,0.186291,,,,0.058169,,-0.050528,0.164930,,-0.126416,,0.056010
16,gw,oter,joy,0.603731,39,,0.155587,,0.122898,-0.183856,0.177428,,,,0.053677,,-0.048222,0.156973,,-0.137812,,0.058792
17,gw,oter,joy,0.566010,39,,0.162390,,0.121283,-0.157951,0.176858,,,,0.048080,,-0.050594,0.144592,,-0.134304,,0.056796
18,gw,oter,joy,0.550020,39,,0.147709,,0.118254,-0.153042,0.162613,,,,0.047696,,-0.048780,0.155724,,-0.148487,,0.062432
19,gw,oter,joy,0.469508,39,,0.128628,,0.080760,,0.056861,,,,0.042914,,-0.048271,0.133292,,-0.139915,,0.070839
20,gw,oter,joy,0.442433,39,,0.081231,,0.127863,-0.151584,0.140955,,,,,,,0.114916,,-0.092706,,0.077107
21,gw,oter,joy,0.432820,39,,0.069351,,0.123217,-0.152741,0.137709,,,,,,,0.125779,,-0.095601,,0.080140
22,gw,oter,joy,0.269578,39,,0.052285,,0.118023,-0.153515,0.125572,,,,,,,0.104289,,-0.067633,,0.086137
23,gw,oter,joy,0.474211,39,,0.069845,,0.125008,-0.160957,0.103803,,,,,,,0.099187,,-0.082159,,0.091438
24,gw,oter,joy,0.485954,39,,0.082579,,0.138694,-0.191809,0.123179,,,,,,,0.114590,,-0.073631,,0.087121
25,gw,oter,joy,0.450615,39,,0.074412,,0.135633,-0.179913,0.115909,,,,,,,0.123444,,-0.079602,,0.089766
