N,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
5,gw,rter,joy,0.539435,39,,,-0.707498,-0.754758,,,,0.439491,,-0.135963,,0.368329,0.695886,-0.151283,,,0.169850
6,gw,rter,joy,0.600795,39,,,-0.689383,-0.672171,,,-0.264147,0.510745,,-0.156549,,0.439034,0.699514,-0.145344,,,0.178680
7,gw,rter,joy,0.529498,39,,0.410578,-1.119314,-0.415236,,,,0.944062,,-0.117095,0.158021,0.295669,0.916316,-0.248011,,-0.131570,0.025679
8,gw,rter,joy,0.657409,39,,,,,,,,0.435094,,,,0.353376,0.691554,-0.167573,,,-0.000191
9,gw,rter,joy,0.587807,39,,,,,,,,0.362926,,,,0.366801,0.599999,-0.144671,,,0.008354
10,gw,rter,joy,0.630309,39,-0.475021,,,,,,,,,,,0.456410,0.274553,-0.160128,0.283370,0.151534,0.067089
11,gw,rter,joy,0.576746,39,-0.388706,,,,,,,,,,0.182321,0.464295,0.331478,,,0.145269,0.047061
12,gw,rter,joy,0.659766,39,,,,,,,,,,,,0.453508,0.270394,-0.167043,0.305706,0.095539,0.029282
13,gw,rter,joy,0.525722,39,-0.808405,,0.530070,,0.420704,,-0.342267,,,,0.257609,0.528723,,,0.199411,0.121951,0.015870
14,gw,rter,joy,0.467901,39,-0.677976,0.211822,,,0.592072,,-0.506518,0.509378,,,0.207239,0.452970,,,0.228870,,-0.024599
15,gw,rter,joy,0.513533,39,-0.800095,,0.631787,,0.712671,,-0.665179,,,,0.263299,0.525855,,,0.218497,,0.014760
16,gw,rter,joy,0.562798,39,-0.853593,0.260817,,,0.570667,,-0.444217,,,,0.226522,0.462911,,,,0.175794,0.025516
17,gw,rter,joy,0.593830,39,-0.905742,0.275208,,,0.637399,,-0.484700,,,,0.239377,0.454977,,,,0.190521,0.024077
18,gw,rter,joy,0.603557,39,-0.996008,,0.687035,,0.697759,,-0.572804,,,,0.192972,0.501599,,,,0.178801,0.028741
19,gw,rter,joy,0.581078,39,-0.818795,,0.538811,,0.589599,,-0.390837,-0.448949,,,0.186741,0.564407,,,,0.252047,0.050158
20,gw,rter,joy,0.749608,39,-0.342179,0.202664,,,0.267049,,,,,,0.200737,0.509687,,,,0.190891,-0.014516
21,gw,rter,joy,0.772470,39,,,,,0.275054,,,,,,0.158631,0.540414,,,,0.175028,-0.006752
22,gw,rter,joy,0.756713,39,-0.420291,0.213858,,0.210592,,0.162075,,,,,0.220445,0.562253,,0.134343,,0.178922,-0.046620
23,gw,rter,joy,0.751776,39,,,,,,0.158755,,,,-0.141868,0.322525,0.574985,,0.100600,,0.175028,-0.009131
24,gw,rter,joy,0.769675,39,,,,0.158354,,0.179211,,,,-0.135554,0.314823,0.592686,,0.138810,,0.176503,-0.035040
25,gw,rter,joy,0.764366,39,,,,,,0.168202,,,,-0.154698,0.349715,0.580749,,0.111530,,0.187197,-0.013555
